SIGUN_NM,SIGUN_CD,STATION_NM_INFO,STATION_ID,STATION_MANAGE_NO,STATION_DIV_NM,JURISD_INST_NM,LOCPLC_LOC,ENG_STATION_NM_INFO,WGS84_LOGT,WGS84_LAT
양주시,41630,장골부대앞,235000309,39207,노변정류장,경기도 양주시,경기도 양주시 장흥면,Janggol Army Unit,126.9777167,37.7311
양주시,41630,마전동,235000220,39462,노변정류장,경기도 양주시,,Majeon-dong,127.0493167,37.7812833
화성시,41590,아랫머드내.신동아자동차학원,233001013,15278,노변정류장,경기도 화성시,경기도 평택시 서탄면,"Araetmedeudae, SindongAh Driving School ",127.0072167,37.1264833
평택시,41220,윗머드내.평화약국,214000281,15301,노변정류장,경기도 평택시,경기도 평택시 서탄면,"Witmeodeunae, Pyeonghwa Pharmacy ",127.0127333,37.129
평택시,41220,창말입구.대주,214000821,15344,노변정류장,경기도 평택시,경기도 평택시 서탄면,"Changmal, Daeju",127.0228833,37.1322667
평택시,41220,덕절리,214000744,15366,노변정류장,경기도 화성시,경기도 화성시 정남면,Deokjeol-ri,127.0289333,37.1340167
평택시,41220,신촌마을.원정2리,214000026,15023,노변정류장,경기도 평택시,경기도 평택시 포승읍,"Sinchon Maeul, Wonjeong 2-ri ",126.8443667,36.9973333
성남시,41130,동아우성아파트.효자촌.시범단지,206000186,7218,노변정류장,경기도 성남시,경기도 성남시 수정구 서현동,"DongA Woosung Apartment, Hyojachon, Sibeom-danji ",127.133,37.3773833
성남시,41130,중앙공원.샛별마을라이프아파트,206000185,7324,노변정류장,경기도 성남시,경기도 성남시 수정구 수내동,"Central Park, Saetbyeol Maeul",127.1293667,37.3749
성남시,41130,중앙공원.샛별마을우방아파트,206000184,7325,노변정류장,경기도 성남시,경기도 성남시 수정구 수내동,"Central Park, Saetbyeol Woobang Apartment ",127.1261833,37.3726333
성남시,41130,주공7단지앞,206000182,7088,노변정류장,경기도 성남시,경기도 성남시 수정구 정자동,Jugong Apartment 7-danji,127.1145667,37.3692667
