연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"68",37.4415510000,127.1801610000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-21.jpeg,""
"69",37.4415150000,127.1798980000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-22.jpeg,""
"70",37.4414860000,127.1795450000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-23.jpeg,""
"71",37.4413910000,127.1796610000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-24.jpeg,""
"72",37.4413650000,127.1794120000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-25.jpeg,""
"73",37.4407570000,127.1791140000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-26.jpeg,""
"74",37.4411410000,127.1790080000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-27.jpeg,""
"75",37.4411130000,127.1791630000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-28.jpeg,""
"76",37.4413040000,127.1791940000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-29.jpeg,""
"77",37.4414980000,127.1790190000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-30.jpeg,""
"78",37.4140570000,127.1574230000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-01.jpeg,""
"79",37.4140140000,127.1575570000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-02.jpeg,""
"80",37.4139190000,127.1578310000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-03.jpeg,""
"81",37.4138150000,127.1580730000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-04.jpeg,""
"82",37.4137880000,127.1583920000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-05.jpeg,""
"83",37.4139560000,127.1585140000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-06.jpeg,""
"84",37.4143340000,127.1587780000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-07.jpeg,""
"85",37.4145910000,127.1589620000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-08.jpeg,""
"86",37.4147910000,127.1590980000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-09.jpeg,""
"87",37.4149760000,127.1592280000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-10.jpeg,""
"88",37.4149240000,127.1592980000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-11.jpeg,""
"89",37.4149730000,127.1594210000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-12.jpeg,""
"90",37.4148210000,127.1593150000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-13.jpeg,""
"91",37.4146630000,127.1592070000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-14.jpeg,""
"92",37.4146580000,127.1591060000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-15.jpeg,""
"93",37.4143950000,127.1590520000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-16.jpeg,""
"94",37.4142890000,127.1588590000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-17.jpeg,""
"95",37.4139470000,127.1586240000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-18.jpeg,""
"96",37.4138610000,127.1586470000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-19.jpeg,""
"97",37.4134440000,127.1588740000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-20.jpeg,""
"98",37.4133270000,127.1588010000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-21.jpeg,""
"99",37.4136420000,127.1580020000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-22.jpeg,""
"100",37.4136780000,127.1578330000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-23.jpeg,""
"101",37.4137370000,127.1576520000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-24.jpeg,""
"102",37.4138290000,127.1573590000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-25.jpeg,""
"103",37.4138650000,127.1576330000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-A-26.jpeg,""
