image,p_wide,p_narrow,p_barrier_yes,p_barrier_no
경기도_군포시_산본동(세종아파트_부근)_01.png,0.96375734,0.036972582,0.7380075,0.2614809
경기도_군포시_산본동(한숲사거리_부근)_01.png,0.60823673,0.40146634,0.3684839,0.6273382
경기도_군포시_산본동(화산초교삼거리_부근)_01.png,0.48218337,0.5223517,0.3729421,0.62445796
경기도_김포시_구래동(구래역사거리_부근)_01.png,0.831743,0.16735291,0.31810185,0.6800759
경기도_김포시_북변동(김포서초교_부근)_01.png,0.91615325,0.084100336,0.8857583,0.115255445
경기도_김포시_장기동(김포신영지웰아파트_부근)_01.png,0.90911895,0.090776,0.75129026,0.24489692
경기도_김포시_통진읍(마송현대1차아파트_부근)_01.png,0.54279214,0.4593139,0.044239253,0.9569267
경기도_남양주시_가운동(가운초교_부근)_01.png,0.99082166,0.009013206,0.8806875,0.12184185
경기도_남양주시_금곡동(우리은행(_남양주지점)_부근)_01.png,0.9425156,0.059704155,0.6240068,0.37747592
경기도_남양주시_다산동(다산새봄초교_부근)_01.png,0.47635195,0.52519256,0.5651211,0.43233615
경기도_남양주시_다산동(다산한강초교_부근)_01.png,0.954726,0.045116752,0.8516184,0.14833236
경기도_남양주시_다산동(푸리마타워_부근)_01.png,0.18781075,0.81390357,0.13438123,0.865422
경기도_남양주시_도농동((청수숯불갈비)_부근)_01.png,0.010194212,0.98972213,0.027273566,0.9724466
경기도_남양주시_별내동(별내신도시로데오사거리_부근)_01.png,0.94852495,0.05413726,0.5425709,0.46152997
경기도_남양주시_별내동(한별초교_부근)_01.png,0.90085447,0.10005367,0.3162911,0.6811942
경기도_남양주시_오남읍(상일빌딩_부근)_01.png,0.97954786,0.020688206,0.79031914,0.20935991
경기도_남양주시_와부읍(덕소초교_부근)_01.png,0.96315396,0.037607968,0.33977836,0.65480864
경기도_남양주시_와부읍(도곡보석불가마_부근)_01.png,0.31085366,0.69169796,0.238507,0.7561531
경기도_남양주시_진건읍(진건면사무소_부근)_01.png,0.986694,0.013484746,0.62301815,0.37536195
경기도_남양주시_진접읍(봉현로32_부근)_01.png,0.9879383,0.01201573,0.19840139,0.8006245
경기도_남양주시_진접읍(사랑가득어린이집_부근)_01.png,0.92591155,0.075715035,0.33282304,0.66004115
경기도_남양주시_진접읍(유성가든_부근)_01.png,0.0104650855,0.989473,0.026713967,0.9738899
경기도_남양주시_진접읍(주공2단지아파트_107동_부근)_01.png,0.54104537,0.46063077,0.37122792,0.631848
경기도_남양주시_진접읍(폴리프라자2입구_부근)_01.png,0.8238189,0.18027791,0.45872954,0.5424107
경기도_남양주시_퇴계원면(퇴계원역_부근)_01.png,0.9020823,0.099181145,0.811537,0.19196814
경기도_남양주시_평내동((국민은행평내동점앞)_부근)_01.png,0.9700744,0.030324996,0.7937461,0.21087483
경기도_남양주시_호평동((대주파크빌앞)_부근)_01.png,0.36129266,0.6384854,0.08133331,0.91808635
경기도_남양주시_호평동(이마트_남양주점_부근)_01.png,0.91699076,0.08212888,0.5129248,0.48264048
경기도_남양주시_호평동(호평동현대아이파크_부근)_01.png,0.9396127,0.06100896,0.5819029,0.419843
경기도_남양주시_호평동(호평제일어린이집_부근)_01.png,0.6699975,0.32998145,0.29690495,0.70061636
경기도_남양주시_화도읍((송라초중교앞)_부근)_01.png,0.8565975,0.14521128,0.14318204,0.8571807
경기도_남양주시_화도읍((화도농협승리지점앞)_부근)_01.png,0.86092,0.14022687,0.74713194,0.24868539
경기도_남양주시_화도읍(가곡초교_부근)_01.png,0.7578349,0.24384984,0.5713432,0.43280128
경기도_남양주시_화도읍(삼익슈퍼마켓_부근)_01.png,0.016972154,0.9832145,0.016792446,0.98318994
경기도_남양주시_화도읍(송라초교앞_부근)_01.png,0.9829979,0.016844064,0.7181057,0.28222507
경기도_동두천시_송내동(동부화재사거리_부근)_01.png,0.02788496,0.9717227,0.0061490536,0.99374306
경기도_동두천시_지행동(개림프라자_부근)_01.png,0.31710327,0.6829349,0.02867797,0.9709215
경기도_부천시_범박동(범박지구대_부근)_01.png,0.98063135,0.019493967,0.78173375,0.21881145
경기도_부천시_범박동(범박초교_부근)_01.png,0.98063135,0.019493967,0.78173375,0.21881145
경기도_부천시_소사구_범박동(동남사거리_부근)_01.png,0.2800138,0.7182656,0.3011861,0.70743275
경기도_부천시_소사구_소사본동(세일마트_부근)_01.png,0.8324186,0.17016503,0.24680483,0.75532436
경기도_부천시_소사구_소사본동(소중삼길사거리_부근)_01.png,0.22116208,0.7804081,0.05890578,0.94023764
경기도_부천시_소사구_송내동_심곡주공아파트_부근_01.png,0.47925407,0.5285127,0.20816436,0.7896728
경기도_부천시_소사구_심곡본동(부천남초교_부근)_01.png,0.8360196,0.16431424,0.1868912,0.8100748
경기도_부천시_소사구_심곡본동(부천남초교_부근)_02.png,0.43653393,0.5689784,0.039418608,0.9594337
경기도_부천시_소사구_심곡본동(부천남초교_부근)_03.png,0.6740793,0.32814646,0.049936295,0.9501461
경기도_부천시_소사구_심곡본동(자연의아이들_탐구몬테소리어린이집_부근)_01.png,0.2116971,0.78976417,0.09186357,0.9063333
경기도_부천시_소사본동(소안공원_부근)_01.png,0.45520946,0.5484476,0.47502574,0.5285377
경기도_부천시_심곡본동(심곡본1동주민센터_부근)_01.png,0.38548067,0.6093744,0.018199533,0.9813988
경기도_부천시_오정구_고강동(고강사거리_부근)_01.png,0.061768234,0.9378309,0.02529481,0.97496295
경기도_부천시_오정구_내동(도당소공원사거리_부근)_01.png,0.74934965,0.25003475,0.12993827,0.87026215
경기도_부천시_오정구_원종동(원종초교_부근)_01.png,0.36505663,0.63146174,0.076503664,0.9229897
경기도_부천시_오정동(우편집중국삼거리_부근)_01.png,0.5891041,0.41159382,0.06359452,0.93629724
경기도_부천시_원미구_상동(송내초교_부근)_01.png,0.929337,0.07125911,0.58183247,0.41919917
경기도_부천시_원미구_역곡동(동곡초교_부근)_01.png,0.49378452,0.50891316,0.25745863,0.74422556
경기도_부천시_원미구_역곡동(현대13차맨션_부근)_01.png,0.88640094,0.11198431,0.223966,0.7739977
경기도_부천시_원미구_중동(부광초교_부근)_01.png,0.99585325,0.004166752,0.7830079,0.21820667
경기도_부천시_원미동(부천북초교_부근)_01.png,0.6870765,0.31417876,0.6720959,0.3288378
경기도_부천시_원미동(원미사거리_부근)_01.png,0.7190217,0.28292972,0.41283843,0.5844125
경기도_부천시_중동(샛별어린이공원_부근)_01.png,0.7761209,0.22809598,0.776031,0.22269785
경기도_부천시_중동(심원초교_부근)_01.png,0.53605735,0.4693459,0.33434525,0.6666163
경기도_성남시_분당구_서현동(분당초교_부근)_01.png,0.92562777,0.076399446,0.9339141,0.066295534
경기도_성남시_분당구_서현동(서현초교_부근)_01.png,0.99372303,0.0065245926,0.9139098,0.08604792
경기도_성남시_수정구_수진동(사랑어린이집_부근)_01.png,0.91504145,0.08709183,0.49589086,0.5058724
경기도_성남시_수정구_수진동(탄리사거리_부근)_01.png,0.9009619,0.09970012,0.71614754,0.28391713
경기도_성남시_수정구_신흥동(보건소삼거리_부근)_01.png,0.9989326,0.001074791,0.9266534,0.074281126
경기도_성남시_수정구_신흥동(숯골사거리_부근)_01.png,0.7588369,0.2441388,0.5022029,0.5006574
경기도_성남시_수정구_신흥동(예일병원사거리_부근)_01.png,0.51316583,0.49975693,0.5209292,0.47931507
경기도_성남시_수정구_양지동(단대동우체국_부근)_01.png,0.9069531,0.093706936,0.4185653,0.58459413
경기도_성남시_수정구_태평동(금빛초교_부근)_01.png,0.00060996413,0.9993864,0.0028142035,0.99711466
경기도_성남시_수정구_태평동(금빛초교_부근)_02.png,0.0042161047,0.99577975,0.019219935,0.9800518
경기도_성남시_수정구_태평동(삼성로얄빌라_부근)_01.png,0.089246124,0.9109119,0.014519632,0.9853328
경기도_성남시_수정구_태평동(성남초교_부근)_01.png,0.9960755,0.0038928092,0.6649691,0.33474633
