연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"76",37.3356420000,127.1175820000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-02.jpeg,""
"77",37.3356780000,127.1175540000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-03.jpeg,""
"78",37.3359530000,127.1177380000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-04.jpeg,""
"79",37.3359560000,127.1177350000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-05.jpeg,""
"80",37.3355690000,127.1180640000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-06.jpeg,""
"81",37.3365820000,127.1169820000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-07.jpeg,""
"82",37.3364040000,127.1166920000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-08.jpeg,""
"83",37.3365730000,127.1164950000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-09.jpeg,""
"84",37.3373610000,127.1160130000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-10.jpeg,""
"85",37.3400410000,127.1159520000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-11.jpeg,""
"86",37.3379310000,127.1134750000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-12.jpeg,""
"87",37.3379740000,127.1170160000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-13.jpeg,""
"88",37.3379750000,127.1179010000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-14.jpeg,""
"89",37.3380170000,127.1188610000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-15.jpeg,""
"90",37.3389680000,127.1203380000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-16.jpeg,""
"91",37.3382910000,127.1188510000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-17.jpeg,""
"92",37.3382540000,127.1182290000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-18.jpeg,""
"93",37.3382550000,127.1174620000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-19.jpeg,""
"94",37.3379410000,127.1189540000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-20.jpeg,""
"95",37.3375750000,127.1191310000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-21.jpeg,""
"96",37.3375150000,127.1191310000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-22.jpeg,""
"97",37.3374390000,127.1189580000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-23.jpeg,""
"98",37.3371160000,127.1191210000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-24.jpeg,""
"99",37.3363730000,127.1187570000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-25.jpeg,""
"100",37.3369250000,127.1190830000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-26.jpeg,""
"101",37.3367490000,127.1190090000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-27.jpeg,""
"102",37.3358990000,127.1180780000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-28.jpeg,""
"103",37.3739690000,127.1201680000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-C-01.jpeg,""
"104",37.3735910000,127.1205790000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-C-02.jpeg,""
