연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"15",37.4508120000,127.1653910000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-06.jpeg,""
"16",37.4506170000,127.1645010000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-07.jpeg,""
"17",37.4503710000,127.1633420000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-08.jpeg,""
"18",37.4502280000,127.1626150000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-09.jpeg,""
"19",37.4501650000,127.1627030000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-10.jpeg,""
"20",37.4503120000,127.1635110000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-11.jpeg,""
"21",37.4504350000,127.1640030000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-12.jpeg,""
"22",37.4499730000,127.1662510000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-13.jpeg,""
"23",37.4427880000,127.1809910000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-F-01.jpeg,""
"24",37.4435420000,127.1812890000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-F-02.jpeg,""
"25",37.4438410000,127.1806570000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-F-03.jpeg,""
"26",37.4438610000,127.1797270000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-F-04.jpeg,""
"27",37.4420610000,127.1791240000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-F-05.jpeg,""
"28",37.4417890000,127.1804630000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-F-06.jpeg,""
"29",37.4426240000,127.1805010000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-F-07.jpeg,""
"30",37.4411420000,127.1791280000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-F-08.jpeg,""
"31",37.4140120000,127.1570850000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-F-01.jpeg,""
"32",37.4139080000,127.1577230000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-F-02.jpeg,""
"33",37.4143550000,127.1588590000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-F-03.jpeg,""
"34",37.4139810000,127.1587150000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-F-04.jpeg,""
"35",37.4136280000,127.1583580000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-F-05.jpeg,""
"36",37.4139020000,127.1585030000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-F-06.jpeg,""
"37",37.4134670000,127.1587220000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-F-07.jpeg,""
"38",37.4134310000,127.1586370000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-F-08.jpeg,""
"39",37.4137750000,127.1576980000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-F-09.jpeg,""
"40",37.3364150000,127.1170080000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-01.jpeg,""
"41",37.3376820000,127.1162450000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-02.jpeg,""
"42",37.3400180000,127.1160770000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-03.jpeg,""
"43",37.3384950000,127.1160290000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-04.jpeg,""
"44",37.3380540000,127.1135970000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-05.jpeg,""
"45",37.3380540000,127.1156420000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-06.jpeg,""
"46",37.3380790000,127.1171220000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-07.jpeg,""
"47",37.3380740000,127.1187090000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-08.jpeg,""
"48",37.3388490000,127.1203380000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-09.jpeg,""
