시설물명,p_wide,p_barrier_yes,parked_density,sidewalk_ratio,road_width_relative,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,어린이 비율(%),발생건수,accident_label,risk_probability,safety_score
신흥성모유치원,0.020736039,0.046471387,1.0,0.0,0.26241893,11,14,26,4,28,51,7,1,9,9.309856304391824,3,1,0.5016079961215701,49.839200387842986
신흥제2어린이집,0.14384815,0.14761901,0.0,0.0,0.31277367,10,11,27,6,22,38,9,1,8,9.309856304391824,0,0,0.1129156938342654,88.70843061657347
신흥제3어린이집,0.48500514,0.13495597,1.0,0.0,0.0,5,13,23,4,12,30,6,0,5,9.309856304391824,0,0,0.18252082238944473,81.74791776105552
아름다운유치원,0.8261675,0.75066227,2.0,0.0,0.44311714,3,6,10,1,6,14,9,2,3,14.841620226291283,0,0,0.0032035038323774715,99.67964961676226
안말초등학교,0.3816892,0.16165358,1.0,0.0,0.0,7,6,24,2,15,15,11,1,7,12.535826212734042,0,0,0.0442376861467003,95.57623138532996
야탑초등학교,0.98212826,0.9321525,0.0,0.3002523810115999,0.4326257,6,3,21,6,15,11,7,1,6,9.797809460541332,0,0,0.026038005856083245,97.39619941439167
양영초등학교,0.01119861,0.026031673,2.0,0.0,0.0,3,13,29,1,28,19,1,1,3,11.867200868077292,0,0,0.29305745845424375,70.69425415457562
예림어린이집,0.9288912,0.644182,0.0,0.0,0.47659016,1,22,23,2,16,27,6,0,4,7.964976698206468,0,0,0.018127740319727352,98.18722596802726
예원유치원,0.050219953,0.12372735,1.0,0.0,0.0,5,12,12,2,14,17,5,1,5,5.129574367834145,0,0,0.036497200086946555,96.35027999130534
오리초등학교,0.97308314,0.74574506,0.0,0.0,0.4843532,4,9,7,1,12,9,11,2,4,9.478103017926026,0,0,0.0033035354460287593,99.66964645539711
왕남초등학교,0.8572434,0.88985705,0.0,0.26441619567384,0.4643246,2,12,28,4,19,19,8,1,0,13.088073238959058,0,0,0.02142224429158449,97.85777557084155
운중초등학교,0.31046176,0.52647513,0.0,0.2346632299911375,0.3889377,7,30,34,2,16,23,4,1,7,16.51335389118277,0,0,0.0003307558747261989,99.96692441252738
운중하나어린이집,0.86187863,0.87387025,0.0,0.21608218271304,0.35356188,4,0,3,0,1,14,1,0,6,16.51335389118277,0,0,0.0052864437373576715,99.47135562626424
위례고운초등학교,0.9855492,0.8341741,0.0,0.24953571029449,0.44807085,0,12,16,3,23,7,7,1,0,15.008906384008093,0,0,0.03338354849788724,96.66164515021127
위례새초롱유치원,0.83339345,0.6105318,0.0,0.0,0.39254397,0,17,28,2,29,14,7,2,0,15.008906384008093,0,0,0.05121794506322042,94.87820549367795
위례중앙초등학교,0.9913804,0.91841435,0.0,0.145007404028576,0.44060695,0,8,16,1,11,9,3,1,0,15.008906384008093,0,0,0.006297152455609508,99.37028475443906
위례푸른초등학교,0.91638047,0.8557311,0.0,0.2011574881976832,0.3836952,0,11,22,3,25,8,6,1,0,15.008906384008093,3,1,0.06076234604554446,93.92376539544556
위례하늘유치원,0.655385,0.8163206,0.0,0.273937444266227,0.3813999,0,7,12,1,11,10,5,0,0,15.008906384008093,0,0,0.00715633123098032,99.28436687690197
위례한빛초등학교,0.9564447,0.92342305,0.0,0.23772933695376,0.46181312,0,6,17,2,13,7,4,1,0,15.008906384008093,0,0,0.008040379700611661,99.19596202993884
은서유치원,0.04201415,0.044731587,0.0,0.0,0.34907869,5,9,13,3,29,36,7,2,5,4.915291795088737,3,1,0.3449348739485779,65.5065126051422
은솔유치원,0.90529144,0.50662965,1.0,0.210243079339509,0.44749904,0,12,2,4,6,14,6,0,0,15.008906384008093,0,0,0.009741601026119241,99.02583989738808
은혜유치원,0.6146027,0.5072231,3.0,0.0,0.41749826,5,13,11,3,11,15,0,0,6,10.59118249896178,0,0,0.018025648536965304,98.19743514630346
이매초등학교,0.09221849,0.06287497,0.0,0.0,0.0,3,2,11,3,5,15,4,1,3,12.535826212734042,0,0,0.01687062866887074,98.31293713311292
이솔유치원,0.66944146,0.6279649,0.0,0.0,0.39841592,5,8,12,2,14,9,5,1,5,9.35106661187283,0,0,0.00789793129735472,99.21020687026453
중부초등학교,0.28651914,0.3762618,0.0,0.0,0.45062232,2,19,25,2,26,27,4,1,2,6.042884990253411,0,0,0.040999237684519435,95.90007623154806
중앙동어린이집,0.70412403,0.37750384,0.0,0.0,0.4642008,6,7,19,2,14,35,6,0,9,11.492312330419054,0,0,0.06303571263099095,93.6964287369009
중원초등학교,0.51883817,0.7412172,0.0,0.08110221612832,0.38739592,0,5,12,0,15,18,0,1,0,6.4828798154809295,0,0,0.037091189973860586,96.29088100261394
중탑초등학교,0.065152645,0.4419459,0.0,0.0,0.27898824,7,14,45,2,12,13,7,1,7,9.797809460541332,0,0,0.0003837988071028831,99.9616201192897
즐거운유치원,0.9450259,0.9025335,0.0,0.2145692891349792,0.41538292,4,7,12,4,15,14,5,0,4,9.35106661187283,0,0,0.04865640434658189,95.13435956534181
창조유치원,0.2266731,0.28217384,1.0,0.0,0.39424032,1,4,0,0,10,30,0,0,1,10.59118249896178,0,0,0.07099943107388605,92.90005689261139
청솔초등학교,0.9793891,0.9292588,0.0,0.052151009559915,0.44545698,5,6,8,1,9,6,6,1,4,9.35106661187283,0,0,0.0038701095924005184,99.61298904075994
초림초등학교,0.37672514,0.47137552,1.0,0.0,0.0,0,2,7,1,12,13,3,1,0,14.841620226291283,0,0,0.11985183835451614,88.01481616454838
케이디엘피어학원,0.22911897,0.21099395,2.0,0.0,0.37883168,7,7,16,2,15,11,10,0,9,12.535826212734042,0,0,0.007197740298106459,99.28022597018935
