,image,p_wide,p_narrow,p_barrier_yes,p_barrier_no,시설물명,road_width_relative,sidewalk_ratio,parked_density,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,동,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%),accident_label
32,불정초등학교_북쪽.png,0.9829593,0.016521692,0.90074426,0.098689705,불정초등학교,0.41289324,0.2545338290088479,0,37.361254,127.119496,6,2,10,2,8,13,2,1,4,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0
33,뽀뽀뽀유치원_북쪽.png,0.56510025,0.423683,0.29982644,0.6965082,뽀뽀뽀유치원,0.42555237,0.2260031351560192,0,37.415425,127.138017,6,14,39,2,12,9,4,1,6,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0
34,산성3어린이집_북쪽.png,0.8538548,0.14547092,0.42823485,0.5736663,산성3어린이집,0.46716678,0.0,0,37.460461,127.155653,4,0,0,0,0,14,4,0,4,산성동,0,0,0,0,0,0,4421,56,110,142,308,6.966749604161953,0
35,산성어린이집_북쪽.png,0.14388505,0.8560545,0.24243656,0.7571968,산성어린이집,0.45205116,0.0,3,37.453007,127.150387,2,15,14,4,20,19,7,2,2,산성동,0,0,0,0,0,0,4421,56,110,142,308,6.966749604161953,0
36,삼평어린이집_북쪽.png,0.5923061,0.40605876,0.69403756,0.30919963,삼평어린이집,0.3633142,0.1806803072641924,0,37.406109,127.115836,4,8,34,3,13,9,4,1,6,삼평동,0,0,0,0,0,0,23593,923,1095,1366,3384,14.343237400924004,0
37,상대원초등학교_북쪽.png,0.20583484,0.7956984,0.33007234,0.66170037,상대원초등학교,0.42129442,0.0,1,37.442382,127.181591,2,8,30,1,21,5,3,1,2,상대원동,0,0,0,0,0,0,36419,596,682,1083,2361,6.4828798154809295,0
38,상원초등학교_북쪽.png,0.2390905,0.76478004,0.41150194,0.58714235,상원초등학교,0.4521258,0.0,0,37.453884,127.162776,4,15,27,4,13,28,5,2,4,은행동,0,0,0,0,0,0,30267,400,549,880,1829,6.042884990253411,0
39,상탑초등학교_북쪽.png,0.99454474,0.005599797,0.9093114,0.09111637,상탑초등학교,0.45349944,0.0,0,37.406207,127.145695,5,6,22,1,27,9,5,2,4,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0
40,샛별유치원_북쪽.png,0.9838,0.016550034,0.7901973,0.20793894,샛별유치원,0.4986974,0.174933839032965,0,37.371468,127.129754,2,4,6,1,4,7,4,1,2,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0
41,서광어린이집_북쪽.png,0.9047284,0.09353116,0.8830446,0.11662763,서광어린이집,0.4679925,0.3240590911028034,0,37.405702,127.14948,2,2,11,0,16,4,6,0,4,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0
