보호구역아이디,시도명,시군구명,읍면동명,도로명,소재지도로명주소,소재지지번주소,관리아이디,연장,경도,위도,관리기관명,관리기관전화번호,데이터기준일자
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0006,52,126.882285814,37.414798057,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0007,74,126.882096452,37.415480869,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0009,168,126.880420691,37.415371109,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0010,163,126.880373196,37.415137429,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0011,121,126.881090423,37.414239879,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0012,86,126.881190112,37.414041516,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0013,30,126.880607892,37.413308793,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0014,19,126.881075311,37.413412966,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0015,28,126.881434159,37.413284593,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0016,49,126.882056872,37.413071521,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0017,109,126.882561208,37.413568215,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0018,128,126.882811687,37.411673361,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0019,123,126.882760013,37.411713874,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0020,43,126.881773027,37.411694943,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0021,13,126.881793239,37.411581623,광명시청,1688-3399,2021-11-26
27,경기도,광명시,철산동,사성로,경기도 광명시 시청로 139,경기도 광명시 철산1동 58,0027-F-0001,15,126.868166961,37.490553676,광명시청,1688-3399,2021-11-15
27,경기도,광명시,철산동,사성로,경기도 광명시 시청로 139,경기도 광명시 철산1동 58,0027-F-0002,55,126.868629214,37.490585078,광명시청,1688-3399,2021-11-15
27,경기도,광명시,철산동,사성로,경기도 광명시 시청로 139,경기도 광명시 철산1동 58,0027-F-0003,51,126.867716433,37.490338645,광명시청,1688-3399,2021-11-15
27,경기도,광명시,철산동,사성로,경기도 광명시 시청로 139,경기도 광명시 철산1동 58,0027-F-0004,82,126.86738529,37.489677626,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0001,119,126.86752023,37.488361974,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0002,31,126.868075742,37.487776492,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0003,30,126.868260066,37.487850688,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0004,94,126.868886312,37.487942816,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0005,55,126.868465717,37.487109698,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0006,42,126.868625031,37.486588214,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0007,18,126.868853477,37.486307361,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0008,82,126.867665821,37.487362186,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0009,30,126.866838801,37.486994244,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0010,53,126.866360391,37.486766591,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0011,74,126.866766382,37.486688923,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0012,13,126.867283554,37.486916618,광명시청,1688-3399,2021-11-15
14,경기도,광명시,철산동,시청로,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,0014-F-0013,79,126.867821222,37.487160684,광명시청,1688-3399,2021-11-15
9,경기도,광명시,철산동,철산로,경기도 광명시 철산로 59,경기도 광명시 철산동 243,0009-F-0001,85,126.873098735,37.477907089,광명시청,1688-3399,2021-11-15
9,경기도,광명시,철산동,철산로,경기도 광명시 철산로 59,경기도 광명시 철산동 243,0009-F-0002,82,126.873326863,37.477481724,광명시청,1688-3399,2021-11-15
9,경기도,광명시,철산동,철산로,경기도 광명시 철산로 59,경기도 광명시 철산동 243,0009-F-0003,38,126.872111529,37.477602148,광명시청,1688-3399,2021-11-15
9,경기도,광명시,철산동,철산로,경기도 광명시 철산로 59,경기도 광명시 철산동 243,0009-F-0004,14,126.872438771,37.477213231,광명시청,1688-3399,2021-11-15
40,경기도,광명시,철산동,철산로,경기도 광명시 철산로29번길 12,경기도 광명시 철산동 241-4,0040-F-0001,31,126.869040504,37.477550763,광명시청,1688-3399,2021-11-15
9,경기도,광명시,철산동,철산로,경기도 광명시 철산로 59,경기도 광명시 철산동 243,0009-F-0010,58,126.872890082,37.477011204,광명시청,1688-3399,2021-11-15
9,경기도,광명시,철산동,철산로,경기도 광명시 철산로 59,경기도 광명시 철산동 243,0009-F-0011,44,126.872759178,37.477043894,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0001,125,126.872638777,37.471795956,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0002,94,126.872888543,37.471748512,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0003,8,126.872709946,37.471137407,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0004,3,126.872574567,37.471018732,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0005,14,126.872360544,37.470911527,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0006,49,126.871994495,37.47074723,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0007,93,126.871330614,37.470512736,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0008,85,126.872236352,37.470688221,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0009,86,126.871351516,37.470362253,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0010,84,126.873141545,37.470897142,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0011,121,126.873828697,37.469891187,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0012,57,126.874457228,37.468989061,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0013,6,126.874693772,37.46864718,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0014,78,126.873038575,37.470654315,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0015,121,126.873608628,37.469787059,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,하안로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0016,62,126.874201128,37.468929677,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,철망산로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0017,106,126.873766171,37.468318391,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,철망산로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0018,89,126.872508408,37.46798151,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,철망산로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0019,42,126.872306514,37.467766341,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,철망산로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0020,39,126.872820925,37.46789945,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,철망산로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0021,34,126.873416224,37.46804339,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,철망산로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0022,19,126.873811579,37.468147706,광명시청,1688-3399,2021-11-15
15,경기도,광명시,철산동,철망산로,경기도 광명시 하안로 392,경기도 광명시 철산동 555,0015-F-0023,22,126.874319224,37.468298713,광명시청,1688-3399,2021-11-15
19,경기도,광명시,하안동,철망산로,경기도 광명시 철망산로 68,경기도 광명시 철망산로 68,0019-F-0001,89,126.875299548,37.468933852,광명시청,1688-3399,2021-11-15
19,경기도,광명시,하안동,철망산로,경기도 광명시 철망산로 68,경기도 광명시 철망산로 68,0019-F-0002,5,126.875836853,37.469249687,광명시청,1688-3399,2021-11-15
19,경기도,광명시,하안동,철망산로,경기도 광명시 철망산로 68,경기도 광명시 철망산로 68,0019-F-0003,124,126.876620417,37.469718027,광명시청,1688-3399,2021-11-15
19,경기도,광명시,하안동,철망산로,경기도 광명시 철망산로 68,경기도 광명시 철망산로 68,0019-F-0004,14,126.876883513,37.469623365,광명시청,1688-3399,2021-11-15
19,경기도,광명시,하안동,철망산로,경기도 광명시 철망산로 68,경기도 광명시 철망산로 68,0019-F-0005,61,126.876468171,37.469366781,광명시청,1688-3399,2021-11-15
19,경기도,광명시,하안동,철망산로,경기도 광명시 철망산로 68,경기도 광명시 철망산로 68,0019-F-0006,9,126.87603934,37.469113764,광명시청,1688-3399,2021-11-15
19,경기도,광명시,하안동,철망산로,경기도 광명시 철망산로 68,경기도 광명시 철망산로 68,0019-F-0007,87,126.875448868,37.468762055,광명시청,1688-3399,2021-11-15
35,경기도,광명시,하안동,하안로,경기도 광명시 하안로 361,경기도 광명시 하안동 681-4,0035-F-0001,134,126.875407687,37.467844884,광명시청,1688-3399,2021-11-15
35,경기도,광명시,하안동,하안로,경기도 광명시 하안로 361,경기도 광명시 하안동 681-4,0035-F-0002,120,126.876387175,37.466690548,광명시청,1688-3399,2021-11-15
35,경기도,광명시,하안동,하안로,경기도 광명시 하안로 361,경기도 광명시 하안동 681-4,0035-F-0003,124,126.87619185,37.466575703,광명시청,1688-3399,2021-11-15
35,경기도,광명시,하안동,하안로,경기도 광명시 하안로 361,경기도 광명시 하안동 681-4,0035-F-0004,102,126.875277703,37.467628005,광명시청,1688-3399,2021-11-15
35,경기도,광명시,하안동,하안로,경기도 광명시 하안로 361,경기도 광명시 하안동 681-4,0035-F-0005,15,126.874804822,37.468195336,광명시청,1688-3399,2021-11-15
32,경기도,광명시,하안동,안현로,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,0032-F-0001,65,126.87750744,37.466009243,광명시청,1688-3399,2021-11-15
32,경기도,광명시,하안동,안현로,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,0032-F-0002,11,126.877958759,37.466244366,광명시청,1688-3399,2021-11-15
32,경기도,광명시,하안동,안현로,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,0032-F-0003,170,126.878913029,37.466757647,광명시청,1688-3399,2021-11-15
32,경기도,광명시,하안동,안현로,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,0032-F-0004,196,126.878944825,37.466551683,광명시청,1688-3399,2021-11-15
32,경기도,광명시,하안동,안현로,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,0032-F-0005,20,126.877824398,37.465952251,광명시청,1688-3399,2021-11-15
32,경기도,광명시,하안동,안현로,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,0032-F-0006,10,126.877604355,37.465835591,광명시청,1688-3399,2021-11-15
32,경기도,광명시,하안동,안현로,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,0032-F-0007,13,126.877413514,37.465727918,광명시청,1688-3399,2021-11-15
16,경기도,광명시,철산동,연서일로,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,0016-F-0001,17,126.863724765,37.482963848,광명시청,1688-3399,2021-11-15
16,경기도,광명시,철산동,연서일로,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,0016-F-0002,4,126.863921468,37.482976203,광명시청,1688-3399,2021-11-15
16,경기도,광명시,철산동,연서일로,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,0016-F-0003,23,126.864153936,37.482978804,광명시청,1688-3399,2021-11-15
16,경기도,광명시,철산동,연서일로,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,0016-F-0004,28,126.864471395,37.482833079,광명시청,1688-3399,2021-11-15
16,경기도,광명시,철산동,연서일로,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,0016-F-0005,56,126.863930494,37.48332745,광명시청,1688-3399,2021-11-15
16,경기도,광명시,철산동,연서일로,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,0016-F-0006,1,126.863967806,37.483611746,광명시청,1688-3399,2021-11-15
16,경기도,광명시,철산동,연서일로,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,0016-F-0007,38,126.864008717,37.483907295,광명시청,1688-3399,2021-11-15
16,경기도,광명시,철산동,연서일로,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,0016-F-0008,60,126.864057689,37.483299,광명시청,1688-3399,2021-11-15
16,경기도,광명시,철산동,연서일로,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,0016-F-0009,45,126.864141111,37.483844427,광명시청,1688-3399,2021-11-15
20,경기도,광명시,하안동,안현로,경기도 광명시 안현로80-2,경기도 광명시 하안동 25-1,0020-F-0001,39,126.881611944,37.465567984,광명시청,1688-3399,2021-11-26
20,경기도,광명시,하안동,안현로,경기도 광명시 안현로80-2,경기도 광명시 하안동 25-1,0020-F-0002,54,126.881465167,37.465649889,광명시청,1688-3399,2021-11-26
20,경기도,광명시,하안동,안현로,경기도 광명시 안현로80-2,경기도 광명시 하안동 25-1,0020-F-0003,4,126.881407848,37.465882128,광명시청,1688-3399,2021-11-26
20,경기도,광명시,하안동,안현로,경기도 광명시 안현로80-2,경기도 광명시 하안동 25-1,0020-F-0004,35,126.881234247,37.466086054,광명시청,1688-3399,2021-11-26
20,경기도,광명시,하안동,안현로,경기도 광명시 안현로80-2,경기도 광명시 하안동 25-1,0020-F-0005,17,126.88093358,37.466432103,광명시청,1688-3399,2021-11-26
20,경기도,광명시,하안동,안현로,경기도 광명시 안현로80-2,경기도 광명시 하안동 25-1,0020-F-0006,40,126.881049356,37.466123207,광명시청,1688-3399,2021-11-26
33,경기도,광명시,하안동,하안로,경기도 광명시 하안로 284,경기도 광명시 하안동 110-3,0033-F-0001,76,126.881288021,37.460946632,광명시청,1688-3399,2021-11-15
33,경기도,광명시,하안동,하안로,경기도 광명시 하안로 284,경기도 광명시 하안동 110-3,0033-F-0002,75,126.881103711,37.460827975,광명시청,1688-3399,2021-11-15
