보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명칭,관할경찰서명,경도,위도,데이터기준일자
17,경기도,광명시,하안동,0017-R-0005,하안초등학교,광명경찰서,126.87422754,37.463517069,2021-10-14
10,경기도,광명시,하안동,0010-R-0005,하안북초등학교,광명경찰서,126.867795923,37.465192027,2021-10-14
10,경기도,광명시,하안동,0010-R-0001,하안북초등학교,광명경찰서,126.868277011,37.4651638,2021-10-14
45,경기도,광명시,철산동,0045-R-0007,구름산어린이집,광명경찰서,126.864838994,37.467158541,2021-10-14
45,경기도,광명시,철산동,0045-R-0002,구름산어린이집,광명경찰서,126.864830539,37.46776844,2021-10-14
45,경기도,광명시,철산동,0045-R-0005,구름산어린이집,광명경찰서,126.865938908,37.468786633,2021-10-14
23,경기도,광명시,하안동,0023-R-0009,안현초등학교,광명경찰서,126.86634003,37.469391341,2021-10-14
23,경기도,광명시,하안동,0023-R-0002,안현초등학교,광명경찰서,126.866762668,37.469994658,2021-10-14
23,경기도,광명시,하안동,0023-R-0010,안현초등학교,광명경찰서,126.867149971,37.470436363,2021-10-14
23,경기도,광명시,하안동,0023-R-0011,안현초등학교,광명경찰서,126.867054515,37.470962845,2021-10-14
47,경기도,광명시,철산동,0047-R-0002,마리아어린이집,광명경찰서,126.866132,37.471080491,2021-10-14
23,경기도,광명시,하안동,0023-R-0003,안현초등학교,광명경찰서,126.867442348,37.471345684,2021-10-14
20,경기도,광명시,하안동,0020-R-0002,연서초등학교,광명경찰서,126.881148366,37.466094497,2021-10-01
20,경기도,광명시,하안동,0020-R-0003,연서초등학교,광명경찰서,126.880726968,37.466577185,2021-10-01
12,경기도,광명시,하안동,0012-R-0002,하안남초등학교,광명경찰서,126.88470693,37.460650608,2021-10-14
12,경기도,광명시,하안동,0012-R-0003,하안남초등학교,광명경찰서,126.884483067,37.460466418,2021-10-14
22,경기도,광명시,소하동,0022-R-0008,구름산초등학교,광명경찰서,126.885218427,37.452740383,2021-10-26
22,경기도,광명시,소하동,0022-R-0007,구름산초등학교,광명경찰서,126.88547375,37.452935218,2021-10-26
22,경기도,광명시,소하동,0022-R-0009,구름산초등학교,광명경찰서,126.884722336,37.452405928,2021-10-26
22,경기도,광명시,소하동,0022-R-0010,구름산초등학교,광명경찰서,126.884144292,37.452084165,2021-10-26
21,경기도,광명시,소하동,0021-R-0001,소하초등학교,광명경찰서,126.887939534,37.449909824,2021-10-26
21,경기도,광명시,소하동,0021-R-0002,소하초등학교,광명경찰서,126.888359938,37.449752241,2021-10-26
21,경기도,광명시,소하동,0021-R-0003,소하초등학교,광명경찰서,126.888063412,37.44928581,2021-10-26
21,경기도,광명시,소하동,0021-R-0004,소하초등학교,광명경찰서,126.888104466,37.448766652,2021-10-26
21,경기도,광명시,소하동,0021-R-0005,소하초등학교,광명경찰서,126.888140312,37.448325571,2021-10-26
21,경기도,광명시,소하동,0021-R-0006,소하초등학교,광명경찰서,126.888197683,37.44767497,2021-10-26
21,경기도,광명시,소하동,0021-R-0008,소하초등학교,광명경찰서,126.888620092,37.447387154,2021-10-26
21,경기도,광명시,소하동,0021-R-0009,소하초등학교,광명경찰서,126.888307674,37.44695719,2021-10-26
21,경기도,광명시,소하동,0021-R-0010,소하초등학교,광명경찰서,126.888340305,37.446534362,2021-10-26
21,경기도,광명시,소하동,0021-R-0011,소하초등학교,광명경찰서,126.888289728,37.446101231,2021-10-26
21,경기도,광명시,소하동,0021-R-0012,소하초등학교,광명경찰서,126.888380333,37.445375546,2021-10-26
21,경기도,광명시,소하동,0021-R-0016,소하초등학교,광명경찰서,126.886598865,37.44530712,2021-10-26
21,경기도,광명시,소하동,0021-R-0015,소하초등학교,광명경찰서,126.887273676,37.445242843,2021-10-26
21,경기도,광명시,소하동,0021-R-0013,소하초등학교,광명경찰서,126.887916007,37.445011082,2021-10-26
21,경기도,광명시,소하동,0021-R-0018,소하초등학교,광명경찰서,126.888507631,37.444657525,2021-10-26
30,경기도,광명시,하안동,0030-R-0001,예솔유치원,광명경찰서,126.878444415,37.456719704,2021-10-12
11,경기도,광명시,하안동,0011-R-0004,가림초등학교,광명경찰서,126.879816768,37.45793542,2021-10-14
