보호구역 아이디,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,관리번호,횡단보도종류,자전거횡단도겸용여부,고원식 적용여부,경도,위도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관 전화번호,데이터기준일자
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0002,1,N,N,126.881589591,37.455864059,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-12
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0007,1,N,N,126.882458277,37.455659282,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-12
22,경기도,광명시,한내일로,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,0022-W-0003,1,N,N,126.885790627,37.452845312,2,4,4,N,N,N,30,60,N,N,N,N,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0009,1,N,Y,126.888279883,37.448009257,1,4,10,Y,N,Y,25,55,N,Y,Y,N,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0013,1,N,N,126.888919393,37.447432265,2,4,9,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
33,경기도,광명시,하안로,경기도 광명시 하안로288번길 12-1,경기도 광명시 하안동 110-3,0033-W-0004,1,N,N,126.88080533,37.461198513,2,4,16,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0009,1,N,N,126.881239974,37.455664245,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0010,1,N,N,126.882865176,37.454870258,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0011,1,N,N,126.882717175,37.455239332,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0012,1,N,N,126.882644272,37.455248189,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0013,1,N,N,126.882684844,37.45517629,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
17,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안동 649,0017-W-0003,1,N,N,126.874295521,37.463872059,4,6,20,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
17,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안동 649,0017-W-0005,1,N,N,126.874892666,37.464453432,4,6,20,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
17,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안동 649,0017-W-0002,1,N,N,126.874245655,37.46369695,4,3,6,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
17,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안동 649,0017-W-0001,1,N,N,126.874719173,37.46314287,2,3,6,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
26,경기도,광명시,가림로,경기도 광명시 가림로 40,경기도 광명시 하안동 702-5,0026-W-0001,1,N,Y,126.868525738,37.463902933,4,6,20,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
26,경기도,광명시,가림로,경기도 광명시 가림로 40,경기도 광명시 하안동 702-5,0026-W-0004,1,N,N,126.866518564,37.463991901,4,6,20,Y,N,Y,70,90,N,Y,N,Y,광명경찰서,182,2021-10-14
10,경기도,광명시,가림로,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,0010-W-0002,1,N,N,126.869240517,37.465342632,2,6,7,N,N,N,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
10,경기도,광명시,가림로,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,0010-W-0001,1,N,N,126.869015788,37.46574747,2,6,7,N,N,N,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
10,경기도,광명시,가림로,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,0010-W-0003,1,N,Y,126.868541453,37.465129525,2,6,7,N,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
10,경기도,광명시,가림로,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,0010-W-0004,1,N,Y,126.868007063,37.465184981,2,6,7,N,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
10,경기도,광명시,가림로,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,0010-W-0005,1,N,Y,126.866982023,37.465389067,2,6,7,N,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
45,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,0045-W-0002,1,N,N,126.864811502,37.467418308,3,6,13,N,N,N,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
45,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,0045-W-0006,1,N,N,126.865016461,37.467970254,3,4,4,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
45,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,0045-W-0007,1,N,N,126.865445155,37.468541714,3,5,10,N,N,N,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
45,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,0045-W-0008,1,N,N,126.866094343,37.468985908,3,5,10,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0003,1,N,N,126.866487628,37.469790849,3,3,9,Y,N,Y,70,90,N,Y,N,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0004,1,N,Y,126.866931901,37.470085065,3,3,9,Y,N,Y,70,90,N,Y,N,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0006,1,N,Y,126.867075447,37.47083446,4,6,10,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0008,1,N,N,126.866926587,37.471068407,4,6,14,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0011,1,N,N,126.867006572,37.471224072,4,6,14,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
