보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명칭,관할경찰서명,위도,경도,데이터기준일자
11,경기도,광명시,하안동,0011-S-0015,가림초등학교,광명경찰서,126.880254543,37.458133525,2021-10-14
11,경기도,광명시,하안동,0011-S-0016,가림초등학교,광명경찰서,126.880031388,37.458270591,2021-10-14
11,경기도,광명시,하안동,0011-S-0017,가림초등학교,광명경찰서,126.879921615,37.458108017,2021-10-14
11,경기도,광명시,하안동,0011-S-0004,가림초등학교,광명경찰서,126.880782219,37.457381238,2021-10-14
11,경기도,광명시,하안동,0011-S-0010,가림초등학교,광명경찰서,126.879518613,37.458672031,2021-10-14
11,경기도,광명시,하안동,0011-S-0011,가림초등학교,광명경찰서,126.879241989,37.45903443,2021-10-14
11,경기도,광명시,하안동,0011-S-0002,가림초등학교,광명경찰서,126.880171755,37.458298192,2021-10-14
22,경기도,광명시,소하동,0022-S-0018,구름산초등학교,광명경찰서,126.883648736,37.454939907,2021-10-21
22,경기도,광명시,소하동,0022-S-0019,구름산초등학교,광명경찰서,126.883853423,37.454979008,2021-10-21
22,경기도,광명시,소하동,0022-S-0020,구름산초등학교,광명경찰서,126.883903149,37.454995837,2021-10-21
22,경기도,광명시,소하동,0022-S-0022,구름산초등학교,광명경찰서,126.883872412,37.455073606,2021-10-21
22,경기도,광명시,소하동,0022-S-0021,구름산초등학교,광명경찰서,126.883880092,37.455056833,2021-10-21
22,경기도,광명시,소하동,0022-S-0013,구름산초등학교,광명경찰서,126.883897076,37.455210541,2021-10-21
22,경기도,광명시,소하동,0022-S-0015,구름산초등학교,광명경찰서,126.883539306,37.45517129,2021-10-21
22,경기도,광명시,소하동,0022-S-0014,구름산초등학교,광명경찰서,126.883559391,37.455175886,2021-10-21
22,경기도,광명시,소하동,0022-S-0017,구름산초등학교,광명경찰서,126.883499332,37.455035483,2021-10-21
22,경기도,광명시,소하동,0022-S-0016,구름산초등학교,광명경찰서,126.88348112,37.455056822,2021-10-21
22,경기도,광명시,소하동,0022-S-0023,구름산초등학교,광명경찰서,126.884371546,37.454024189,2021-10-21
22,경기도,광명시,소하동,0022-S-0024,구름산초등학교,광명경찰서,126.884405258,37.454033327,2021-10-21
22,경기도,광명시,소하동,0022-S-0026,구름산초등학교,광명경찰서,126.884812547,37.453402179,2021-10-21
22,경기도,광명시,소하동,0022-S-0025,구름산초등학교,광명경찰서,126.88477059,37.453389267,2021-10-21
22,경기도,광명시,소하동,0022-S-0008,구름산초등학교,광명경찰서,126.885039692,37.453026133,2021-10-21
22,경기도,광명시,소하동,0022-S-0028,구름산초등학교,광명경찰서,126.885010291,37.452544722,2021-10-21
22,경기도,광명시,소하동,0022-S-0027,구름산초등학교,광명경찰서,126.885145521,37.452797987,2021-10-21
21,경기도,광명시,소하동,0021-S-0001,소하초등학교,광명경찰서,126.887791129,37.44992339,2021-10-21
21,경기도,광명시,소하동,0021-S-0002,소하초등학교,광명경찰서,126.887913995,37.44981024,2021-10-21
21,경기도,광명시,소하동,0021-S-0003,소하초등학교,광명경찰서,126.887980845,37.449729644,2021-10-21
