시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,발생건수,행정동,어린이비율
예원유치원,37.435032,127.143201,5,12,12,2,14,17,5,1,5,10,성남동,0.0513
다솜유치원,37.447962,127.163685,3,15,11,1,19,35,4,1,3,3,금광2동,0.0669
아름다운유치원,37.367591,127.125773,3,6,10,1,6,14,9,2,3,4,수내3동,0.1413
이솔유치원,37.352756,127.112602,5,8,12,2,14,9,5,1,5,4,금곡동,0.0935
뽀뽀뽀유치원,37.415425,127.138017,6,14,39,2,12,9,4,1,6,3,야탑3동,0.09050000000000001
꾸러기유치원,37.403847,127.127335,3,4,19,1,10,9,4,0,3,4,이매1동,0.1265
즐거운유치원,37.351408,127.111941,4,7,12,4,15,14,5,0,4,14,금곡동,0.0935
혜성유치원,37.444509,127.160252,4,6,20,6,10,39,13,1,10,15,금광1동,0.1452
산성어린이집,37.453007,127.150387,2,15,14,4,20,19,7,2,2,17,산성동,0.0697
성남어린이집,37.447702,127.141485,8,19,27,4,30,67,5,3,6,10,태평4동,0.057699999999999994
성현어린이집,37.438454,127.138715,4,3,7,2,12,33,3,0,3,15,수진1동,0.0347
신흥제2어린이집,37.449202,127.144413,10,11,27,6,22,38,9,1,8,3,신흥2동,0.12990000000000002
리플플러스어린이집,37.44181,127.128384,13,3,2,7,4,33,9,0,9,18,태평1동,0.0358
한양어린이집,37.435594,127.1281,2,6,12,4,5,36,2,1,2,97,수진2동,0.053899999999999997
신흥제3어린이집,37.443531,127.148854,5,13,23,4,12,30,6,0,5,5,신흥3동,0.0434
아이세상 어린이집,37.4422,127.134779,2,8,17,5,22,37,5,0,2,45,태평3동,0.0521
중앙동어린이집,37.442671,127.156555,6,7,19,2,14,35,6,0,9,43,중앙동,0.1149
금광2동제2어린이집,37.448432,127.163031,2,16,14,0,19,33,4,1,2,3,금광2동,0.0669
하대원어린이집,37.427838,127.149429,3,1,0,2,4,18,3,0,2,4,하대원동,0.085
서현어린이집,37.382447,127.126079,1,7,8,2,12,12,3,1,1,12,서현1동,0.12050000000000001
늘사랑어린이집,37.408334,127.122855,4,3,11,1,9,9,4,0,4,4,야탑2동,0.11320000000000001
수내동어린이집,37.379099,127.114714,4,1,3,2,4,15,3,0,4,3,수내1동,0.1251
예림어린이집,37.450823,127.157599,1,22,23,2,16,27,6,0,4,7,단대동,0.0796
성남혜은학교,37.450396,127.153922,5,21,18,5,24,26,7,3,6,3,단대동,0.0796
케이디엘피어학원,37.389127,127.124549,7,7,16,2,15,11,10,0,9,7,이매1동,0.1265
