시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
유치원,세교유치원,경기도 광명시 광명로 205-9,경기도 광명시 가학동 441-1,37.41951942,126.8478129,경기도 광명시청,광명경찰서,N,0,,2025-12-08
유치원,세라 유치원,경기도 안산시 상록구 안산천남1로 70,경기도 안산시 상록구 이동 664-1,37.308126,126.843198,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,1,,2025-06-02
어린이집,큰별어린이집,경기도 시흥시 장곡로54번길 43-3,경기도 시흥시 장곡동 794-5,37.3822147,126.7820083,경기도 시흥시청,시흥경찰서,Y,1,,2025-08-25
초등학교,갈담초등학교,경기도 화성시 봉담읍 갈담초교길 24,경기도 화성시 봉담읍 유리 86번지,37.17514004,126.932909,경기도 화성시 교통정책과,화성서부경찰서,N,,,2025-08-25
유치원,경기유치원,경기도 화성시 한신대길 65-33,경기도 화성시 안녕동 1-1번지,37.19971533,127.0266752,경기도 화성시 동부출장소 교통건설과,화성동탄경찰서,N,,,2025-08-25
초등학교,고정초등학교,경기도 화성시 송산면 공룡로 326,경기도 화성시 송산면 고정리 1103번지,37.23771628,126.7381741,경기도 화성시 교통정책과,화성서부경찰서,N,,,2025-08-25
초등학교,금곡초등학교,경기도 화성시 동탄문화센터로 13,경기도 화성시 반송동 78번지,37.19863407,127.0662175,경기도 화성시 동탄출장소 교통건설과,화성동탄경찰서,N,,,2025-08-25
초등학교,기산초등학교,경기도 화성시 동탄지성로 344,경기도 화성시 반월동 705-4번지,37.22460078,127.0507334,경기도 화성시 동부출장소 교통건설과,화성동탄경찰서,N,,,2025-08-25
유치원,깊은샘유치원,경기도 화성시 향남읍 행정서로2길 21,경기도 화성시 향남읍 행정리 422번지,37.13007595,126.9126298,경기도 화성시 교통정책과,화성서부경찰서,N,,,2025-08-25
유치원,나인유치원,경기도 화성시 여울로 115,경기도 화성시 능동 528-8번지,37.20975486,127.052512,경기도 화성시 동부출장소 교통건설과,화성동탄경찰서,N,,,2025-08-25
어린이집,남양영재어린이집,경기도 화성시 남양읍 화성로1155번길 11-10,경기도 화성시 남양읍 남양리 176-4번지,37.2112806,126.809599,경기도 화성시 교통정책과,화성서부경찰서,N,,,2025-08-25
어린이집,양문어린이집,경기도 포천시 영중면 양문로5길 18,경기도 포천시 영중면 양문리 806,38.00133953,127.2405967,경기도 포천시청,포천경찰서,Y,3,,2025-06-23
어린이집,시립영북꿈나무어린이집,경기도 포천시 영북면 영북로133번길 22,경기도 포천시 영북면 운천리 545-3,38.08705591,127.2727768,경기도 포천시청,포천경찰서,Y,3,,2025-06-23
초등학교,광덕 초등학교,경기도 안산시 상록구 안산천서로3길 6-7,경기도 안산시 상록구 월피동 523,37.333067,126.843742,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,3,,2025-06-02
