시설물명,위도,경도,카테고리
CCTV_수정태평4-A-2,37.445935,127.143657,생활안전CCTV
CCTV_수정태평4-A-3,37.44894,127.13925,생활안전CCTV
CCTV_수정태평4-A-4,37.449452,127.140871,생활안전CCTV
CCTV_수정태평4-A-5,37.447938,127.140639,생활안전CCTV
CCTV_수정태평4-A-6,37.44491,127.14009,생활안전CCTV
CCTV_수정태평4-A-7,37.447422,127.142267,생활안전CCTV
CCTV_수정태평4-A-8,37.450521,127.13848,생활안전CCTV
CCTV_수정태평4-A-9,37.446571,127.139359,생활안전CCTV
CCTV_수정태평4-A-10,37.451443,127.140415,생활안전CCTV
CCTV_수정태평4-A-11,37.451126,127.138228,생활안전CCTV
CCTV_수정태평4-A-12,37.446118,127.142367,생활안전CCTV
CCTV_수정태평4-A-13,37.446166,127.141442,생활안전CCTV
CCTV_수정태평4-A-14,37.449862,127.139734,생활안전CCTV
CCTV_수정태평4-A-15,37.444304,127.140406,생활안전CCTV
CCTV_수정태평4-A-16,37.450698,127.140296,생활안전CCTV
CCTV_수정태평4-A-17,37.44745,127.138924,생활안전CCTV
CCTV_수정태평4-A-18,37.449999,127.140203,생활안전CCTV
CCTV_수정태평4-A-19,37.44917,127.14213,생활안전CCTV
CCTV_수정태평4-A-20,37.445706,127.144992,생활안전CCTV
CCTV_수정태평4-A-21,37.44707,127.141024,생활안전CCTV
CCTV_수정태평4-A-22,37.44853,127.14271,생활안전CCTV
CCTV_수정태평4-A-23,37.44722,127.14323,생활안전CCTV
CCTV_수정태평4-A-24,37.44863,127.14032,생활안전CCTV
CCTV_수정태평4-A-25,37.44765,127.14126,생활안전CCTV
CCTV_수정태평4-A-26,37.4496,127.13894,생활안전CCTV
CCTV_수정태평4-A-27,37.44666,127.14305,생활안전CCTV
CCTV_수정태평4-A-28,37.44877,127.1408,생활안전CCTV
CCTV_수정태평4-A-29,37.45081,127.14077,생활안전CCTV
CCTV_수정태평4-A-30,37.44588,127.14038,생활안전CCTV
CCTV_수정태평4-A-31,37.44786,127.1425,생활안전CCTV
CCTV_수정태평4-A-32,37.44515,127.14078,생활안전CCTV
CCTV_수정태평4-A-33,37.445404,127.143102,생활안전CCTV
CCTV_수정태평4-A-34,37.44629,127.14284,생활안전CCTV
CCTV_수정태평4-A-35,37.4508,127.13929,생활안전CCTV
CCTV_수정태평4-A-36,37.44597,127.14268,생활안전CCTV
CCTV_수정태평4-A-37,37.44847,127.13969,생활안전CCTV
CCTV_수정태평4-A-38,37.450607,127.139942,생활안전CCTV
CCTV_수정태평4-A-39,37.449605,127.140145,생활안전CCTV
CCTV_수정태평4-A-40,37.450159,127.141667,생활안전CCTV
CCTV_수정태평4-A-41,37.449806,127.142047,생활안전CCTV
CCTV_수정태평4-A-42,37.449901,127.140664,생활안전CCTV
CCTV_수정태평4-A-43,37.45009,127.140837,생활안전CCTV
CCTV_수정태평4-A-44,37.449301,127.141584,생활안전CCTV
CCTV_수정태평4-A-45,37.449118,127.141946,생활안전CCTV
CCTV_수정태평4-A-46,37.450455,127.140265,생활안전CCTV
CCTV_수정태평4-A-47,37.450481,127.139858,생활안전CCTV
CCTV_수정태평4-A-48,37.449523,127.141117,생활안전CCTV
CCTV_수정태평4-A-49,37.449252,127.140817,생활안전CCTV
CCTV_수정태평4-A-50,37.448446,127.14068,생활안전CCTV
CCTV_수정태평4-A-51,37.448711,127.141227,생활안전CCTV
CCTV_수정태평4-A-52,37.448289,127.141694,생활안전CCTV
CCTV_수정태평4-A-53,37.448433,127.142088,생활안전CCTV
CCTV_수정태평4-A-54,37.450095,127.141372,생활안전CCTV
CCTV_수정태평4-A-55,37.450851,127.138362,생활안전CCTV
CCTV_수정태평4-A-56,37.44542,127.14012,생활안전CCTV
CCTV_수정태평4-A-57,37.44673,127.13995,생활안전CCTV
CCTV_수정태평4-A-58,37.449414,127.138281,생활안전CCTV
