"행정구역","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~4세","2025년_계_5~9세","2025년_계_10~14세","2025년_계_15~19세","2025년_계_20~24세","2025년_계_25~29세","2025년_계_30~34세","2025년_계_35~39세","2025년_계_40~44세","2025년_계_45~49세","2025년_계_50~54세","2025년_계_55~59세","2025년_계_60~64세","2025년_계_65~69세","2025년_계_70~74세","2025년_계_75~79세","2025년_계_80~84세","2025년_계_85~89세","2025년_계_90~94세","2025년_계_95~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~4세","2025년_남_5~9세","2025년_남_10~14세","2025년_남_15~19세","2025년_남_20~24세","2025년_남_25~29세","2025년_남_30~34세","2025년_남_35~39세","2025년_남_40~44세","2025년_남_45~49세","2025년_남_50~54세","2025년_남_55~59세","2025년_남_60~64세","2025년_남_65~69세","2025년_남_70~74세","2025년_남_75~79세","2025년_남_80~84세","2025년_남_85~89세","2025년_남_90~94세","2025년_남_95~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~4세","2025년_여_5~9세","2025년_여_10~14세","2025년_여_15~19세","2025년_여_20~24세","2025년_여_25~29세","2025년_여_30~34세","2025년_여_35~39세","2025년_여_40~44세","2025년_여_45~49세","2025년_여_50~54세","2025년_여_55~59세","2025년_여_60~64세","2025년_여_65~69세","2025년_여_70~74세","2025년_여_75~79세","2025년_여_80~84세","2025년_여_85~89세","2025년_여_90~94세","2025년_여_95~99세","2025년_여_100세 이상"
"경기도 성남시 중원구 중앙동(4113352500)","16,585","16,585","681","624","601","562","663","868","1,272","1,431","1,428","1,288","1,331","1,329","1,267","1,181","823","615","370","174","61","13","3","8,415","8,415","337","342","301","284","353","453","613","755","773","697","697","685","658","566","387","280","150","66","16","1","1","8,170","8,170","344","282","300","278","310","415","659","676","655","591","634","644","609","615","436","335","220","108","45","12","2"
"경기도 성남시 중원구 금광1동(4113353000)","19,608","19,608","1,147","1,079","622","519","680","1,028","1,898","2,365","2,188","1,321","1,240","1,298","1,317","1,224","749","480","230","156","50","15","2","9,624","9,624","547","563","303","274","321","479","861","1,215","1,201","703","618","609","610","579","356","226","97","47","13","2","0","9,984","9,984","600","516","319","245","359","549","1,037","1,150","987","618","622","689","707","645","393","254","133","109","37","13","2"
"경기도 성남시 중원구 금광2동(4113354000)","23,438","23,438","417","498","654","860","1,186","1,777","1,950","1,449","1,621","1,664","1,922","2,070","2,031","1,983","1,411","942","583","299","92","23","6","11,596","11,596","219","233","334","443","563","873","1,023","772","840","853","989","1,028","1,034","923","669","420","246","104","24","4","2","11,842","11,842","198","265","320","417","623","904","927","677","781","811","933","1,042","997","1,060","742","522","337","195","68","19","4"
"경기도 성남시 중원구 은행1동(4113355000)","9,289","9,289","162","199","314","411","542","831","811","574","554","577","804","838","755","691","490","331","239","134","25","4","3","4,576","4,576","77","117","160","210","265","403","451","316","278","278","406","405","369","335","215","138","104","39","8","1","1","4,713","4,713","85","82","154","201","277","428","360","258","276","299","398","433","386","356","275","193","135","95","17","3","2"
"경기도 성남시 중원구 은행2동(4113356000)","20,978","20,978","238","350","566","760","1,138","1,529","1,573","1,142","1,195","1,363","1,832","2,032","1,992","1,863","1,274","960","682","351","106","27","5","10,303","10,303","126","173","291","379","538","798","871","648","613","720","909","989","976","893","576","397","244","130","28","4","0","10,675","10,675","112","177","275","381","600","731","702","494","582","643","923","1,043","1,016","970","698","563","438","221","78","23","5"
"경기도 성남시 중원구 상대원1동(4113357000)","22,454","22,454","431","467","696","724","930","1,483","1,884","1,412","1,570","1,491","1,834","2,076","2,160","2,045","1,329","904","593","293","97","28","7","11,691","11,691","207","218","389","365","497","845","1,088","836","883","820","1,010","1,074","1,054","1,006","608","427","230","103","25","5","1","10,763","10,763","224","249","307","359","433","638","796","576","687","671","824","1,002","1,106","1,039","721","477","363","190","72","23","6"
"경기도 성남시 중원구 상대원2동(4113358000)","2,911","2,911","41","50","91","101","129","190","189","131","170","199","233","320","331","300","170","127","81","36","18","2","2","1,506","1,506","16","30","54","57","55","98","102","70","84","99","130","188","168","161","78","60","39","12","4","0","1","1,405","1,405","25","20","37","44","74","92","87","61","86","100","103","132","163","139","92","67","42","24","14","2","1"
"경기도 성남시 중원구 상대원3동(4113359000)","11,054","11,054","124","165","296","360","440","658","835","606","663","734","847","1,115","1,228","1,114","777","547","311","167","44","19","4","5,822","5,822","62","82","142","193","240","372","486","357","382","391","468","593","620","588","392","262","135","49","6","2","0","5,232","5,232","62","83","154","167","200","286","349","249","281","343","379","522","608","526","385","285","176","118","38","17","4"
"경기도 성남시 중원구 하대원동(4113366000)","19,542","19,542","468","503","691","778","877","1,374","1,458","1,233","1,237","1,248","1,578","1,758","1,974","1,795","1,118","668","445","243","77","16","3","9,769","9,769","225","252","358","422","475","726","774","649","662","618","770","861","912","919","560","311","184","75","15","1","0","9,773","9,773","243","251","333","356","402","648","684","584","575","630","808","897","1,062","876","558","357","261","168","62","15","3"
"경기도 성남시 중원구 도촌동(4113367000)","25,878","25,878","714","1,005","1,359","1,370","1,176","1,530","1,782","1,653","2,107","2,267","2,241","1,997","1,946","1,793","1,123","839","539","300","108","25","4","12,510","12,510","366","544","719","706","625","726","930","802","1,024","1,082","1,076","966","853","876","481","384","211","107","27","4","1","13,368","13,368","348","461","640","664","551","804","852","851","1,083","1,185","1,165","1,031","1,093","917","642","455","328","193","81","21","3"
"경기도 성남시 분당구 (4113500000)","469,833","469,833","13,013","18,157","25,831","25,482","22,658","31,046","34,887","32,753","37,952","40,143","41,622","37,115","31,373","27,528","18,153","13,141","9,545","6,077","2,640","632","85","227,507","227,507","6,765","9,211","13,284","12,871","11,329","15,478","17,695","15,762","17,942","18,860","19,814","18,224","15,063","13,391","8,607","5,795","4,132","2,324","783","154","23","242,326","242,326","6,248","8,946","12,547","12,611","11,329","15,568","17,192","16,991","20,010","21,283","21,808","18,891","16,310","14,137","9,546","7,346","5,413","3,753","1,857","478","62"
"경기도 성남시 분당구 분당동(4113551000)","24,396","24,396","533","807","1,282","1,441","1,267","1,704","1,726","1,540","1,727","2,024","2,215","2,030","1,755","1,575","1,020","724","533","315","145","28","5","11,993","11,993","274","424","637","771","640","908","940","768","822","929","1,069","993","829","750","492","333","236","132","40","4","2","12,403","12,403","259","383","645","670","627","796","786","772","905","1,095","1,146","1,037","926","825","528","391","297","183","105","24","3"
"경기도 성남시 분당구 수내1동(4113552000)","17,879","17,879","284","738","1,214","1,068","838","1,238","1,284","1,072","1,529","1,872","1,797","1,379","957","745","533","435","414","322","133","24","3","8,526","8,526","167","370","631","540","426","587","635","490","683","874","870","708","479","349","235","167","159","119","29","6","2","9,353","9,353","117","368","583","528","412","651","649","582","846","998","927","671","478","396","298","268","255","203","104","18","1"
"경기도 성남시 분당구 수내2동(4113553000)","10,381","10,381","172","755","1,125","854","545","364","249","443","1,103","1,298","1,061","697","456","386","294","218","178","121","50","10","2","5,099","5,099","99","385","555","430","287","188","126","162","499","634","533","390","236","192","135","101","80","52","12","2","1","5,282","5,282","73","370","570","424","258","176","123","281","604","664","528","307","220","194","159","117","98","69","38","8","1"
