시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,어린이 비율(%),발생건수
예크어린이집,37.469854145,126.855135297,-0.2917299829957891,-1.2689053388873928,-1.13454882822623,-0.3123765890323427,-0.1979427892385524,0.14047351923099557,-0.6153194228831999,2.1447710840973517,-0.796643849347773,-0.33978661138936816,0
엄지창의어린이집,37.475694904,126.849686489,-0.2917299829957891,-0.5755392072810674,-1.13454882822623,0.5614282074362117,-0.3760769581465041,0.9848040116955713,-0.853056472633527,-0.7267016572786755,-1.0399302943581707,-0.33978661138936816,0
녹야유치원,37.47927063,126.857818996,-0.2917299829957891,-0.8066612511498424,-0.8432971995037245,-0.3123765890323427,-1.7471254881022427,-0.45858849880495506,-0.9481512925336579,-0.7267016572786755,-0.31007095932697754,-0.33978661138936816,0
광명초등학교,37.480582748,126.858215136,-0.2917299829957891,-0.8066612511498424,-0.8432971995037245,-0.3123765890323427,-1.7471254881022427,-0.45858849880495506,-0.9481512925336579,-0.7267016572786755,-0.31007095932697754,-0.33978661138936816,0
광명남초등학교,37.476246648,126.852962238,-0.2917299829957891,-0.3444171634122923,-1.0374649519853947,1.1814025769677103,-0.3760769581465041,1.3058035670446777,-0.5677720129331344,-0.7267016572786755,-1.0399302943581707,-0.33978661138936816,0
광명서초등학교,37.477852489,126.847357982,-0.2917299829957891,-0.5755392072810674,-0.7462133232628895,-0.3123765890323427,-0.03680083238775859,1.583866029731522,-0.9481512925336579,1.5488866511833155,-0.796643849347773,-0.33978661138936816,0
광문초등학교,37.467074602,126.851639329,-0.2917299829957891,0.11782692432525788,-0.6491294470220543,0.5614282074362117,-0.3760769581465041,0.14047351923099557,-0.5202246029830689,0.709034713409338,-0.06678451431657975,-0.33978661138936816,0
광일초등학교,37.471016793,126.847024959,-0.2917299829957891,-0.5755392072810674,0.4187931916271319,0.5614282074362117,0.3709344780840012,1.3058035670446777,-0.47267719303300354,-0.7267016572786755,0.054858708188619126,-0.33978661138936816,0
세교유치원,37.42002424,126.848711399,-0.2917299829957891,-1.5000273827561676,-1.13454882822623,-1.806155755032396,-4.09094843105239,-2.7463115017700575,-0.9481512925336579,-0.7267016572786755,-1.2832167393685685,-3.0759437774643716,0
온신초등학교,37.442701862,126.84573469,-0.2917299829957891,-0.8066612511498424,-0.5520455707812192,-0.3123765890323427,-0.1979427892385524,-0.45858849880495506,-0.9481512925336579,-0.7267016572786755,-0.796643849347773,-3.0759437774643716,0
안서초등학교,37.402053882,126.871781379,-0.2917299829957891,-0.3444171634122923,-0.9403810757445596,-1.806155755032396,-0.3760769581465041,-0.45858849880495506,-0.7579616527333962,-0.7267016572786755,-1.0399302943581707,-3.0759437774643716,0
산들유치원,37.454875307,126.860017887,-0.2917299829957891,-1.5000273827561676,-1.13454882822623,-1.806155755032396,-1.0616012231243734,-0.45858849880495506,-0.9481512925336579,-0.7267016572786755,-1.1615735168633696,-0.28305237506160114,0
하안남초등학교,37.461014207,126.885382868,-0.2917299829957891,-0.8066612511498424,-0.6491294470220543,1.1814025769677103,0.2456393241391445,-0.45858849880495506,0.14543913631784722,1.5488866511833155,-0.4317141818321764,-0.28305237506160114,0
예솔유치원,37.456700229,126.87841054,-0.2917299829957891,0.348948968194033,0.515877067867967,0.5614282074362117,1.2102657171790467,0.14047351923099557,-0.18739273333261086,-0.7267016572786755,0.176501930693818,-0.28305237506160114,0
구름산유치원,37.455660136,126.882185903,-0.2917299829957891,-0.1132951195435172,0.9042125728313075,-1.806155755032396,1.4813587783064384,0.6051421203111171,0.09789172636778178,-0.7267016572786755,1.3929341557458068,-0.024108051267097093,0
가림초등학교,37.458199404,126.880148027,-0.2917299829957891,0.348948968194033,0.7100448203496372,0.5614282074362117,1.4175507956142184,0.14047351923099557,-0.18739273333261086,-0.7267016572786755,0.29814515319901685,-0.28305237506160114,0
연서초등학교,37.466263613,126.880934844,-0.2917299829957891,-0.1132951195435172,-0.06662618957704364,0.5614282074362117,-0.3760769581465041,0.14047351923099557,0.0027969064676508985,-0.7267016572786755,-0.06678451431657975,-0.28305237506160114,0
파랑새유치원,37.461323282,126.881383058,3.4278273002005224,-1.0377832950186177,-0.6491294470220543,-0.3123765890323427,0.2456393241391445,-1.302918991269531,-0.47267719303300354,0.709034713409338,-0.4317141818321764,-0.28305237506160114,0
