보호구역아이디,관리번호,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로종류,규격여부,경도,위도,보차분리여부,연속형여부,설치년도,관리기관명,관리기관전화번호,데이터기준일자
3,0003-B-0016,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 전방 130m,1,1,10,360,10,1,Y,126.847455097,37.471609659,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0017,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 전방 140m,1,1,10,360,10,1,Y,126.847612528,37.47150627,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0018,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 전방 160m,1,1,10,360,10,1,Y,126.847889952,37.471324046,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0019,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 정문 전방 150m,1,1,10,360,10,1,Y,126.848149649,37.471153037,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0020,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 정문 전방 160m,1,1,10,360,10,1,Y,126.848464532,37.470945494,Y,Y,,광명경찰서,182,2021-10-26
13,0013-B-0004,경기도,광명시,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,광문초등학교 정문 전방 50m,1,1,10,360,10,1,Y,126.850702079,37.466051361,Y,Y,,광명경찰서,182,2021-10-26
13,0013-B-0003,경기도,광명시,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,광문초등학교 정문 전방 30m,1,1,10,360,10,1,Y,126.850628349,37.466339631,Y,Y,,광명경찰서,182,2021-10-26
13,0013-B-0002,경기도,광명시,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,광문초등학교 정문 전방 50m,1,1,10,360,10,1,Y,126.85103561,37.46704311,Y,Y,,광명경찰서,182,2021-10-26
13,0013-B-0001,경기도,광명시,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,광문초등학교 정문 전방 80m,1,1,10,360,10,1,Y,126.851079519,37.467261639,Y,Y,,광명경찰서,182,2021-10-26
13,0013-B-0005,경기도,광명시,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,광문초등학교 정문 전방 80m,1,1,10,360,10,1,Y,126.851313266,37.467126446,Y,Y,,광명경찰서,182,2021-10-26
13,0013-B-0006,경기도,광명시,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,광문초등학교 정문 전방 30m,1,1,10,360,10,1,Y,126.851800523,37.467116196,Y,Y,,광명경찰서,182,2021-10-26
13,0013-B-0009,경기도,광명시,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,광문초등학교 후문 앞,1,1,10,360,10,1,Y,126.852068772,37.467123179,Y,Y,,광명경찰서,182,2021-10-26
13,0013-B-0010,경기도,광명시,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,광문초등학교 후문 전방 30m,1,1,10,360,10,1,Y,126.852444394,37.467135221,Y,Y,,광명경찰서,182,2021-10-26
13,0013-B-0011,경기도,광명시,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,광문초등학교 후문 전방 25m,1,1,10,360,10,1,Y,126.852228016,37.467317289,Y,Y,,광명경찰서,182,2021-10-26
13,0013-B-0008,경기도,광명시,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,광문초등학교 후문 전방 60m,1,1,10,360,10,1,Y,126.852148635,37.467725518,Y,Y,,광명경찰서,182,2021-10-26
13,0013-B-0007,경기도,광명시,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,광문초등학교 후문 전방 60m,1,1,10,360,10,1,Y,126.852662104,37.467164031,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0006,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 전방 45m,1,1,10,360,10,1,Y,126.845571453,37.471341734,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0015,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 전방 100m,1,1,10,360,10,1,Y,126.847276017,37.471727244,Y,Y,,광명경찰서,182,2021-10-26
17,0017-B-0001,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안2동 649,주공3단지아파트 앞,1,1,10,360,7,1,Y,126.875280672,37.462476489,Y,Y,,광명경찰서,182,2021-10-14
17,0017-B-0004,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안2동 649,하안초등학교 정문 전방 10m,1,1,10,360,7,1,Y,126.874872485,37.46296458,Y,Y,,광명경찰서,182,2021-10-14
17,0017-B-0006,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안2동 649,하안초등학교 입구 전방 10m,1,1,10,360,7,1,Y,126.874614161,37.463268999,Y,Y,,광명경찰서,182,2021-10-14
17,0017-B-0007,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안2동 649,하안초등학교 후문 전방 10m,1,1,10,360,7,1,Y,126.87432689,37.4636098,Y,Y,,광명경찰서,182,2021-10-14
17,0017-B-0008,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안2동 649,하안초등학교 후문 전방 10m,1,1,10,360,7,1,Y,126.87427762,37.463668539,Y,Y,,광명경찰서,182,2021-10-14
17,0017-B-0010,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안2동 649,하안주공1단지 상가 앞,1,1,10,360,7,1,Y,126.874091785,37.463686099,Y,Y,,광명경찰서,182,2021-10-14
