관리아이디,위도,경도,보호구역아이디,카테고리
0022-F-0005,37.455078734,126.884177783,22,무단횡단방지펜스
0022-F-0006,37.45535454,126.884029471,22,무단횡단방지펜스
0022-F-0007,37.454448548,126.884099839,22,무단횡단방지펜스
0022-F-0008,37.454509311,126.883951461,22,무단횡단방지펜스
0022-F-0009,37.454046985,126.884263969,22,무단횡단방지펜스
0022-F-0010,37.453641275,126.88445818,22,무단횡단방지펜스
0022-F-0011,37.453662236,126.8845536,22,무단횡단방지펜스
0022-F-0012,37.453116424,126.884918114,22,무단횡단방지펜스
0022-F-0013,37.453268296,126.884738684,22,무단횡단방지펜스
0022-F-0014,37.452975964,126.884862882,22,무단횡단방지펜스
0022-F-0015,37.453108227,126.885678473,22,무단횡단방지펜스
0022-F-0016,37.452374702,126.88434063,22,무단횡단방지펜스
0021-F-0001,37.449291678,126.8881528,21,무단횡단방지펜스
0021-F-0002,37.449277961,126.887974974,21,무단횡단방지펜스
0021-F-0003,37.449019313,126.888172313,21,무단횡단방지펜스
0021-F-0004,37.448321702,126.888050716,21,무단횡단방지펜스
0021-F-0005,37.448327455,126.888231167,21,무단횡단방지펜스
0021-F-0006,37.447664959,126.888105521,21,무단횡단방지펜스
0021-F-0007,37.447678684,126.888291924,21,무단횡단방지펜스
0021-F-0008,37.447426254,126.888600425,21,무단횡단방지펜스
0021-F-0009,37.447324333,126.889124456,21,무단횡단방지펜스
0021-F-0010,37.447465321,126.889389749,21,무단횡단방지펜스
0021-F-0011,37.447188353,126.888145859,21,무단횡단방지펜스
0021-F-0012,37.446656539,126.888369435,21,무단횡단방지펜스
0021-F-0013,37.446545595,126.888196495,21,무단횡단방지펜스
0021-F-0014,37.445987854,126.888429174,21,무단횡단방지펜스
0021-F-0015,37.445801758,126.888444344,21,무단횡단방지펜스
0021-F-0016,37.445327932,126.88829267,21,무단횡단방지펜스
0021-F-0017,37.445376069,126.888474262,21,무단횡단방지펜스
0033-F-0003,37.462171238,126.881976829,33,무단횡단방지펜스
0011-F-0009,37.458356678,126.879966188,11,무단횡단방지펜스
0011-F-0010,37.458405774,126.879803324,11,무단횡단방지펜스
0011-F-0011,37.45857396,126.879751006,11,무단횡단방지펜스
0011-F-0012,37.458799193,126.879558403,11,무단횡단방지펜스
0011-F-0013,37.458802958,126.879464638,11,무단횡단방지펜스
0011-F-0014,37.459019389,126.879278585,11,무단횡단방지펜스
0011-F-0015,37.459036614,126.879377411,11,무단횡단방지펜스
0022-F-0017,37.452966945,126.885366958,22,무단횡단방지펜스
0022-F-0018,37.452729245,126.885530586,22,무단횡단방지펜스
0021-F-0018,37.445250492,126.887541352,21,무단횡단방지펜스
0021-F-0019,37.445002939,126.887587355,21,무단횡단방지펜스
0030-F-0001,37.456716685,126.878479216,30,무단횡단방지펜스
0038-F-0008,37.455197762,126.882632066,38,무단횡단방지펜스
0038-F-0009,37.455028776,126.882733571,38,무단횡단방지펜스
0038-F-0010,37.455397806,126.882516845,38,무단횡단방지펜스
0018-F-0002,37.40216063,126.871187609,18,무단횡단방지펜스
0018-F-0001,37.402055705,126.871859234,18,무단횡단방지펜스
0006-F-0001,37.443692321,126.845641719,6,무단횡단방지펜스
0006-F-0002,37.4433514,126.84562747,6,무단횡단방지펜스
0006-F-0003,37.443135645,126.845620439,6,무단횡단방지펜스
0006-F-0004,37.442933007,126.845617865,6,무단횡단방지펜스
0006-F-0005,37.442803091,126.845624112,6,무단횡단방지펜스
0006-F-0006,37.442422964,126.845708609,6,무단횡단방지펜스
0017-F-0005,37.463407346,126.873685163,17,무단횡단방지펜스
0017-F-0006,37.463252054,126.873806395,17,무단횡단방지펜스
0017-F-0001,37.464380412,126.874629501,17,무단횡단방지펜스
0017-F-0003,37.464305388,126.87488517,17,무단횡단방지펜스
0017-F-0007,37.463637039,126.874266251,17,무단횡단방지펜스
0017-F-0008,37.463333394,126.874524005,17,무단횡단방지펜스
0017-F-0009,37.463208701,126.874698526,17,무단횡단방지펜스
0017-F-0010,37.463105365,126.874784025,17,무단횡단방지펜스
0017-F-0011,37.462823894,126.8749538,17,무단횡단방지펜스
0017-F-0012,37.462834676,126.875019343,17,무단횡단방지펜스
0031-F-0001,37.461228758,126.876905432,31,무단횡단방지펜스
0031-F-0004,37.461576853,126.877546341,31,무단횡단방지펜스
0031-F-0005,37.461692841,126.877759095,31,무단횡단방지펜스
0031-F-0006,37.461407631,126.877933082,31,무단횡단방지펜스
0031-F-0003,37.461144225,126.877456441,31,무단횡단방지펜스
0026-F-0001,37.463848431,126.869522136,26,무단횡단방지펜스
0026-F-0002,37.463974047,126.868674046,26,무단횡단방지펜스
0026-F-0003,37.464101091,126.867793982,26,무단횡단방지펜스
0026-F-0004,37.464131827,126.866937651,26,무단횡단방지펜스
0026-F-0005,37.464058454,126.866356445,26,무단횡단방지펜스
0026-F-0006,37.463935605,126.865472321,26,무단횡단방지펜스
0010-F-0001,37.465681717,126.868936038,10,무단횡단방지펜스
0010-F-0002,37.465356401,126.8687413,10,무단횡단방지펜스
0010-F-0004,37.465198907,126.86829273,10,무단횡단방지펜스
0010-F-0006,37.465258299,126.867513733,10,무단횡단방지펜스
0010-F-0008,37.465850951,126.866063387,10,무단횡단방지펜스
0010-F-0003,37.465126728,126.868776155,10,무단횡단방지펜스
0010-F-0005,37.46513157,126.868292172,10,무단횡단방지펜스
0010-F-0007,37.465191064,126.867506921,10,무단횡단방지펜스
0010-F-0009,37.465808477,126.865987519,10,무단횡단방지펜스
