시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도
늘사랑어린이집,37.408334,127.122855,4,3,11,1,9,9,4,0,4
삼평어린이집,37.406109,127.115836,4,8,34,3,13,9,4,1,6
판교제2어린이집,37.391851,127.090871,3,7,6,1,6,20,5,0,3
수내동어린이집,37.379099,127.114714,4,1,3,2,4,15,3,0,4
구미동어린이집,37.344538,127.112319,3,2,7,1,9,12,4,2,3
예림어린이집,37.450823,127.157599,1,22,23,2,16,27,6,0,4
보듬이나눔이어린이집,37.4065,127.151955,0,2,9,0,11,3,4,0,2
운중하나어린이집,37.389574,127.072072,4,0,3,0,1,14,1,0,6
푸르니이매어린이집,37.3938,127.13236,0,8,3,1,7,7,0,0,0
성남혜은학교,37.450396,127.153922,5,21,18,5,24,26,7,3,6
성은특수학교,37.409122,127.143952,4,6,13,0,14,10,4,0,4
서울국제학교,37.465792,127.128438,1,4,6,1,8,16,1,0,1
케이디엘피어학원,37.389127,127.124549,7,7,16,2,15,11,10,0,9
산성3어린이집,37.460461,127.155653,4,0,0,0,0,14,4,0,4
