대상시설명,소재지지번주소,위도_스쿨존,경도_스쿨존,사고지역위치명,사고유형구분,사고년도,위도_사고,경도_사고,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,직선거리(m)
성남어린이집,경기도 성남시 수정구 태평동 7292,37.447702,127.141485,경기도 성남시 수정구 태평동(태평2동행정복지센터 부근),보행노인사고다발지,2017,37.44758958,127.1388888,5,5,0,3,2,0,229.5297676
성남은행초등학교,경기도 성남시 중원구 은행동 652,37.461002,127.170901,경기도 성남시 중원구 은행동(신성빌라 부근),보행노인사고다발지,2014,37.46279999,127.170143,5,5,0,2,2,1,210.824322
성남은행초등학교,경기도 성남시 중원구 은행동 652,37.461002,127.170901,경기도 성남시 중원구 은행동(한솥도시락성남을지대옆점 부근),보행노인사고다발지,2017,37.46126875,127.1675847,2,2,1,0,0,1,294.2048161
성남제일초등학교,경기도 성남시 중원구 중앙동 2970,37.438906,127.149609,경기도 성남시 중원구 중앙동(성호시장사거리 부근),보행노인사고다발지,2021,37.43976231,127.1470203,5,5,0,5,0,0,247.5935078
성남제일초등학교,경기도 성남시 중원구 중앙동 2970,37.438906,127.149609,경기도 성남시 중원구 중앙동(토암골옛날막창(중동점) 부근),자전거사고다발지,2014,37.44142189,127.1486115,5,5,0,2,2,1,293.2885516
성남중앙초등학교,경기도 성남시 중원구 성남동 2580,37.436255,127.143529,경기도 성남시 중원구 성남동(성일중고앞사거리 부근),보행노인사고다발지,2019,37.43633891,127.1424219,5,5,0,2,3,0,98.19245044
성남중앙초등학교,경기도 성남시 중원구 성남동 2580,37.436255,127.143529,경기도 성남시 수정구 수진동(수진역사거리 부근),보행노인사고다발지,2013,37.43769922,127.1410841,5,5,0,5,0,0,269.0466574
성남중앙초등학교,경기도 성남시 중원구 성남동 2580,37.436255,127.143529,경기도 성남시 수정구 수진동(수진역사거리 부근),보행노인사고다발지,2015,37.43771649,127.1408353,5,5,1,2,2,0,288.0499569
성남중앙초등학교,경기도 성남시 중원구 성남동 2580,37.436255,127.143529,경기도 성남시 중원구 성남동(성일중고앞사거리 부근),보행노인사고다발지,2016,37.43565957,127.140246,5,5,1,3,1,0,297.3295371
성남초등학교,경기도 성남시 수정구 태평동 7326,37.446085,127.144145,경기도 성남시 수정구 태평동(성남초교 부근),보행어린이사고다발지,2016,37.44678079,127.1454331,3,3,0,1,2,0,137.5377868
성남초등학교,경기도 성남시 수정구 태평동 7326,37.446085,127.144145,경기 성남시 수정구 신흥동(숯골사거리 부근),보행노인사고다발지,2024,37.44416931,127.1434837,5,6,0,6,0,0,220.8703134
성남초등학교,경기도 성남시 수정구 태평동 7326,37.446085,127.144145,경기도 성남시 수정구 신흥동(숯골사거리 부근),보행어린이사고다발지,2018,37.44439083,127.1423718,4,4,0,3,1,0,244.9351286
성남혜은학교,경기도 성남시 수정구 단대동 192,37.450396,127.153922,경기도 성남시 수정구 신흥동(보건소삼거리 부근),보행어린이사고다발지,2012,37.45097278,127.1508564,3,3,0,2,1,0,278.1121953
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기 성남시 중원구 성남동(모란삼거리 부근),보행노인사고다발지,2022,37.43306314,127.1282766,6,6,0,6,0,0,120.4893573
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(모란삼거리 부근),보행노인사고다발지,2021,37.43303473,127.1282883,5,5,0,5,0,0,123.3369082
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기 성남시 중원구 성남동(모란삼거리 부근),보행노인사고다발지,2023,37.43305476,127.1283514,5,5,0,5,0,0,126.1710701
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 수정구 수진동(모란사거리 부근),자전거사고다발지,2017,37.43365878,127.1286696,5,5,0,2,1,2,126.9643063
