보호구역아이디,관리번호,시도명,시군구명,도로종류,도로노선번호,도로명,도로노선방향,소재지도로명주소,소재지지번주소,경도,위도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
25,0025-C-0001,경기도,광명시,시도,,양달로,3,경기도 광명시 양달로 10번길 8,경기도 광명시 양달로10번길 8,126.881608228,37.414824442,양달로 4거리,1+2,50,,0,어린이보호구역,,광명경찰서,182,2021-11-26
25,0025-C-0002,경기도,광명시,시도,,양달로,3,경기도 광명시 양달로 10번길 8,경기도 광명시 양달로10번길 8,126.88142806,37.41513237,양달로 4거리,1+2,50,,0,어린이보호구역,,광명경찰서,182,2021-11-26
5,0005-C-0001,경기도,광명시,시도,,오리로,3,경기도 광명시 오리로 402,경기도 광명시 소하동 904,126.879227207,37.438796655,경기도 광명시 소하동 904,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-11-26
24,0024-C-0001,경기도,광명시,시도,,성채안로,3,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,126.884148727,37.43186218,경기도 광명시 소하동 1375,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-11-26
3,0003-C-0001,경기도,광명시,시도,,목감로,3,경기도 광명시 목감로 34-6,경기도 광명시 광명6동 365-38,126.848576683,37.469909204,광일초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
3,0003-C-0002,경기도,광명시,시도,,목감로,3,경기도 광명시 목감로 34-6,경기도 광명시 광명6동 365-38,126.84892524,37.470084049,광일초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
13,0013-C-0001,경기도,광명시,시도,,덕단이로,3,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,126.852075444,37.467174721,광문초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
13,0013-C-0002,경기도,광명시,시도,,덕단이로,3,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,126.852380707,37.467074978,광문초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
2,0002-C-0003,경기도,광명시,시도,,광명로,3,경기도 광명시 광명로 866-9,경기도 광명시 광명동 295-58,126.85280228,37.476295916,광명남초등학교 정문,1+2,50,,0,어린이보호구역,,광명경찰서,182,2021-12-29
15,0015-C-0001,경기도,광명시,시도,,하안로,3,경기도 광명시 하안로 392,경기도 광명시 철산동 555,126.874063257,37.469512009,철산초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
9,0009-C-0001,경기도,광명시,시도,,철산로,3,경기도 광명시 철산로 59,경기도 광명시 철산동 243,126.872389279,37.477749045,광성초교사거리,1,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
4,0004-C-0001,경기도,광명시,시도,,오리로,3,경기도 광명시 오리로 841번길 9,경기도 광명시 철산동 496-3,126.86545787,37.472259531,마리아어린이집 건너편,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
16,0016-C-0001,경기도,광명시,시도,,연서일로,3,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,126.863972442,37.483602306,광명동초등학교 정문,1,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
7,0007-C-0001,경기도,광명시,시도,,너부대로,3,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,126.846340694,37.477666191,광명서초등학교 정문,1,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
10,0010-C-0002,경기도,광명시,시도,,가림로,3,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,126.868354975,37.464004288,하안북초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
10,0010-C-0001,경기도,광명시,시도,,가림로,3,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,126.868588627,37.463789995,하안북초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
17,0017-C-0002,경기도,광명시,시도,,안현로,3,경기도 광명시 안현로 16,경기도 광명시 하안동 711-8,126.874057186,37.463770918,하안초등학교 사거리,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
17,0017-C-0001,경기도,광명시,시도,,안현로,3,경기도 광명시 안현로 16,경기도 광명시 하안동 711-8,126.874451774,37.46388219,하안초등학교 사거리,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
11,0011-C-0002,경기도,광명시,시도,,금당로,3,경기도 광명시 금당로 11-7,광명시 하안동 713,126.879857699,37.458152083,가림초등학교 사거리,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
11,0011-C-0001,경기도,광명시,시도,,금당로,3,경기도 광명시 금당로 11-7,광명시 하안동 713,126.88031078,37.458138239,가림초등학교 사거리,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
12,0012-C-0002,경기도,광명시,시도,,금당로,3,경기도 광명시 금당로 71,경기도 광명시 하안동 111,126.884492102,37.460656251,"하안남초등학교 정문 인근, 1301동 중간지점",1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
12,0012-C-0003,경기도,광명시,시도,,금당로,3,경기도 광명시 금당로 71,경기도 광명시 하안동 111,126.884918288,37.460638788,"하안남초등학교 정문 인근, 1301동 중간지점",1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
20,0020-C-0002,경기도,광명시,시도,,안현로,3,경기도 광명시 안현로 80-2,경기도 광명시 하안동 711-8,126.879677219,37.467206049,자동차학원 사거리,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
20,0020-C-0001,경기도,광명시,시도,,안현로,3,경기도 광명시 안현로 80-2,경기도 광명시 하안동 711-8,126.880210977,37.467274534,자동차학원 사거리,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
19,0019-C-0002,경기도,광명시,시도,,철망산로,3,경기도 광명시 철망산로 68,경기도 광명시 하안동 711,126.875681179,37.46916865,하일초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
19,0019-C-0001,경기도,광명시,시도,,철망산로,3,경기도 광명시 철망산로 68,경기도 광명시 하안동 711,126.876089464,37.469154775,하일초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
22,0022-C-0001,경기도,광명시,시도,,한내일로,3,경기도 광명시 한내일로 5,경기도 광명시 소하동 1304,126.884678374,37.453282943,소하1동주민센터 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
22,0022-C-0002,경기도,광명시,시도,,한내일로,3,경기도 광명시 한내일로 5,경기도 광명시 소하동 1304,126.88532526,37.452639912,소하1동주민센터 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
21,0021-C-0003,경기도,광명시,시도,,소하일로,3,경기도 광명시 소하일로 45,경기도 광명시 소하동 1332,126.888017625,37.448880651,소하초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
21,0021-C-0004,경기도,광명시,시도,,소하일로,3,경기도 광명시 소하일로 45,경기도 광명시 소하동 1332,126.888174218,37.44914184,소하초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
5,0005-C-0002,경기도,광명시,시도,,오리로,3,경기도 광명시 오리로 402,경기도 광명시 소하동 904,126.87918283,37.43826263,서면초교사거리,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
24,0024-C-0002,경기도,광명시,시도,,성채안로,3,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,126.885432745,37.433478225,충현초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29
6,0006-C-0001,경기도,광명시,시도,,범안로,3,경기도 광명시 범안로 657,경기도 광명시 노온사동 361-2,126.845645698,37.44279772,온신초등학교 정문,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-12-29

