관리번호,위도,경도,카테고리
0025-T-0028,37.413467886,126.880679553,신호등
0025-T-0029,37.413415206,126.880752071,신호등
0025-T-0030,37.413490739,126.880922015,신호등
0025-T-0031,37.413530954,126.880943996,신호등
0025-T-0032,37.413633897,126.880893444,신호등
0025-T-0033,37.41449979,126.882639971,신호등
0025-T-0034,37.414703081,126.88245384,신호등
0025-T-0035,37.414079685,126.884590072,신호등
0025-T-0036,37.413954463,126.884980782,신호등
0025-T-0037,37.41386398,126.884930531,신호등
0025-T-0038,37.413597727,126.884956133,신호등
0025-T-0039,37.413532432,126.884975129,신호등
0025-T-0040,37.413728041,126.884634702,신호등
0025-T-0041,37.413793133,126.88440785,신호등
0025-T-0042,37.413662924,126.884836359,신호등
0025-T-0043,37.413703209,126.884930777,신호등
0025-T-0044,37.413903595,126.884338395,신호등
0025-T-0045,37.414044337,126.884407464,신호등
0025-T-0046,37.413989355,126.884697288,신호등
0025-T-0047,37.414029695,126.884848395,신호등
0039-T-0001,37.415401761,126.887677667,신호등
0011-T-0010,37.458090146,126.880213872,신호등
0011-T-0011,37.45810035,126.880240755,신호등
0011-T-0012,37.458158298,126.880238237,신호등
0011-T-0015,37.458290526,126.880101578,신호등
0011-T-0013,37.458273721,126.880045492,신호등
0011-T-0014,37.458273614,126.880075715,신호등
0011-T-0016,37.45827885,126.879989979,신호등
0011-T-0002,37.458216202,126.879951306,신호등
0011-T-0003,37.458180851,126.879912575,신호등
0011-T-0001,37.458199429,126.879947047,신호등
0011-T-0004,37.458093562,126.879928254,신호등
0022-T-0006,37.45486321,126.883606278,신호등
0022-T-0007,37.454883221,126.883679075,신호등
0022-T-0008,37.454868388,126.883722001,신호등
0022-T-0009,37.454919641,126.883752784,신호등
0022-T-0010,37.45491158,126.883851491,신호등
0022-T-0012,37.454960876,126.883880003,신호등
0022-T-0013,37.454991548,126.883949885,신호등
0022-T-0014,37.455057082,126.883881275,신호등
0022-T-0011,37.454939193,126.883830179,신호등
0022-T-0015,37.455271895,126.883849143,신호등
0022-T-0017,37.455245986,126.883764558,신호등
0022-T-0016,37.455225203,126.883690997,신호등
0022-T-0018,37.455209541,126.883655015,신호등
0022-T-0001,37.455182475,126.883533906,신호등
0022-T-0004,37.455152417,126.883529145,신호등
0022-T-0003,37.455142486,126.883457486,신호등
0009-T-0008,37.477310875,126.872774507,신호등
0009-T-0009,37.477723203,126.872462298,신호등
0009-T-0010,37.477565434,126.872408702,신호등
0009-T-0011,37.477271113,126.872726606,신호등
0009-T-0012,37.477441031,126.87280953,신호등
0015-T-0001,37.47120524,126.872680362,신호등
0015-T-0002,37.471281917,126.872920064,신호등
0015-T-0003,37.471294001,126.872812311,신호등
0015-T-0004,37.471204214,126.872789248,신호등
0015-T-0005,37.470922636,126.873025781,신호등
0015-T-0006,37.470956849,126.872666667,신호등
0015-T-0007,37.471040546,126.872623257,신호등
0015-T-0008,37.47092232,126.872731859,신호등
0015-T-0009,37.470509089,126.87184385,신호등
0015-T-0010,37.47063754,126.871683899,신호등
0015-T-0011,37.470582743,126.871832136,신호등
0015-T-0012,37.470542934,126.871716678,신호등
0015-T-0014,37.470563545,126.873384922,신호등
0015-T-0015,37.470466681,126.873453498,신호등
0015-T-0016,37.470417931,126.873191332,신호등
0015-T-0017,37.470393905,126.873385208,신호등
0015-T-0018,37.470348371,126.873297869,신호등
0015-T-0019,37.470421246,126.873457376,신호등
0015-T-0020,37.470321038,126.873233303,신호등
0015-T-0021,37.469369356,126.874177124,신호등
0015-T-0022,37.469304005,126.873933876,신호등
0015-T-0023,37.469289092,126.874052127,신호등
0015-T-0024,37.46923105,126.874000925,신호등
0015-T-0026,37.468725897,126.874632048,신호등
0015-T-0027,37.468669755,126.874374834,신호등
0015-T-0029,37.468606413,126.874756235,신호등
0015-T-0028,37.468477101,126.874968566,신호등
0015-T-0030,37.468366229,126.874508855,신호등
0015-T-0031,37.46834367,126.874659966,신호등
0015-T-0032,37.468428029,126.874971484,신호등
0015-T-0033,37.468513843,126.874426611,신호등
0015-T-0034,37.468629787,126.87452788,신호등
0015-T-0035,37.468620887,126.874693709,신호등
0015-T-0036,37.468581903,126.874876912,신호등
0015-T-0037,37.468300538,126.874870985,신호등
0015-T-0038,37.46844341,126.874446016,신호등
0015-T-0039,37.468379976,126.874617149,신호등
0019-T-0001,37.469256952,126.87606124,신호등
0019-T-0007,37.470002719,126.877308171,신호등
0019-T-0009,37.47005943,126.877222563,신호등
0019-T-0008,37.46989375,126.877391014,신호등
0035-T-0001,37.467314483,126.875853642,신호등
0035-T-0002,37.467209653,126.875641897,신호등
0035-T-0003,37.467246869,126.875738501,신호등
0035-T-0004,37.467043864,126.875778582,신호등
0035-T-0005,37.467145647,126.875999271,신호등
0035-T-0006,37.467099382,126.875925577,신호등
0032-T-0001,37.4661633,126.877802977,신호등
0032-T-0002,37.466053764,126.87801835,신호등
0024-T-0027,37.433250494,126.885329347,신호등
0024-T-0028,37.433167051,126.885323495,신호등
0005-T-0001,37.437831193,126.879745475,신호등
0005-T-0002,37.437774012,126.879778453,신호등
0005-T-0003,37.4376831,126.879461693,신호등
0005-T-0004,37.437752216,126.879443644,신호등
0005-T-0006,37.438374104,126.879131717,신호등
0005-T-0007,37.43831323,126.879157333,신호등
0005-T-0008,37.438392689,126.879433647,신호등
0039-T-0036,37.415642588,126.887589901,신호등
0005-T-0009,37.438610459,126.879028408,신호등
0005-T-0010,37.438725232,126.879299963,신호등
0049-T-0011,37.431691685,126.877640433,신호등
0005-T-0011,37.438438065,126.879397418,신호등
0005-T-0012,37.438590829,126.879315683,신호등
0041-T-0001,37.436835657,126.879773639,신호등
0013-T-0002,37.467088834,126.852156405,신호등
0013-T-0005,37.467063679,126.852256888,신호등
0013-T-0006,37.467076517,126.852415443,신호등
0013-T-0007,37.467131304,126.852425907,신호등
0013-T-0008,37.46715655,126.852399428,신호등
0013-T-0009,37.467190244,126.852388789,신호등
0013-T-0004,37.467198333,126.852119188,신호등
0013-T-0003,37.467164607,126.852103396,신호등
0043-T-0003,37.469397828,126.853928005,신호등
0043-T-0002,37.469246293,126.854044595,신호등
0043-T-0001,37.469292502,126.853933497,신호등
0043-T-0004,37.470108182,126.85597767,신호등
0043-T-0005,37.470146089,126.855967025,신호등
0043-T-0007,37.470280889,126.855945622,신호등
0043-T-0006,37.470230329,126.855945719,신호등
0002-T-0002,37.476243137,126.852857356,신호등
0002-T-0001,37.476322296,126.852805878,신호등
0002-T-0003,37.476286395,126.8530974,신호등
0002-T-0004,37.476322194,126.85309841,신호등
0002-T-0005,37.476386718,126.853121407,신호등
0002-T-0006,37.477301293,126.853352232,신호등
0002-T-0007,37.477465966,126.853637393,신호등
0002-T-0008,37.477470074,126.853552798,신호등
0003-T-0007,37.47021613,126.846075689,신호등
0003-T-0005,37.470656159,126.8455502,신호등
0003-T-0004,37.470650332,126.845415521,신호등
0003-T-0006,37.470791874,126.845634989,신호등
0003-T-0003,37.470706658,126.845280713,신호등
0003-T-0001,37.470892937,126.845145638,신호등
0003-T-0002,37.471068278,126.845287057,신호등
0003-T-0008,37.472200022,126.846596219,신호등
0003-T-0009,37.47213793,126.846642425,신호등
0003-T-0010,37.470770632,126.848871173,신호등
0013-T-0001,37.46706686,126.852131608,신호등
0017-T-0001,37.463902339,126.874181368,신호등
0017-T-0004,37.463895858,126.874317311,신호등
0017-T-0006,37.464498816,126.874784341,신호등
0017-T-0008,37.464462274,126.874945453,신호등
0017-T-0007,37.464373336,126.874954231,신호등
0026-T-0001,37.463792402,126.868516486,신호등
0026-T-0002,37.463854088,126.868571841,신호등
0026-T-0003,37.463982262,126.868574368,신호등
0026-T-0004,37.464016392,126.86826743,신호등
0026-T-0005,37.463909796,126.86674833,신호등
0026-T-0010,37.464060846,126.866456466,신호등
0010-T-0001,37.466336138,126.865055875,신호등
0010-T-0002,37.466373605,126.865022852,신호등
0010-T-0003,37.466382008,126.865119216,신호등
0010-T-0004,37.466443315,126.865204128,신호등
0010-T-0005,37.466392749,126.865213711,신호등
0010-T-0006,37.466415068,126.865244786,신호등
0010-T-0007,37.466529102,126.865184133,신호등
0010-T-0008,37.46656425,126.865168428,신호등
0010-T-0009,37.466561284,126.865021434,신호등
0010-T-0010,37.466516995,126.864980611,신호등
0010-T-0011,37.466543854,126.864968599,신호등
0010-T-0012,37.466490211,126.864969679,신호등
0045-T-0001,37.467972326,126.86493313,신호등
0045-T-0002,37.468003358,126.864968965,신호등
0045-T-0003,37.468971706,126.866104686,신호등
0023-T-0001,37.469784234,126.86649171,신호등
0023-T-0003,37.470851794,126.867087211,신호등
0023-T-0017,37.471110596,126.867042871,신호등
0023-T-0016,37.471136872,126.867027606,신호등
0023-T-0004,37.471032604,126.866817564,신호등
0023-T-0005,37.471064783,126.86679447,신호등
0023-T-0006,37.471075356,126.866860956,신호등
0023-T-0007,37.471109673,126.866777856,신호등
0023-T-0008,37.471119643,126.866756213,신호등
0023-T-0015,37.471149781,126.867057936,신호등
0023-T-0014,37.471276241,126.867017621,신호등
0023-T-0013,37.471250649,126.866972281,신호등
0023-T-0012,37.471292436,126.866948335,신호등
0023-T-0011,37.471241836,126.86677355,신호등
0023-T-0010,37.471222745,126.866716459,신호등
0023-T-0009,37.471079812,126.866763228,신호등
0047-T-0001,37.471105199,126.865806102,신호등
0047-T-0002,37.471095432,126.865602731,신호등
0047-T-0003,37.471116867,126.865584746,신호등
0047-T-0004,37.471172824,126.86556187,신호등
0047-T-0005,37.471216944,126.865542693,신호등
0047-T-0006,37.471245598,126.865584516,신호등
0047-T-0011,37.47118138,126.865714269,신호등
0047-T-0010,37.471174321,126.865677982,신호등
0047-T-0009,37.471141819,126.865766465,신호등
0047-T-0008,37.471185405,126.865632409,신호등
0047-T-0007,37.47127994,126.865705934,신호등
0047-T-0012,37.472224558,126.865491936,신호등
0047-T-0013,37.472264507,126.865505387,신호등
0047-T-0015,37.472197297,126.865593793,신호등
0047-T-0016,37.472223973,126.86554904,신호등
0047-T-0017,37.472262906,126.865559959,신호등
0047-T-0014,37.472271747,126.865426224,신호등
0047-T-0018,37.472349102,126.865362697,신호등
0047-T-0021,37.472527868,126.865338448,신호등
0047-T-0022,37.472554115,126.865359338,신호등
0047-T-0019,37.47252753,126.865502606,신호등
0047-T-0020,37.472548061,126.865496475,신호등
0046-T-0001,37.473461636,126.865310777,신호등
0046-T-0002,37.473485687,126.865365822,신호등
0046-T-0003,37.473523308,126.865321275,신호등
0046-T-0004,37.473457459,126.865217136,신호등
0046-T-0005,37.4736223,126.865138363,신호등
0046-T-0006,37.473572801,126.865123773,신호등
0046-T-0007,37.473551124,126.865075072,신호등
0046-T-0008,37.474076346,126.864402438,신호등
0046-T-0009,37.474052356,126.864270872,신호등
0046-T-0010,37.474076182,126.864258864,신호등
0046-T-0011,37.474092848,126.864240887,신호등
0046-T-0012,37.474109515,126.86422291,신호등
0046-T-0013,37.474286045,126.864327281,신호등
0046-T-0014,37.474317033,126.864324234,신호등
0046-T-0015,37.475036362,126.864169114,신호등
0046-T-0016,37.475024624,126.864149234,신호등
0004-T-0001,37.473663079,126.867212892,신호등
0004-T-0002,37.473570851,126.867148739,신호등
0004-T-0003,37.473631296,126.867155063,신호등
0004-T-0007,37.473311932,126.867227414,신호등
0004-T-0006,37.473398416,126.867238889,신호등
0004-T-0005,37.473369038,126.867131598,신호등
0004-T-0004,37.473435775,126.867119515,신호등
0004-T-0008,37.473681886,126.867455572,신호등
0004-T-0009,37.473656362,126.86750957,신호등
0004-T-0010,37.473384142,126.867605541,신호등
0004-T-0011,37.473347064,126.867576735,신호등
0004-T-0012,37.473339973,126.867461456,신호등
0023-T-0028,37.471386939,126.868313568,신호등
0023-T-0029,37.471425068,126.868301537,신호등
0023-T-0030,37.471467972,126.86829548,신호등
0023-T-0018,37.471296036,126.868032572,신호등
0023-T-0019,37.471343688,126.86800856,신호등
0023-T-0020,37.471334025,126.867894919,신호등
0023-T-0021,37.471357818,126.867853003,신호등
0023-T-0022,37.471538928,126.867792863,신호등
0023-T-0024,37.471677309,126.867894315,신호등
0023-T-0023,37.471629624,126.867888416,신호등
0023-T-0026,37.471725275,126.868151459,신호등
0023-T-0027,37.471668128,126.86821138,신호등
0023-T-0042,37.469885769,126.868651792,신호등
0023-T-0041,37.469876034,126.868764863,신호등
0023-T-0040,37.470034646,126.86882147,신호등
0023-T-0039,37.469961281,126.868781284,신호등
0023-T-0031,37.469866159,126.868459802,신호등
0023-T-0032,37.469963726,126.868423628,신호등
0023-T-0036,37.470294036,126.868632405,신호등
0023-T-0035,37.470244591,126.868482801,신호등
0023-T-0034,37.470208112,126.868409228,신호등
0023-T-0033,37.470113068,126.868368448,신호등
0023-T-0038,37.4702813,126.868764154,신호등
0023-T-0037,37.470257534,126.868829997,신호등
0023-T-0045,37.47042093,126.869996195,신호등
0023-T-0043,37.470382504,126.869739037,신호등
0023-T-0044,37.470420857,126.869930393,신호등
0023-T-0046,37.47037561,126.870065866,신호등
0023-T-0047,37.470249373,126.870074257,신호등
0026-T-0012,37.463646855,126.865072503,신호등
0026-T-0013,37.463522515,126.864743748,신호등
0026-T-0014,37.463617639,126.864540209,신호등
0026-T-0011,37.464058425,126.866423572,신호등
0026-T-0006,37.463906789,126.866724409,신호등
0026-T-0008,37.46410249,126.866757416,신호등
0026-T-0007,37.463906428,126.866564967,신호등
0026-T-0009,37.464092038,126.866634359,신호등
0026-T-0015,37.464051115,126.870565743,신호등
0026-T-0016,37.464246386,126.870373999,신호등
0026-T-0017,37.464270252,126.870397884,신호등
0026-T-0018,37.464355292,126.870511639,신호등
0026-T-0019,37.464065588,126.870721236,신호등
0026-T-0020,37.464180639,126.87076705,신호등
0031-T-0002,37.461699654,126.877946764,신호등
0031-T-0001,37.461784214,126.877903536,신호등
0031-T-0003,37.461543999,126.87818733,신호등
0017-T-0003,37.463826986,126.874394623,신호등
0017-T-0002,37.463721686,126.874011988,신호등
0017-T-0005,37.464443263,126.874836739,신호등
0023-T-0048,37.470319448,126.870104079,신호등
0023-T-0002,37.470075205,126.866938415,신호등
0047-T-0023,37.473038733,126.865399553,신호등
0031-T-0004,37.461627451,126.878165248,신호등
0010-T-0013,37.465113105,126.868617714,신호등
0024-T-0029,37.434206146,126.885326484,신호등
0024-T-0030,37.434628015,126.885236153,신호등
0039-T-0002,37.415459158,126.887567292,신호등
0039-T-0003,37.415663288,126.887420693,신호등
0039-T-0004,37.415471739,126.887368555,신호등
0039-T-0005,37.415584671,126.887472622,신호등
0039-T-0006,37.415665283,126.887812923,신호등
0039-T-0007,37.415739688,126.887522212,신호등
0039-T-0008,37.416516251,126.887943121,신호등
0039-T-0009,37.416387535,126.888229267,신호등
0039-T-0010,37.416384015,126.888002567,신호등
0039-T-0011,37.416463618,126.888133763,신호등
0039-T-0012,37.41742778,126.888462478,신호등
0039-T-0013,37.417285659,126.888742578,신호등
0039-T-0014,37.417387686,126.888567521,신호등
0039-T-0015,37.417451479,126.8887312,신호등
0039-T-0016,37.417412112,126.888830117,신호등
0039-T-0017,37.418137295,126.888893539,신호등
0039-T-0018,37.418071535,126.889175414,신호등
0039-T-0019,37.418249735,126.888888145,신호등
0039-T-0020,37.418316284,126.888996607,신호등
0039-T-0021,37.41833983,126.889262013,신호등
0039-T-0022,37.418377501,126.889098494,신호등
0039-T-0023,37.418212348,126.889322184,신호등
0039-T-0024,37.418140483,126.889237477,신호등
0039-T-0025,37.418168786,126.889301251,신호등
0039-T-0026,37.418188819,126.889234032,신호등
0039-T-0027,37.418198686,126.889040847,신호등
0039-T-0028,37.418108296,126.889087173,신호등
0039-T-0029,37.418299101,126.888969309,신호등
0039-T-0030,37.418299034,126.88889792,신호등
0039-T-0031,37.418262459,126.889183531,신호등
0039-T-0032,37.41834617,126.889158211,신호등
0039-T-0033,37.418810269,126.887603752,신호등
0039-T-0034,37.418706286,126.88744433,신호등
0049-T-0001,37.43171313,126.877581192,신호등
0049-T-0002,37.431694086,126.877608128,신호등
0049-T-0003,37.431739378,126.877605065,신호등
0049-T-0004,37.431744177,126.877634952,신호등
