,안전시설명,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
716,(부천시)유림약국,경기도 부천시 원미구 원미로 111,경기도 부천시 원미구 원미동 115-1번지 유림연립 1층,37.4922962531,126.7905296596,S
717,(부천시)캔디문구,경기도 부천시 원미구 조종로 32,경기도 부천시 원미구 원미동 122-5번지 1층,37.4929132811,126.788216136,S
718,(부천시)부천메디칼약국,경기도 부천시 원미구 부천로90번길 8,경기도 부천시 원미구 원미동 137-2번지 1층,37.4920364165,126.7848082164,S
719,(부천시)한빛약국,경기도 부천시 원미구 원미로143번길 12,경기도 부천시 원미구 원미동 54-18번지 1층,37.4955531319,126.7910305414,S
720,(부천시)CU부천원미점,경기도 부천시 원미구 원미로 143,경기도 부천시 원미구 원미동 54-25번지,37.4954745262,126.7914498499,S
721,(부천시)풍전슈퍼,경기도 부천시 원미구 조마루로 428,경기도 부천시 원미구 원미동 55-1번지 1층,37.4970862211,126.7911631142,S
722,(부천시)천지약국,경기도 부천시 원미구 원미로 141,경기도 부천시 원미구 원미동 77-9번지,37.4952579433,126.791406646,S
723,(부천시)CU부천시청점,경기도 부천시 원미구 길주로 199,경기도 부천시 원미구 중동 1033-3번지 굿모닝프라자 117호,37.5050456251,126.764703583,S
724,(부천시)글로리아문구,경기도 부천시 원미구 계남로 165,경기도 부천시 원미구 중동 1039-1번지 주공 상가 104호,37.5076212523,126.7672466871,S
725,(부천시)GS25중동덕유점,경기도 부천시 원미구 중동로 329,경기도 부천시 원미구 중동 1040-5번지 덕유마을주공3아파트 105호,37.5092840022,126.7693915306,S
726,(부천시)사랑약국,경기도 부천시 원미구 중동로 326,경기도 부천시 원미구 중동 1051-1번지 1층,37.5087740432,126.770007488,S
727,(부천시)부천중3동우체국,경기도 부천시 원미구 계남로 211,경기도 부천시 원미구 중동 1051-4번지,37.5072664246,126.7725452686,S
728,(부천시)이플러스마트,경기도 부천시 원미구 계남로 202,경기도 부천시 원미구 중동 1052-3번지 1층,37.5070754928,126.770816031,S
729,(부천시)금동마트,경기도 부천시 원미구 중동로280번길 61,경기도 부천시 원미구 중동 1054번지 1층,37.5044275608,126.7726067575,S
730,(부천시)부천보룡약국,경기도 부천시 원미구 계남로242번길 35-4,경기도 부천시 원미구 중동 1066번지 1층,37.5050101258,126.7764704953,S
731,(부천시)주연테크컴퓨터,경기도 부천시 원미구 계남로334번길 33-4,경기도 부천시 원미구 중동 1096-13번지,37.5007749769,126.7810932799,S
732,(부천시)심원모닝아트문구점,경기도 부천시 원미구 계남로346번길 40,경기도 부천시 원미구 중동 1096-6번지 1층,37.5000449964,126.7811115921,S
733,(부천시)중동종로약국,경기도 부천시 원미구 부흥로303번길 36,경기도 부천시 원미구 중동 1123번지 금호프라자 1층,37.4963647019,126.7762258471,S
734,(부천시)GS 중동공원점,경기도 부천시 원미구 소향로 149,경기도 부천시 원미구 중동 1160-3번지 필레오트윈파크 B동 112호,37.5021760657,126.7641773609,S
735,(부천시)메디팜 포도마을약국,경기도 부천시 원미구 조마루로 137,경기도 부천시 원미구 중동 1170번지 삼보상가 101호,37.4999283454,126.7593121032,S
736,(부천시)홍진김밥,,경기도 부천시 원미구 중동 1170번지 포도마을,37.5004056041,126.7592395089,S
737,(부천시)포도할인마트,,경기도 부천시 원미구 중동 1171번지 포도마을,37.5009416709,126.7613611289,S
738,(부천시)이마트24부천샤인점,경기도 부천시 원미구 소향로 228,경기도 부천시 원미구 중동 1179번지 미리내마을 제1층 상가 108호,37.5005081183,126.7728371086,S
739,(부천시)한우축산무할인매장,경기도 부천시 원미구 조마루로 246,경기도 부천시 원미구 중동 1182번지 1층,37.4979189831,126.7710068951,S
740,(부천시)그린타운써브공인중개사,경기도 부천시 원미구 부흥로303번길 43,경기도 부천시 원미구 중동 1185-2번지,37.4962616766,126.775593331,S
741,(부천시)메디안약국,경기도 부천시 원미구 중동로 162,경기도 부천시 원미구 중동 1186번지 1층,37.4943187343,126.7674671767,S
742,(부천시)복사골문구점,경기도 부천시 원미구 중동로 162,경기도 부천시 원미구 중동 1186번지 복사골 상가 103호,37.4943187343,126.7674671767,S
743,(부천시)GS25시 중동본점,경기도 부천시 원미구 심중로114번길 35,경기도 부천시 원미구 중동 1203-7번지 1층,37.4930685392,126.772275761,S
744,(부천시)최재연헤어모드,경기도 부천시 원미구 심중로132번길 38,경기도 부천시 원미구 중동 1204-11번지 1층,37.4945034092,126.772555961,S
745,(부천시)밥토리,경기도 부천시 원미구 부일로 341,경기도 부천시 원미구 중동 1289번지 팰리스카운티중앙상가 116호,37.4883836219,126.7682377631,S
746,(부천시)뚜레쥬르 중동래미안점,경기도 부천시 원미구 신흥로276번길 15,경기도 부천시 원미구 중동 1293-1번지 래미안부천중동단지 103호,37.5084787891,126.7762220399,S
747,(부천시)우리문구사,경기도 부천시 원미구 장말로187번길 31,경기도 부천시 원미구 중동 733-12번지 1층,37.4943808608,126.7629642361,S
748,(부천시)완도건어물,경기도 부천시 원미구 장말로199번길 30,경기도 부천시 원미구 중동 736-2번지 시장상가 1층,37.4941375234,126.7644146094,S
749,(부천시)학생문방구,경기도 부천시 원미구 심중로27번길 124,경기도 부천시 원미구 중동 819-16번지 1층,37.4870504442,126.7669160355,S
750,(부천시)이마트24 R춘의역점,경기도 부천시 원미구 길주로391번길 25,경기도 부천시 원미구 춘의동 137-1번지 1층,37.5045536681,126.7858881004,S
751,(분당)하나약국,경기도 성남시 분당구 미금일로 71,경기도 성남시 분당구 구미동 144-4번지,37.3456210895,127.1118182571,S
752,(분당)GS25 오리역점,경기도 성남시 분당구 성남대로43번길 10,경기도 성남시 분당구 구미동 158번지,37.3400283181,127.1078167363,S
753,(분당)세븐일레븐 오리역점,경기도 성남시 분당구 성남대로 38,경기도 성남시 분당구 구미동 185-1번지,37.3393124133,127.1093896673,S
754,(분당)세븐일레븐 분당성우점,경기도 성남시 분당구 구미로 16,경기도 성남시 분당구 구미동 189-1번지 성우스타우스오피스텔 1층 103호,37.3377132185,127.1109897025,S
755,(분당)기린약국,경기도 성남시 분당구 미금로 48,경기도 성남시 분당구 구미동 205-1번지,37.3377133229,127.1165439059,S
756,(분당)구미동우체국,경기도 성남시 분당구 돌마로90번길 6-3,경기도 성남시 분당구 구미동 27번지,37.3493699701,127.1115505594,S
757,(분당)CU 미금먹자골목점,경기도 성남시 분당구 미금일로86번길 9,경기도 성남시 분당구 구미동 54-12번지,37.3468507312,127.1102199805,S
758,(분당)미래팜대학약국,경기도 성남시 분당구 돌마로 46,경기도 성남시 분당구 구미동 7-2번지,37.3496974615,127.1069986696,S
759,(분당)크린팜대학약국,,경기도 성남시 분당구 금곡동 132번지 청솔마을,37.3528178302,127.1157105728,S
760,(분당)GS25 분당성원점,경기도 성남시 분당구 성남대로 170,경기도 성남시 분당구 금곡동 159번지,37.3511750673,127.1095201615,S
761,(분당)GS25 미금씨티밸리점,경기도 성남시 분당구 성남대로171번길 17,경기도 성남시 분당구 금곡동 172번지,37.3511210231,127.1068105923,S
762,(분당)GS25 분당대덕점,경기도 성남시 분당구 정자일로 25,경기도 성남시 분당구 금곡동 206번지,37.352406221,127.1056747664,S
763,(분당)파리바게트 판교대장점,경기도 성남시 분당구 판교대장로 92,경기도 성남시 분당구 대장동 627-5 파리바게뜨판교대장점 경기도 성남시 분당구 판교대장로 92,37.3670318637,127.0684429052,S
764,우프테이블,경기도 성남시 분당구 동판교로 61,경기도 성남시 분당구 백현동 550번지 1층,37.388466419,127.1153931303,S
765,(분당)나라부동산,경기도 성남시 분당구 동판교로52번길 5,경기도 성남시 분당구 백현동 604번지,37.3875353299,127.1145732421,S
766,(분당)아름문구,경기도 성남시 분당구 장안로52번길 3,경기도 성남시 분당구 분당동 118-1번지,37.3709008768,127.1449714819,S
