관리번호,위도,경도,교육시설명칭,카테고리
0028-S-0003,126.852853403,37.468730106,예림유치원,보호구역표지판
0007-S-0005,126.846274372,37.478707286,광명서초등학교,보호구역표지판
0007-S-0006,126.847676014,37.47833805,광명서초등학교,보호구역표지판
0007-S-0007,126.847404692,37.478035605,광명서초등학교,보호구역표지판
0007-S-0008,126.847641105,37.477267538,광명서초등학교,보호구역표지판
0007-S-0009,126.84667035,37.477487928,광명서초등학교,보호구역표지판
0013-S-0006,126.8509169,37.466773089,광문초등학교,보호구역표지판
0003-S-0003,126.845853951,37.470757863,광일초등학교,보호구역표지판
0003-S-0005,126.846678385,37.470529081,광일초등학교,보호구역표지판
0003-S-0008,126.846597317,37.472063075,광일초등학교,보호구역표지판
0003-S-0011,126.848934479,37.470796411,광일초등학교,보호구역표지판
0003-S-0013,126.848824529,37.470840052,광일초등학교,보호구역표지판
0020-S-0002,126.881385292,37.465272586,연서초등학교,보호구역표지판
0020-S-0001,126.881622329,37.465411023,연서초등학교,보호구역표지판
0020-S-0004,126.880134047,37.466950267,연서초등학교,보호구역표지판
0033-S-0005,126.882482026,37.461994183,파랑새유치원,보호구역표지판
0033-S-0006,126.881945166,37.462341333,파랑새유치원,보호구역표지판
0033-S-0002,126.881276305,37.460618261,파랑새유치원,보호구역표지판
0033-S-0001,126.88151234,37.460659412,파랑새유치원,보호구역표지판
0033-S-0003,126.880899161,37.461092486,파랑새유치원,보호구역표지판
0012-S-0001,126.886362813,37.461688395,하안남초등학교,보호구역표지판
0012-S-0005,126.884384106,37.460337913,하안남초등학교,보호구역표지판
0030-S-0001,126.878573065,37.456814675,예솔유치원,보호구역표지판
0030-S-0003,126.878212536,37.456605737,예솔유치원,보호구역표지판
0038-S-0002,126.881227331,37.455623508,구름산유치원,보호구역표지판
0038-S-0003,126.882275824,37.456271833,구름산유치원,보호구역표지판
0038-S-0005,126.882445331,37.45556719,구름산유치원,보호구역표지판
0011-S-0006,126.879311584,37.457599354,가림초등학교,보호구역표지판
0011-S-0007,126.879215051,37.457786246,가림초등학교,보호구역표지판
0011-S-0005,126.87998466,37.457945253,가림초등학교,보호구역표지판
0011-S-0003,126.880779469,37.457386284,가림초등학교,보호구역표지판
0011-S-0012,126.879237091,37.459041264,가림초등학교,보호구역표지판
0011-S-0001,126.881357783,37.458707788,가림초등학교,보호구역표지판
0011-S-0013,126.88116511,37.458837049,가림초등학교,보호구역표지판
0022-S-0002,126.883216032,37.455012975,구름산초등학교,보호구역표지판
0022-S-0001,126.883366815,37.454739829,구름산초등학교,보호구역표지판
0022-S-0004,126.88337425,37.455761094,구름산초등학교,보호구역표지판
0022-S-0003,126.883266133,37.455669889,구름산초등학교,보호구역표지판
0022-S-0005,126.884333987,37.455474359,구름산초등학교,보호구역표지판
0022-S-0006,126.884448717,37.455177204,구름산초등학교,보호구역표지판
0022-S-0007,126.883929507,37.454510241,구름산초등학교,보호구역표지판
0022-S-0010,126.885957269,37.452896421,구름산초등학교,보호구역표지판
0022-S-0009,126.885734388,37.453131143,구름산초등학교,보호구역표지판
0022-S-0012,126.884095607,37.452103495,구름산초등학교,보호구역표지판
0022-S-0011,126.88436644,37.451974305,구름산초등학교,보호구역표지판
0021-S-0005,126.888059023,37.450000071,소하초등학교,보호구역표지판
0021-S-0007,126.888579412,37.449875902,소하초등학교,보호구역표지판
0021-S-0011,126.888227732,37.448775199,소하초등학교,보호구역표지판
0021-S-0015,126.888063247,37.448174515,소하초등학교,보호구역표지판
0021-S-0023,126.88883735,37.447288682,소하초등학교,보호구역표지판
0021-S-0020,126.889781755,37.447630394,소하초등학교,보호구역표지판
0021-S-0022,126.890660142,37.447593961,소하초등학교,보호구역표지판
0021-S-0021,126.890599124,37.447787599,소하초등학교,보호구역표지판
0021-S-0037,126.888299324,37.444846971,소하초등학교,보호구역표지판
0021-S-0035,126.885994314,37.445650745,소하초등학교,보호구역표지판
0021-S-0036,126.885840516,37.445404753,소하초등학교,보호구역표지판
0021-S-0038,126.889040416,37.444829511,소하초등학교,보호구역표지판
0021-S-0039,126.88967066,37.445137404,소하초등학교,보호구역표지판
0030-S-0002,126.878566506,37.456812695,예솔유치원,보호구역표지판
0030-S-0005,126.878209559,37.45660313,예솔유치원,보호구역표지판
0030-S-0004,126.87820906,37.456607254,예솔유치원,보호구역표지판
0038-S-0001,126.881216504,37.455619131,구름산유치원,보호구역표지판
0038-S-0004,126.882431827,37.455571632,구름산유치원,보호구역표지판
0033-S-0004,126.880882046,37.461425253,파랑새유치원,보호구역표지판
0012-S-0002,126.886358952,37.461683059,하안남초등학교,보호구역표지판
0012-S-0006,126.88438124,37.460336421,하안남초등학교,보호구역표지판
0012-S-0004,126.885596553,37.46117619,하안남초등학교,보호구역표지판
0012-S-0011,126.884832709,37.460603348,하안남초등학교,보호구역표지판
0012-S-0010,126.88485343,37.460629572,하안남초등학교,보호구역표지판
0012-S-0008,126.884601218,37.460685005,하안남초등학교,보호구역표지판
0012-S-0009,126.884614112,37.460699891,하안남초등학교,보호구역표지판
0011-S-0008,126.879561515,37.457724376,가림초등학교,보호구역표지판
0011-S-0009,126.879473181,37.457916495,가림초등학교,보호구역표지판
0011-S-0014,126.880121205,37.458047582,가림초등학교,보호구역표지판
0011-S-0015,126.880254543,37.458133525,가림초등학교,보호구역표지판
0011-S-0016,126.880031388,37.458270591,가림초등학교,보호구역표지판
0011-S-0017,126.879921615,37.458108017,가림초등학교,보호구역표지판
0011-S-0004,126.880782219,37.457381238,가림초등학교,보호구역표지판
0011-S-0010,126.879518613,37.458672031,가림초등학교,보호구역표지판
0011-S-0011,126.879241989,37.45903443,가림초등학교,보호구역표지판
0011-S-0002,126.880171755,37.458298192,가림초등학교,보호구역표지판
0022-S-0018,126.883648736,37.454939907,구름산초등학교,보호구역표지판
0022-S-0019,126.883853423,37.454979008,구름산초등학교,보호구역표지판
0022-S-0020,126.883903149,37.454995837,구름산초등학교,보호구역표지판
0022-S-0022,126.883872412,37.455073606,구름산초등학교,보호구역표지판
0022-S-0021,126.883880092,37.455056833,구름산초등학교,보호구역표지판
0022-S-0013,126.883897076,37.455210541,구름산초등학교,보호구역표지판
0022-S-0015,126.883539306,37.45517129,구름산초등학교,보호구역표지판
0022-S-0014,126.883559391,37.455175886,구름산초등학교,보호구역표지판
0022-S-0017,126.883499332,37.455035483,구름산초등학교,보호구역표지판
0022-S-0016,126.88348112,37.455056822,구름산초등학교,보호구역표지판
0022-S-0023,126.884371546,37.454024189,구름산초등학교,보호구역표지판
0022-S-0024,126.884405258,37.454033327,구름산초등학교,보호구역표지판
0022-S-0026,126.884812547,37.453402179,구름산초등학교,보호구역표지판
0022-S-0025,126.88477059,37.453389267,구름산초등학교,보호구역표지판
0022-S-0008,126.885039692,37.453026133,구름산초등학교,보호구역표지판
0022-S-0028,126.885010291,37.452544722,구름산초등학교,보호구역표지판
0022-S-0027,126.885145521,37.452797987,구름산초등학교,보호구역표지판
0021-S-0001,126.887791129,37.44992339,소하초등학교,보호구역표지판
0021-S-0002,126.887913995,37.44981024,소하초등학교,보호구역표지판
0021-S-0003,126.887980845,37.449729644,소하초등학교,보호구역표지판
0021-S-0004,126.88806262,37.449745167,소하초등학교,보호구역표지판
0021-S-0006,126.888572592,37.449871786,소하초등학교,보호구역표지판
0021-S-0009,126.888134206,37.449013293,소하초등학교,보호구역표지판
0021-S-0010,126.888157887,37.449011599,소하초등학교,보호구역표지판
0021-S-0013,126.888084752,37.448615526,소하초등학교,보호구역표지판
0021-S-0012,126.888084745,37.448620246,소하초등학교,보호구역표지판
0021-S-0016,126.888142673,37.448025651,소하초등학교,보호구역표지판
0021-S-0014,126.888142124,37.448032516,소하초등학교,보호구역표지판
0021-S-0018,126.888199054,37.44738472,소하초등학교,보호구역표지판
0021-S-0017,126.888197961,37.447395874,소하초등학교,보호구역표지판
0021-S-0027,126.889979232,37.44734606,소하초등학교,보호구역표지판
0021-S-0029,126.890106638,37.44743499,소하초등학교,보호구역표지판
0021-S-0028,126.890116341,37.447423844,소하초등학교,보호구역표지판
0021-S-0024,126.890079658,37.447485592,소하초등학교,보호구역표지판
0021-S-0025,126.890066178,37.447503599,소하초등학교,보호구역표지판
0021-S-0026,126.889973048,37.44752668,소하초등학교,보호구역표지판
0021-S-0019,126.889792631,37.447625191,소하초등학교,보호구역표지판
0021-S-0030,126.888297881,37.445882316,소하초등학교,보호구역표지판
0021-S-0032,126.888427999,37.445591549,소하초등학교,보호구역표지판
0021-S-0033,126.888498091,37.445498943,소하초등학교,보호구역표지판
0021-S-0008,126.888126677,37.449588596,소하초등학교,보호구역표지판
0012-S-0003,126.885584987,37.461193686,하안남초등학교,보호구역표지판
0012-S-0007,126.886619861,37.461488823,하안남초등학교,보호구역표지판
0021-S-0031,126.888304627,37.445741917,소하초등학교,보호구역표지판
0020-S-0003,126.880647125,37.466582727,연서초등학교,보호구역표지판
0021-S-0034,126.887493571,37.445020771,소하초등학교,보호구역표지판
0037-S-0001,126.860441053,37.456656656,산들유치원,보호구역표지판
0037-S-0002,126.859824305,37.454404082,산들유치원,보호구역표지판
0037-S-0003,126.860103074,37.454045631,산들유치원,보호구역표지판
0037-S-0004,126.860538127,37.453261832,산들유치원,보호구역표지판
0037-S-0005,126.860465222,37.453874416,산들유치원,보호구역표지판
0018-S-0001,126.873280032,37.401683552,안서초등학교,보호구역표지판
0018-S-0002,126.872974793,37.401943075,안서초등학교,보호구역표지판
0018-S-0003,126.87224559,37.401982816,안서초등학교,보호구역표지판
0018-S-0004,126.872042276,37.402049347,안서초등학교,보호구역표지판
0018-S-0005,126.870292917,37.402326959,안서초등학교,보호구역표지판
0018-S-0006,126.870227237,37.402291128,안서초등학교,보호구역표지판
0018-S-0007,126.87210143,37.401968953,안서초등학교,보호구역표지판
0018-S-0008,126.873177732,37.401655431,안서초등학교,보호구역표지판
0006-S-0001,126.846532385,37.442023834,온신초등학교,보호구역표지판
0006-S-0002,126.846370914,37.442033159,온신초등학교,보호구역표지판
0006-S-0003,126.845763707,37.442163485,온신초등학교,보호구역표지판
0006-S-0004,126.845668179,37.442091842,온신초등학교,보호구역표지판
0006-S-0005,126.845512877,37.442735897,온신초등학교,보호구역표지판
0006-S-0006,126.845521071,37.442749616,온신초등학교,보호구역표지판
0006-S-0007,126.845062871,37.442750208,온신초등학교,보호구역표지판
0006-S-0008,126.84552439,37.443316698,온신초등학교,보호구역표지판
0006-S-0009,126.845562088,37.443886507,온신초등학교,보호구역표지판
0027-S-0001,126.867944281,37.490684968,예지유치원,보호구역표지판
0027-S-0002,126.868209051,37.490692489,예지유치원,보호구역표지판
0027-S-0003,126.868615501,37.490574444,예지유치원,보호구역표지판
0027-S-0004,126.868919919,37.490725072,예지유치원,보호구역표지판
0027-S-0005,126.867644051,37.490217865,예지유치원,보호구역표지판
0027-S-0006,126.867401968,37.489688688,예지유치원,보호구역표지판
0027-S-0007,126.867210227,37.489408124,예지유치원,보호구역표지판
0014-S-0001,126.867157115,37.48854506,광명북초등학교,보호구역표지판
0014-S-0002,126.86935526,37.488081001,광명북초등학교,보호구역표지판
0014-S-0003,126.868940233,37.487729143,광명북초등학교,보호구역표지판
0014-S-0004,126.866478505,37.486777209,광명북초등학교,보호구역표지판
0014-S-0005,126.866666197,37.486692601,광명북초등학교,보호구역표지판
0014-S-0006,126.868991621,37.485877294,광명북초등학교,보호구역표지판
0014-S-0007,126.869037133,37.48593793,광명북초등학교,보호구역표지판
0009-S-0001,126.873075373,37.4778208,광성초등학교,보호구역표지판
0009-S-0002,126.873334268,37.477570656,광성초등학교,보호구역표지판
0009-S-0003,126.871652578,37.477035686,광성초등학교,보호구역표지판
0009-S-0004,126.87151012,37.477358656,광성초등학교,보호구역표지판
0009-S-0005,126.872502801,37.477747481,광성초등학교,보호구역표지판
0009-S-0006,126.872029658,37.478809242,광성초등학교,보호구역표지판
0009-S-0007,126.871887674,37.478853518,광성초등학교,보호구역표지판
0040-S-0001,126.869086193,37.477428698,삼흥유치원,보호구역표지판
0040-S-0002,126.868573872,37.47768259,삼흥유치원,보호구역표지판
0040-S-0003,126.868872522,37.477892953,삼흥유치원,보호구역표지판
0040-S-0004,126.868720536,37.477860472,삼흥유치원,보호구역표지판
0015-S-0001,126.872759937,37.472295633,철산초등학교,보호구역표지판
0015-S-0003,126.872336914,37.470728019,철산초등학교,보호구역표지판
0015-S-0002,126.872427678,37.470994695,철산초등학교,보호구역표지판
0015-S-0004,126.870736215,37.470338529,철산초등학교,보호구역표지판
0015-S-0005,126.870685261,37.470500035,철산초등학교,보호구역표지판
0015-S-0007,126.873930634,37.469247393,철산초등학교,보호구역표지판
0015-S-0008,126.874244658,37.469344665,철산초등학교,보호구역표지판
0015-S-0009,126.874600275,37.468811886,철산초등학교,보호구역표지판
0019-S-0001,126.875249262,37.468602541,하일초등학교,보호구역표지판
0019-S-0002,126.875765636,37.468910055,하일초등학교,보호구역표지판
0019-S-0003,126.876160048,37.469427469,하일초등학교,보호구역표지판
0019-S-0004,126.877213116,37.47002635,하일초등학교,보호구역표지판
0035-S-0001,126.875037544,37.467931832,한마음유치원,보호구역표지판
0035-S-0002,126.875464687,37.467397256,한마음유치원,보호구역표지판
0035-S-0003,126.876235208,37.466870818,한마음유치원,보호구역표지판
0035-S-0004,126.876662186,37.46606749,한마음유치원,보호구역표지판
0035-S-0005,126.876819133,37.466152474,한마음유치원,보호구역표지판
0032-S-0001,126.877427835,37.465943572,혜성유치원,보호구역표지판
0032-S-0002,126.880811132,37.467787334,혜성유치원,보호구역표지판
0032-S-0003,126.880955653,37.467649457,혜성유치원,보호구역표지판
0032-S-0004,126.878946812,37.466782179,혜성유치원,보호구역표지판
0032-S-0005,126.878245181,37.466159119,혜성유치원,보호구역표지판
0015-S-0006,126.873290349,37.470205703,철산초등학교,보호구역표지판
0015-S-0010,126.872021926,37.467552144,철산초등학교,보호구역표지판
0044-S-0001,126.861835333,37.481547255,철산어린이집,보호구역표지판
0044-S-0002,126.861997408,37.481874469,철산어린이집,보호구역표지판
0044-S-0003,126.862849547,37.482733044,철산어린이집,보호구역표지판
0016-S-0001,126.86378204,37.483052472,광명동초등학교,보호구역표지판
0016-S-0002,126.863931621,37.483181981,광명동초등학교,보호구역표지판
0016-S-0003,126.864594086,37.482751618,광명동초등학교,보호구역표지판
0016-S-0005,126.864034518,37.483812205,광명동초등학교,보호구역표지판
0016-S-0006,126.864340886,37.484691388,광명동초등학교,보호구역표지판
0016-S-0004,126.864556592,37.482681373,광명동초등학교,보호구역표지판
0024-S-0001,126.884529005,37.433600556,충현초등학교,보호구역표지판
0024-S-0002,126.88494222,37.435511923,충현초등학교,보호구역표지판
0042-S-0001,126.885564838,37.434997597,트인아이유치원,보호구역표지판
0042-S-0002,126.886382651,37.435086115,트인아이유치원,보호구역표지판
0024-S-0003,126.88603809,37.432038158,충현초등학교,보호구역표지판
0024-S-0004,126.883682119,37.430674157,충현초등학교,보호구역표지판
0024-S-0005,126.882704304,37.432004382,충현초등학교,보호구역표지판
0041-S-0002,126.879758041,37.436774541,아란유치원,보호구역표지판
0005-S-0001,126.881487869,37.439036736,서면초등학교,보호구역표지판
0005-S-0002,126.879060092,37.439107702,서면초등학교,보호구역표지판
0051-S-0001,126.877440669,37.436286315,큰별어린이집,보호구역표지판
0051-S-0002,126.87713006,37.436095277,큰별어린이집,보호구역표지판
0051-S-0003,126.877369441,37.43596584,큰별어린이집,보호구역표지판
0049-S-0001,126.877054552,37.432544086,광명생명숲어린이집,보호구역표지판
0049-S-0002,126.876930408,37.432410456,광명생명숲어린이집,보호구역표지판
0049-S-0003,126.877108906,37.431479953,광명생명숲어린이집,보호구역표지판
0049-S-0004,126.879227101,37.431924595,광명생명숲어린이집,보호구역표지판
0049-S-0005,126.878818833,37.432980738,광명생명숲어린이집,보호구역표지판
0039-S-0001,126.887196124,37.415753133,빛가온유치원,보호구역표지판
0039-S-0002,126.887512769,37.415066859,빛가온유치원,보호구역표지판
0039-S-0003,126.889784504,37.418150962,빛가온유치원,보호구역표지판
0039-S-0004,126.889095468,37.418417319,빛가온유치원,보호구역표지판
0025-S-0001,126.885065763,37.41414907,빛가온초등학교,보호구역표지판
0025-S-0002,126.885946665,37.413478604,빛가온초등학교,보호구역표지판
0025-S-0003,126.885019168,37.413348019,빛가온초등학교,보호구역표지판
0025-S-0004,126.881827163,37.411864918,빛가온초등학교,보호구역표지판
0025-S-0005,126.881933477,37.411155562,빛가온초등학교,보호구역표지판
0025-S-0006,126.881052084,37.412131143,빛가온초등학교,보호구역표지판
0025-S-0007,126.880754085,37.413092049,빛가온초등학교,보호구역표지판
0025-S-0008,126.879421362,37.415180941,빛가온초등학교,보호구역표지판
0025-S-0009,126.881945086,37.41594635,빛가온초등학교,보호구역표지판
0025-S-0010,126.881631324,37.411037175,빛가온초등학교,보호구역표지판
0025-S-0011,126.880748078,37.411960723,빛가온초등학교,보호구역표지판
0025-S-0012,126.879388252,37.415481241,빛가온초등학교,보호구역표지판
0025-S-0013,126.882310358,37.415828337,빛가온초등학교,보호구역표지판
0025-S-0014,126.880525715,37.413166284,빛가온초등학교,보호구역표지판
0039-S-0005,126.887189824,37.415152328,빛가온유치원,보호구역표지판
0025-S-0015,126.88466534,37.414285746,빛가온초등학교,보호구역표지판
0025-S-0016,126.885813275,37.413251895,빛가온초등학교,보호구역표지판
0025-S-0017,126.884616353,37.413371311,빛가온초등학교,보호구역표지판
0039-S-0006,126.887145069,37.415594406,빛가온유치원,보호구역표지판
0049-S-0006,126.879245717,37.431850428,광명생명숲어린이집,보호구역표지판
0049-S-0007,126.877040016,37.431538243,광명생명숲어린이집,보호구역표지판
0049-S-0008,126.878708622,37.433079991,광명생명숲어린이집,보호구역표지판
0024-S-0006,126.882709087,37.431788357,충현초등학교,보호구역표지판
0024-S-0007,126.886057916,37.431851827,충현초등학교,보호구역표지판
0024-S-0008,126.885119577,37.435536487,충현초등학교,보호구역표지판
0005-S-0003,126.87878082,37.439056842,서면초등학교,보호구역표지판
0041-S-0003,126.879495934,37.436838129,아란유치원,보호구역표지판
0041-S-0001,126.879845837,37.437024061,아란유치원,보호구역표지판
0005-S-0006,126.879045107,37.438572803,서면초등학교,보호구역표지판
0005-S-0007,126.879688955,37.437910726,서면초등학교,보호구역표지판
0005-S-0008,126.879712953,37.437860688,서면초등학교,보호구역표지판
0039-S-0007,126.88912689,37.417985449,빛가온유치원,보호구역표지판
0039-S-0008,126.888646485,37.418449867,빛가온유치원,보호구역표지판
0039-S-0009,126.888044707,37.416114225,빛가온유치원,보호구역표지판
0017-S-0004,126.875222977,37.464747924,하안초등학교,보호구역표지판
0031-S-0004,126.877010189,37.460876117,예원유치원,보호구역표지판
0031-S-0001,126.87781228,37.461726819,예원유치원,보호구역표지판
0031-S-0003,126.877071299,37.461301116,예원유치원,보호구역표지판
0017-S-0006,126.873435592,37.462883085,하안초등학교,보호구역표지판
0017-S-0001,126.875143866,37.462525228,하안초등학교,보호구역표지판
0017-S-0005,126.873702615,37.463172819,하안초등학교,보호구역표지판
0031-S-0002,126.877876098,37.461357312,예원유치원,보호구역표지판
0026-S-0001,126.870238162,37.464106778,가림유치원,보호구역표지판
0026-S-0002,126.870346215,37.463882807,가림유치원,보호구역표지판
0026-S-0004,126.8692935,37.463872112,가림유치원,보호구역표지판
0026-S-0005,126.8687434,37.463761842,가림유치원,보호구역표지판
0026-S-0007,126.868338033,37.463832908,가림유치원,보호구역표지판
0026-S-0008,126.868360113,37.464033183,가림유치원,보호구역표지판
0026-S-0009,126.867331094,37.464151228,가림유치원,보호구역표지판
0026-S-0010,126.866775242,37.46391221,가림유치원,보호구역표지판
0026-S-0013,126.866144341,37.463832828,가림유치원,보호구역표지판
0026-S-0012,126.866033379,37.464004345,가림유치원,보호구역표지판
0026-S-0011,126.866393669,37.464056007,가림유치원,보호구역표지판
0010-S-0007,126.869161315,37.465259267,하안북초등학교,보호구역표지판
0010-S-0001,126.868967083,37.465831336,하안북초등학교,보호구역표지판
0010-S-0002,126.868094827,37.465229617,하안북초등학교,보호구역표지판
0010-S-0003,126.867460666,37.465295657,하안북초등학교,보호구역표지판
0010-S-0004,126.866515184,37.465518682,하안북초등학교,보호구역표지판
0010-S-0005,126.865886386,37.465929197,하안북초등학교,보호구역표지판
0010-S-0006,126.865078333,37.46622746,하안북초등학교,보호구역표지판
0045-S-0003,126.865561008,37.468505849,구름산어린이집,보호구역표지판
0023-S-0001,126.865796671,37.469270164,안현초등학교,보호구역표지판
0023-S-0002,126.86649007,37.469549868,안현초등학교,보호구역표지판
0023-S-0004,126.866767559,37.469926841,안현초등학교,보호구역표지판
0023-S-0006,126.867239007,37.470562687,안현초등학교,보호구역표지판
0023-S-0005,126.86704801,37.470321696,안현초등학교,보호구역표지판
0023-S-0007,126.866864405,37.470973492,안현초등학교,보호구역표지판
0023-S-0009,126.867168837,37.471340959,안현초등학교,보호구역표지판
0023-S-0011,126.867719267,37.471293898,안현초등학교,보호구역표지판
0023-S-0016,126.868584646,37.470737026,안현초등학교,보호구역표지판
0023-S-0018,126.868445874,37.469707017,안현초등학교,보호구역표지판
0023-S-0020,126.869683087,37.470177901,안현초등학교,보호구역표지판
0023-S-0021,126.870956909,37.470501248,안현초등학교,보호구역표지판
0004-S-0003,126.867711857,37.472104423,광덕초등학교,보호구역표지판
0047-S-0001,126.866174438,37.471024921,마리아어린이집,보호구역표지판
0047-S-0004,126.86546743,37.47274078,마리아어린이집,보호구역표지판
0004-S-0001,126.867099109,37.473557928,광덕초등학교,보호구역표지판
0047-S-0005,126.865341373,37.472981412,마리아어린이집,보호구역표지판
0046-S-0003,126.86438819,37.474098381,홍익어린이집,보호구역표지판
0046-S-0004,126.864069033,37.4752566,홍익어린이집,보호구역표지판
0026-S-0014,126.865096043,37.463861435,가림유치원,보호구역표지판
0026-S-0006,126.86855046,37.463784274,가림유치원,보호구역표지판
0026-S-0003,126.869710798,37.463818934,가림유치원,보호구역표지판
0031-S-0006,126.876561145,37.461025176,예원유치원,보호구역표지판
0031-S-0005,126.876830061,37.461170876,예원유치원,보호구역표지판
0017-S-0002,126.873964201,37.463683492,하안초등학교,보호구역표지판
0045-S-0002,126.864987225,37.468036158,구름산어린이집,보호구역표지판
0045-S-0001,126.864721977,37.467513775,구름산어린이집,보호구역표지판
0045-S-0004,126.866191287,37.468955934,구름산어린이집,보호구역표지판
0023-S-0003,126.86656682,37.469700142,안현초등학교,보호구역표지판
0023-S-0008,126.86663846,37.471243291,안현초등학교,보호구역표지판
0023-S-0010,126.867674815,37.471473015,안현초등학교,보호구역표지판
0023-S-0014,126.868241287,37.471723304,안현초등학교,보호구역표지판
0023-S-0015,126.868387399,37.471424583,안현초등학교,보호구역표지판
0023-S-0012,126.867968524,37.47128698,안현초등학교,보호구역표지판
0023-S-0019,126.869551765,37.470349891,안현초등학교,보호구역표지판
0004-S-0002,126.867928763,37.472412981,광덕초등학교,보호구역표지판
0023-S-0013,126.867792468,37.471678581,안현초등학교,보호구역표지판
0046-S-0001,126.865242468,37.473425499,홍익어린이집,보호구역표지판
0047-S-0003,126.865534988,37.471257371,마리아어린이집,보호구역표지판
0047-S-0002,126.865766839,37.471264119,마리아어린이집,보호구역표지판
0023-S-0017,126.868243214,37.4706201,안현초등학교,보호구역표지판
0046-S-0002,126.865452167,37.473493204,홍익어린이집,보호구역표지판
0017-S-0003,126.874829622,37.464508187,하안초등학교,보호구역표지판
0017-S-0007,126.874449374,37.463870556,하안초등학교,보호구역표지판
0017-S-0008,126.875065846,37.464463619,하안초등학교,보호구역표지판
