시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,교통섬유무,점자블록유무,집중조명시설유무
성남시 분당구,돌마로,,경기도 성남시 분당구 구미동 19,분당-43,1,N,37.346685,127.106299,10,8.0,32.0,Y,N,Y,N
성남시 분당구,분당수서로,"경기도 성남시 분당구 정자일로 248 (정자동, 파크뷰)",경기도 성남시 분당구 정자동 6,분당-44,1,N,37.375676,127.107715,6,8.0,20.0,Y,N,Y,N
성남시 분당구,분당수서로,,경기도 성남시 분당구 정자동 162-1,분당-45,1,N,37.362939,127.105017,7,8.0,23.0,Y,N,Y,N
성남시 분당구,분당수서로,,경기도 성남시 분당구 정자동 178-1,분당-46,1,N,37.359519,127.10522,6,8.0,20.0,Y,N,Y,N
성남시 분당구,분당수서로,,경기도 성남시 분당구 구미동 173-6,분당-47,1,N,37.342594,127.103967,6,8.0,20.0,Y,N,Y,N
성남시 분당구,분당수서로,,경기도 성남시 분당구 구미동 173-1,분당-48,1,N,37.340502,127.103986,6,8.0,20.0,Y,N,Y,N
성남시 분당구,분당수서로,경기도 성남시 분당구 성남대로43번길 11 (구미동),경기도 성남시 분당구 구미동 174,분당-49,1,N,37.338765,127.106677,6,8.0,20.0,Y,Y,Y,N
성남시 분당구,분당수서로,,경기도 성남시 분당구 구미동 173-11,분당-50,1,N,37.33692,127.107082,7,8.0,23.0,Y,N,Y,Y
성남시 분당구,양현로,,경기도 성남시 분당구 야탑동 327-5,분당-51,99,N,37.41411,127.142027,5,8.0,17.0,Y,N,Y,Y
성남시 분당구,양현로,"경기도 성남시 분당구 양현로 507 (야탑동, 매화마을주공3단지아파트)",경기도 성남시 분당구 야탑동 205,분당-52,1,N,37.415425,127.138017,5,8.0,17.0,Y,N,Y,Y
성남시 분당구,양현로,"경기도 성남시 분당구 매화로 92 (야탑동, 매화마을주공1단지아파트)",경기도 성남시 분당구 야탑동 201,분당-53,1,N,37.416269,127.134655,4,6.0,14.0,Y,N,Y,Y
성남시 분당구,양현로,,경기도 성남시 분당구 야탑동 327-1,분당-54,1,N,37.415501,127.137441,4,6.0,14.0,Y,N,Y,N
성남시 분당구,양현로,경기도 성남시 분당구 양현로 442 (야탑동),경기도 성남시 분당구 야탑동 336,분당-55,1,N,37.416129,127.131281,5,8.0,17.0,Y,N,Y,Y
성남시 분당구,양현로,,경기도 성남시 분당구 야탑동 487-2,분당-56,1,N,37.415687,127.122594,6,8.0,20.0,Y,N,Y,Y
성남시 분당구,양현로,"경기도 성남시 분당구 장미로 55 (야탑동, 장미마을)",경기도 성남시 분당구 야탑동 331,분당-57,1,N,37.415223,127.124358,6,8.0,20.0,Y,N,Y,Y
성남시 분당구,양현로,,경기도 성남시 분당구 야탑동 344-1,분당-58,1,N,37.413197,127.123286,5,8.0,17.0,Y,N,Y,N
성남시 분당구,양현로,,경기도 성남시 분당구 야탑동 345-1,분당-59,1,N,37.411792,127.123969,4,6.0,14.0,Y,N,Y,Y
성남시 분당구,양현로,경기도 성남시 분당구 양현로 262 (야탑동),경기도 성남시 분당구 야탑동 531,분당-60,99,N,37.407326,127.126613,4,6.0,14.0,Y,N,Y,N
성남시 분당구,양현로,경기도 성남시 분당구 양현로 194 (이매동),경기도 성남시 분당구 이매동 102,분당-61,1,N,37.401929,127.12607,4,6.0,14.0,Y,N,Y,N
성남시 분당구,양현로,,경기도 성남시 분당구 이매동 129-10,분당-62,1,N,37.40104,127.125267,6,8.0,20.0,Y,N,Y,N
성남시 분당구,양현로,경기도 성남시 분당구 양현로 146 (이매동),경기도 성남시 분당구 이매동 112,분당-63,99,N,37.39721,127.126493,4,6.0,14.0,Y,N,Y,Y
성남시 분당구,양현로,"경기도 성남시 분당구 이매로 54 (이매동, 이매촌성지아파트)",경기도 성남시 분당구 이매동 116,분당-64,1,N,37.393806,127.125842,6,8.0,20.0,Y,N,Y,Y
성남시 분당구,양현로,경기도 성남시 분당구 양현로 104 (이매동),경기도 성남시 분당구 이매동 118,분당-65,99,N,37.393154,127.125982,4,6.0,14.0,Y,N,Y,Y
성남시 분당구,양현로,,경기도 성남시 분당구 이매동 119,분당-66,1,N,37.392346,127.124986,5,8.0,17.0,Y,N,Y,Y
성남시 분당구,양현로,,경기도 성남시 분당구 서현동 259-3,분당-67,1,N,37.387226,127.1205,4,6.0,14.0,Y,N,Y,N
성남시 분당구,양현로,,경기도 성남시 분당구 서현동 259-1,분당-68,1,N,37.387226,127.1205,4,6.0,14.0,Y,N,Y,N
성남시 분당구,서현로,,경기도 성남시 분당구 이매동 149-2,분당-69,1,N,37.391351,127.120898,3,6.0,11.0,Y,Y,Y,Y
성남시 분당구,서현로,,경기도 성남시 분당구 이매동 127-10,분당-70,1,N,37.389535,127.123507,8,8.0,26.0,Y,N,Y,Y
성남시 분당구,서현로,,경기도 성남시 분당구 이매동 127-10,분당-71,1,N,37.389535,127.123507,9,8.0,29.0,Y,N,Y,N
성남시 분당구,서현로,,경기도 성남시 분당구 이매동 127-9,분당-72,1,N,37.388319,127.124899,7,8.0,23.0,Y,N,Y,N
성남시 분당구,서현로,,경기도 성남시 분당구 이매동 127-8,분당-73,1,N,37.388712,127.127759,7,8.0,23.0,Y,Y,Y,Y
성남시 분당구,서현로,,경기도 성남시 분당구 서현동 99-1,분당-74,1,N,37.383911,127.131278,4,6.0,14.0,Y,Y,Y,N
