시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭
초등학교,대하초등학교,경기도 성남시 중원구 시민로 14,경기도 성남시 중원구 하대원동 167-2,37.431908,127.151304,성남중원경찰서,Y,3,8~20
초등학교,성남제일초등학교,경기도 성남시 중원구 광명로 184번길 23,경기도 성남시 중원구 중앙동 2970,37.438906,127.149609,성남중원경찰서,Y,2,4~12
초등학교,성남북초등학교,경기도 성남시 수정구 희망로534번길 3,경기도 성남시 수정구 산성동 2137,37.4515,127.151474,성남수정경찰서,Y,6,5~15
초등학교,성남수정초등학교,경기도 성남시 수정구 제일로 123번길 9,경기도 성남시 수정구 수진동 4347,37.436212,127.132786,성남수정경찰서,Y,6,4~12
초등학교,수진초등학교,경기도 성남시 수정구 탄리로 95번길 16,경기도 성남시 수정구 태평동 3756,37.444944,127.133465,성남수정경찰서,Y,10,5~14
초등학교,희망대초등학교,경기도 성남시 수정구 공원로 370번길 29,경기도 성남시 수정구 신흥동 1232,37.447498,127.149115,성남수정경찰서,Y,5,4~9
초등학교,성남서초등학교,경기도 성남시 수정구 태평로 19,경기도 성남시 수정구 태평동 5090-1,37.448545,127.129403,성남수정경찰서,Y,4,8~12
초등학교,성남신흥초등학교,경기도 성남시 수정구 공원로 436번길 17,경기도 성남시 수정구 신흥동 47-3,37.450552,127.143485,성남수정경찰서,Y,2,8
초등학교,단대초등학교,경기도 성남시 수정구 단대로 30,경기도 성남시 수정구 단대동 77,37.453611,127.157748,성남수정경찰서,Y,9,4~8
초등학교,복정초등학교,경기도 성남시 수정구 성남대로 1480번길 25,경기도 성남시 수정구 복정동 665,37.46247,127.130386,성남수정경찰서,Y,6,6~7
초등학교,성남양지초등학교,경기도 성남시 수정구 논골로 36번길 33,경기도 성남시 수정구 양지동 386,37.459218,127.160884,성남수정경찰서,Y,3,4~6
초등학교,위례고운초등학교,경기도 성남시 수정구 위례순환로 155,경기도 성남시 수정구 창곡동 511,37.471437,127.145794,성남수정경찰서,N,0,16
초등학교,위례한빛초등학교,경기도 성남시 수정구 위례동로 55,경기도 성남시 수정구 창곡동 570,37.465766,127.147017,성남수정경찰서,Y,1,9.5
초등학교,위례푸른초등학교,경기도 성남시 수정구 위례순환로 205,경기도 성남시 수정구 창곡동 518,37.470731,127.150981,성남수정경찰서,N,0,9.5~16
초등학교,위례중앙초등학교,경기도 성남시 수정구 위례순환로 71,경기도 성남시 수정구 창곡동 27,37.471899,127.135874,성남수정경찰서,Y,1,25~44
초등학교,금상초등학교,경기도 성남시 중원구 금상로 97,경기도 성남시 중원구 금광동 1645,37.443599,127.165995,성남중원경찰서,Y,9,4~12
초등학교,상원초등학교,경기도 성남시 중원구 은행로 6,경기도 성남시 중원구 은행동 421,37.453884,127.162776,성남중원경찰서,Y,5,8~12
초등학교,불정초등학교,경기도 성남시 분당구 돌마로 250,경기도 성남시 분당구 정자동 203,37.361254,127.119496,분당경찰서,Y,3,35
초등학교,상탑초등학교,경기도 성남시 분당구 판교로 647,경기도 성남시 분당구 야탑동 161,37.406207,127.145695,분당경찰서,Y,2,8~17
초등학교,서현초등학교,경기도 성남시 분당구 중앙공원로 39번길 12,경기도 성남시 분당구 서현동 87-1,37.382576,127.12855,분당경찰서,Y,3,12
