무인교통단속카메라관리번호,도로종류,도로노선번호,도로노선명,소재지지번주소,위도,경도,설치장소,설치연도
중원금광1-D-3,기타,,금상로,경기도 성남시 중원구 금광동 1645,37.44355,127.165994,금상초등학교,2006
중원금광1-D-5,기타,,금빛로,경기도 성남시 중원구 금광동 1938,37.44583,127.167486,신구대학사거리,2023
중원금광1-D-6,기타,,희망로,경기도 성남시 중원구 갈현동 457-12,37.42266,127.16126,갈현육교,2023
중원금광1-D-7,기타,,희망로,경기도 성남시 중원구 금광동 59,37.44276,127.15923,이편한세상금빛그랑메종1단지,2023
중원금광1-D-8,기타,,희망로,경기도 성남시 중원구 금광동 1003,37.44328,127.16225,e편한세상 204동 주변,2023
중원금광1-D-9,기타,,금빛로,경기도 성남시 중원구 금광동 1009,37.444167,127.164106,e편한세상 604동 주변,2023
중원금광1-D-10,기타,,금빛로,경기도 성남시 중원구 금광동 1020,37.44458,127.166777,e편한세상 508동 주변,2023
중원금광1-D-11,기타,,희망로,경기도 성남시 중원구 금광동 1008,37.442448,127.163628,e편한세상 305동 주변,2023
중원금광1-D-12,기타,,희망로,경기도 성남시 중원구 금광동 868,37.443049,127.165444,금상초등학교 주변,2023
중원금광1-D-13,기타,,광명로,경기도 성남시 중원구 금광동 1347,37.444882,127.16214,장원빌딩 주차장입구,2023
중원금광1-D-14,기타,,광명로,경기도 성남시 중원구 금광동 1452,37.445766,127.165324,새성남교회,2023
중원금광1-D-15,기타,,산성대로,경기도 성남시 중원구 금광동 1015,37.44407,127.159703,e편한세상 1단지 입구,2023
중원금광1-D-16,기타,,희망로,경기도 성남시 중원구 금광동 113,37.440992,127.159788,해오름도서관 인근 교통섬,2023
중원금광2-D-1,기타,,산성대로,경기도 성남시 중원구 금광2동 11,37.444751,127.158591,단대쇼핑,2006
중원금광2-D-2,기타,,산성대로,경기도 성남시 중원구 금광동 4850,37.45244,127.16046,금광시장,2023
중원금광2-A-33,기타,,광명로,경기도 성남시 중원구 금광2동 2412,37.44722,127.1697,하원초등학교 정문,2021
중원은행1-D-1,기타,,자혜로,경기도 성남시 중원구 은행동 1932-7,37.451547,127.164951,중부초등학교,2008
중원은행1-A-1,기타,,금빛로,경기도 성남시 중원구 은행동 2352,37.451621,127.165648,노외주차장 부근중부초등학교,2013
중원은행1-A-10,기타,,은행로,경기도 성남시 중원구 은행1동 421,37.45448,127.1631,상원초등학교 후문,2021
중원은행2-A-12,기타,,자혜로,경기도 성남시 중원구 은행동 421,37.453884,127.162721,상원초등학교 주변,2006
중원은행2-D-1,기타,,산성대로,경기도 성남시 중원구 은행동 422-3,37.454946,127.162026,상원초입구사거리,2014
중원상대원1-D-1,기타,,둔촌대로,경기도 성남시 중원구 상대원동 1963,37.433557,127.160771,대원터널앞사거리,2006
중원상대원1-D-2,기타,,사기막골로,경기도 성남시 중원구 상대원동 124-9,37.444978,127.179149,사기막골,2014
중원상대원1-D-3,기타,,둔촌대로,경기도 성남시 중원구 상대원동 546,37.430585,127.167141,공단본부사거리,2014
중원상대원1-D-4,기타,,사기막골로,경기도 성남시 중원구 상대원동 307-2,37.434861,127.171171,센텍시티2차,2019
중원상대원1-D-5,기타,,둔촌대로457번길,경기도 성남시 중원구 상대원동 517-7,37.432392,127.170058,상대원119안전센터,2019
중원상대원1-D-6,기타,,갈마치로,경기도 성남시 중원구 상대원동 333-3,37.4336,127.17412,공단오거리+공단주유소,2023
중원상대원1-A-13,기타,,순환로,경기도 성남시 중원구 상대원동 54,37.442383,127.181591,상대원초등학교 주변,2014
중원상대원2-D-1,기타,,희망로,경기도 성남시 중원구 상대원동 4128,37.436495,127.15798,상대원시장앞,2006
