대상시설명,위도,경도,소재지도로명주소,CCTV_300m,CCTV_500m,최근접_CCTV_거리,무인카메라_300m,무인카메라_500m,최근접_무인카메라_거리,표지판_300m,표지판_500m,최근접_표지판_거리,도로안전표지_300m,도로안전표지_500m,최근접_도로안전표지_거리,신호등_300m,신호등_500m,최근접_신호등_거리,횡단보도_300m,횡단보도_500m,최근접_횡단보도_거리,옐로카펫_300m,옐로카펫_500m,최근접_옐로카펫_거리,도로적색표면_300m,도로적색표면_500m,최근접_도로적색표면_거리,울타리_펜스_300m,울타리_펜스_500m,최근접_울타리_펜스_거리,CCTV설치여부,CCTV설치대수,보호구역도로폭,관할경찰서,안전시설_총합_300m,안전시설_총합_500m,시설_다양성_300m
해나유치원,37.390831,127.09829,경기도 성남시 분당구 서판교로44번길 3,18,48,22.5,1,3,143.0,17,24,26.1,5,13,118.3,2,18,102.8,4,13,46.9,0,1,395.9,12,21,34.4,17,34,38.9,1,1,6.0,분당경찰서,76,175,8
꾸러기유치원,37.403847,127.127335,경기도 성남시 분당구 양현로 220,9,30,112.7,1,5,272.1,10,20,157.3,3,10,58.0,4,13,58.0,3,11,58.0,0,2,392.1,4,9,168.6,19,36,158.4,1,5,22.0,분당경찰서,53,136,8
샛별유치원,37.371468,127.129754,경기도 성남시 분당구 수내로 201,7,22,73.2,1,1,280.6,4,10,228.0,2,8,0.0,4,11,238.6,2,9,0.1,1,1,280.6,4,7,225.8,6,20,215.0,1,1,38.0,분당경찰서,31,89,9
성마르코유치원,37.410832,127.133182,경기도 성남시 분당구 매화로37번길 6,23,52,24.5,0,3,313.8,17,20,24.3,4,10,35.8,8,18,36.5,6,13,36.5,0,1,313.8,8,10,27.8,6,27,20.1,1,1,0.0,분당경찰서,72,154,7
은혜유치원,37.360908,127.111946,경기도 성남시 분당구 내정로7번길 24,15,31,0.7,3,4,257.4,11,12,55.6,5,10,77.4,0,14,306.0,6,12,77.5,0,1,335.8,13,13,36.5,11,17,18.1,1,1,0.0,분당경찰서,64,114,7
숲리라유치원,37.469683,127.147866,경기도 성남시 수정구 위례순환로4길 2,14,23,26.9,2,8,272.9,29,49,15.7,0,0,1058.9,7,15,4.7,0,0,1073.8,2,3,267.3,17,28,20.9,28,47,18.1,1,1,0.0,분당경찰서,99,173,7
즐거운유치원,37.351408,127.111941,경기도 성남시 분당구 미금로 215,14,34,59.3,4,9,108.5,15,27,66.2,4,13,160.8,5,18,132.5,4,14,232.8,0,1,408.6,7,15,43.1,12,28,33.7,1,1,15.0,분당경찰서,65,159,8
희영유치원,37.388294,127.114186,경기도 성남시 분당구 동판교로 49,21,40,102.5,2,3,75.5,16,22,25.7,7,9,42.7,8,12,140.8,7,11,42.3,3,3,229.4,10,15,97.1,35,54,23.9,0,0,0.0,분당경찰서,109,169,9
혜성유치원,37.444509,127.160252,경기도 성남시 중원구 광명로 308,39,113,19.2,6,13,68.8,10,38,24.6,4,13,161.0,13,26,29.0,10,20,35.1,1,1,204.0,6,28,41.8,20,42,205.8,0,0,0.0,성남중원경찰서,109,294,9
단대어린이집,37.449645,127.155665,경기도 성남시 수정구 희망로506번길 21,37,79,20.5,0,8,335.7,23,41,61.8,5,9,149.5,8,19,149.3,8,13,149.3,1,4,175.1,16,39,33.2,19,44,104.7,1,1,5.0,성남수정경찰서,117,256,8
산성어린이집,37.453007,127.150387,경기도 성남시 수정구 수정남로 269,19,52,36.3,4,10,183.1,20,29,31.2,2,7,92.9,7,16,87.7,2,9,92.6,2,3,193.1,15,24,25.3,14,23,64.1,1,4,0.0,성남수정경찰서,85,173,9
성남어린이집,37.447702,127.141485,경기도 성남시 수정구 시민로222번길 6,67,135,15.4,4,9,55.8,30,48,52.5,8,16,55.5,5,15,91.1,6,14,55.8,3,4,90.9,19,29,58.9,27,53,43.7,1,1,5.0,성남수정경찰서,169,323,9
성현어린이집,37.438454,127.138715,경기도 성남시 수정구 탄리로17번길 6,33,91,17.9,2,7,218.6,12,27,22.1,4,11,30.6,3,10,30.5,3,10,30.5,0,1,490.3,3,14,44.2,7,31,128.0,1,1,4.0,성남수정경찰서,67,202,8
신흥제2어린이집,37.449202,127.144413,경기도 성남시 수정구 수정로257번길 18,38,98,53.0,6,10,104.3,22,37,19.0,10,16,50.0,9,24,72.5,8,14,50.0,1,5,171.0,11,25,88.6,27,44,83.1,1,1,4.0,성남수정경찰서,132,273,9
리플플러스어린이집,37.44181,127.128384,경기도 성남시 수정구 성남대로1250번길 7-2,33,90,47.8,7,15,181.0,4,20,13.0,13,17,127.4,9,15,161.0,9,13,161.0,0,2,455.6,3,14,27.7,2,22,288.9,1,1,5.0,성남수정경찰서,80,208,8
한양어린이집,37.435594,127.1281,경기도 성남시 수정구 성남대로 1185,36,82,25.1,4,7,60.2,5,9,65.5,2,9,123.4,2,9,101.3,2,7,123.4,1,2,217.0,6,9,25.4,12,30,29.9,1,1,11.0,성남수정경찰서,70,164,9
신흥제3어린이집,37.443531,127.148854,경기도 성남시 수정구 공원로349번길 8,30,76,34.7,4,12,159.4,12,55,20.9,5,12,91.7,6,20,39.7,5,13,91.7,0,1,441.7,13,34,28.9,23,63,104.3,1,1,5.0,성남수정경찰서,98,286,8
복정어린이집,37.461129,127.130488,경기도 성남시 수정구 복정로96번길 30-1,8,20,26.7,1,1,216.4,9,13,22.8,0,2,381.5,1,2,133.7,0,2,386.9,1,1,149.4,12,12,27.7,18,20,67.4,1,4,7.0,성남수정경찰서,50,73,7
복정2어린이집,37.463264,127.129126,경기도 수정구 복정로 118번길 20,16,23,45.6,2,2,153.3,14,15,36.6,1,3,258.9,1,3,172.7,1,3,244.7,1,1,142.0,14,14,21.1,22,23,41.6,0,0,4.0,성남수정경찰서,72,87,9
아이세상 어린이집,37.4422,127.134779,경기도 성남시 수정구 수정로 135번길5-1,37,103,47.9,5,13,77.5,22,49,22.2,2,15,96.3,5,18,96.3,2,14,96.3,0,4,326.4,8,24,11.1,17,41,196.0,0,0,0.0,성남수정경찰서,98,281,8
다솜어린이집,37.434004,127.166096,경기도 성남시 중원구 박석로 14,13,41,18.9,0,4,391.2,3,8,8.3,2,5,175.9,2,5,175.8,2,5,175.8,0,1,455.6,0,1,429.0,0,8,369.0,1,1,8.0,성남중원경찰서,22,78,5
중앙동어린이집,37.442671,127.156555,경기도 성남시 중원구 광명로264번길 9,35,79,20.8,2,8,236.4,14,27,17.6,6,12,0.7,6,19,0.5,9,21,0.7,0,1,426.2,7,19,18.6,19,44,13.1,1,1,0.0,성남중원경찰서,98,230,8
금광2동제2어린이집,37.448432,127.163031,경기도 성남시 중원구 산성대로420번길 36,33,80,17.9,0,8,359.0,19,40,45.9,2,7,197.6,4,18,197.4,2,9,197.4,1,2,115.1,16,28,14.1,14,38,46.6,1,1,3.0,성남중원경찰서,91,230,8
하대원어린이집,37.427838,127.149429,경기도 성남시 중원구 마지로155번길 27,18,32,27.0,2,3,112.0,4,26,32.6,3,5,140.9,3,5,140.9,2,5,140.9,0,1,481.9,1,17,23.7,0,14,346.7,1,1,4.0,성남중원경찰서,33,108,7
서광어린이집,37.405702,127.14948,경기도 성남시 분당구 판교로 685,4,11,60.1,0,1,339.3,16,35,63.2,2,5,82.7,6,9,79.6,4,6,79.6,0,2,339.0,2,6,222.8,11,29,85.5,1,4,17.0,분당경찰서,45,104,7
분당어린이집,37.368598,127.143274,경기도 성남시 분당구 장안로26번길 12,24,46,21.2,0,2,438.3,5,26,17.2,5,12,159.4,11,11,248.3,5,13,159.6,0,1,463.9,6,17,19.7,0,16,312.7,1,1,6.0,분당경찰서,56,144,6
판교어린이집,37.385948,127.088207,경기도 성남시 분당구 판교원로 200,12,27,37.3,0,1,313.9,10,17,124.6,6,10,32.5,4,9,211.6,7,10,0.0,0,1,322.1,12,17,50.1,22,30,47.5,1,1,7.0,분당경찰서,73,122,7
서현어린이집,37.382447,127.126079,경기도 성남시 분당구 중앙공원로31번길 32,12,26,15.2,2,3,218.8,12,17,45.7,1,9,288.0,3,4,242.1,1,11,288.0,1,2,218.8,7,8,32.4,8,13,72.3,1,4,6.0,분당경찰서,47,93,9
성남생명숲어린이집,37.371025,127.115253,경기도 성남시 분당구 내정로119번길 2,25,42,27.4,0,2,445.3,9,25,15.6,1,5,114.4,1,15,111.4,1,5,113.3,0,1,383.6,8,16,16.5,6,31,15.5,1,1,10.0,분당경찰서,51,142,7
갈보리어린이집,37.390494,127.132889,경기도 성남시 분당구 이매로132,9,18,59.3,1,1,291.6,5,9,30.3,0,2,483.6,0,1,483.8,0,2,483.8,0,0,677.9,10,16,22.2,4,7,34.7,1,3,0.0,분당경찰서,29,56,5
휴맥스어린이집,37.370358,127.095881,경기도 성남시 분당구 궁내로 52,5,13,32.1,0,0,776.0,2,2,104.0,0,2,488.9,0,0,521.8,0,2,489.5,0,0,922.4,3,3,31.4,0,0,817.7,0,0,9.0,분당경찰서,10,22,3
늘사랑어린이집,37.408334,127.122855,경기도 성남시 분당구 야탑로 20,9,26,99.5,1,4,287.2,9,12,31.4,4,15,0.1,4,16,53.9,4,16,0.3,0,1,350.3,3,5,133.9,11,23,120.0,1,1,15.0,분당경찰서,45,118,8
삼평어린이집,37.406109,127.115836,경기도 성남시 분당구 동판교로 268,9,20,33.2,3,4,116.0,13,14,30.4,4,9,4.6,4,12,50.3,6,11,4.4,1,1,85.3,8,11,31.2,34,44,20.1,1,1,8.0,분당경찰서,82,126,9
판교제2어린이집,37.391851,127.090871,경기도 성남시 분당구 운중로225번길 37,20,36,56.0,1,1,5.5,6,9,43.0,3,5,5.3,5,7,96.5,3,5,5.5,0,0,510.6,7,8,49.3,6,8,44.2,1,1,6.0,분당경찰서,51,79,8
수내동어린이집,37.379099,127.114714,경기도 성남시 분당구 황새울로240번길 10-5,15,38,17.1,2,3,53.3,4,11,18.3,4,4,102.1,3,12,123.5,4,5,102.1,0,1,358.5,1,3,20.7,3,6,18.0,1,1,15.0,분당경찰서,36,83,8
구미동어린이집,37.344538,127.112319,경기도 성남시 분당구 금곡로25번길 10,12,32,27.7,1,2,271.3,9,22,20.9,3,6,218.3,4,15,23.9,3,8,218.3,2,4,271.3,2,12,20.7,7,18,17.4,0,0,15.0,분당경찰서,43,119,9
예림어린이집,37.450823,127.157599,경기도 성남시 수정구 산성대로437번길7,27,77,62.2,2,4,154.8,16,50,75.2,1,9,294.3,6,17,54.1,4,13,57.0,0,3,310.3,22,41,127.2,23,57,79.7,0,0,7.0,성남수정경찰서,101,271,8
보듬이나눔이어린이집,37.4065,127.151955,경기도 성남시 분당구 야탑로 303,3,10,14.4,0,0,554.1,11,17,9.2,0,3,315.2,4,9,59.2,2,6,148.6,0,0,553.9,2,2,25.9,9,13,8.8,0,0,20.0,분당경찰서,31,60,6
운중하나어린이집,37.389574,127.072072,경기도 성남시 분당구 판교원로 52,14,46,37.9,0,2,455.0,1,30,235.3,4,11,130.9,1,6,22.4,6,10,57.0,0,1,420.3,0,33,309.2,3,40,261.5,1,2,10.0,분당경찰서,29,179,6
푸르니이매어린이집,37.3938,127.13236,경기도 성남시 분당구 이매로 89번길 16,7,23,61.6,1,1,150.8,7,10,138.7,0,1,421.6,0,1,421.8,0,1,421.8,0,0,567.8,8,16,144.2,3,7,172.4,0,0,8.0,분당경찰서,26,60,5
성남혜은학교,37.450396,127.153922,경기도 성남시 수정구 희망로518번길 8,26,78,64.0,5,9,178.9,24,51,60.0,5,9,0.1,7,19,82.4,6,13,0.1,3,4,0.0,21,47,60.8,18,47,72.6,1,4,7.0,성남수정경찰서,115,277,9
성은특수학교,37.409122,127.143952,경기도 성남시 분당구 돌마로 866,10,22,32.8,0,1,358.5,14,31,48.9,4,9,64.4,4,10,63.4,4,8,63.4,0,2,358.8,6,9,24.7,13,26,16.2,1,4,26.0,분당경찰서,55,118,7
서울국제학교,37.465792,127.128438,경기도 성남시 수정구 성남대로 1518번길 15,16,21,64.5,1,2,0.0,8,12,65.1,1,3,188.1,1,4,208.6,1,3,188.1,0,1,407.4,4,11,58.7,6,23,64.4,0,0,6.0,성남수정경찰서,38,80,8
케이디엘피어학원,37.389127,127.124549,경기도 성남시 분당구 서현로 181,11,26,38.7,2,4,167.8,15,22,29.1,7,14,95.0,10,22,112.0,9,20,95.0,0,1,465.4,7,8,31.0,16,27,22.8,0,0,20.0,분당경찰서,77,144,8
산성3어린이집,37.460461,127.155653,경기도 성남시 수정구 수정로 456번길 19,14,33,30.5,0,0,546.4,0,0,517.9,4,6,162.9,4,5,162.8,4,5,162.8,0,1,482.0,0,0,532.1,0,0,525.8,0,0,8.0,성남수정경찰서,26,50,4
