대상시설명,위도,경도,소재지도로명주소,CCTV_300m,CCTV_500m,최근접_CCTV_거리,무인카메라_300m,무인카메라_500m,최근접_무인카메라_거리,표지판_300m,표지판_500m,최근접_표지판_거리,도로안전표지_300m,도로안전표지_500m,최근접_도로안전표지_거리,신호등_300m,신호등_500m,최근접_신호등_거리,횡단보도_300m,횡단보도_500m,최근접_횡단보도_거리,옐로카펫_300m,옐로카펫_500m,최근접_옐로카펫_거리,도로적색표면_300m,도로적색표면_500m,최근접_도로적색표면_거리,울타리_펜스_300m,울타리_펜스_500m,최근접_울타리_펜스_거리,CCTV설치여부,CCTV설치대수,보호구역도로폭,관할경찰서,안전시설_총합_300m,안전시설_총합_500m,시설_다양성_300m
희망대초등학교,37.447498,127.149115,경기도 성남시 수정구 공원로 370번길 29,20,80,66.5,5,14,94.6,14,42,43.8,0,17,306.3,10,28,0.1,0,15,306.3,1,5,0.0,10,33,48.1,14,67,64.3,1,5,0.0,성남수정경찰서,74,301,7
성남서초등학교,37.448545,127.129403,경기도 성남시 수정구 태평로 19,16,52,37.0,2,4,34.4,10,31,18.6,7,11,28.8,7,14,1.9,6,11,28.8,1,3,0.0,6,18,106.7,14,32,26.4,1,4,0.0,성남수정경찰서,69,176,9
성남신흥초등학교,37.450552,127.143485,경기도 성남시 수정구 공원로 436번길 17,36,89,114.1,5,10,135.4,19,29,94.9,7,14,117.5,8,15,76.5,6,11,123.2,1,2,0.0,9,19,123.5,21,32,93.5,1,2,8.0,성남수정경찰서,112,221,9
단대초등학교,37.453611,127.157748,경기도 성남시 수정구 단대로 30,23,72,75.9,3,6,110.6,13,25,81.8,2,7,126.7,5,14,0.1,5,11,126.7,1,4,0.0,15,26,72.6,22,46,68.6,1,9,0.0,성남수정경찰서,89,211,9
복정초등학교,37.46247,127.130386,경기도 성남시 수정구 성남대로 1480번길 25,11,21,82.0,1,2,188.2,11,15,70.3,0,3,348.7,1,2,137.1,0,3,348.7,1,1,0.0,12,14,81.6,18,23,69.4,1,6,0.0,성남수정경찰서,55,84,7
성남양지초등학교,37.459218,127.160884,경기도 성남시 수정구 논골로 36번길 33,26,59,76.1,1,2,70.8,10,11,58.0,6,10,222.4,5,10,209.5,5,10,222.4,1,1,0.0,10,10,56.1,5,6,56.9,1,3,0.0,성남수정경찰서,69,119,9
위례고운초등학교,37.471437,127.145794,경기도 성남시 수정구 위례순환로 155,7,20,82.0,3,7,6.2,23,34,75.3,0,0,1326.1,7,18,6.2,0,0,1336.7,1,2,0.0,12,18,87.5,16,28,78.2,0,0,16.0,성남수정경찰서,69,127,7
위례한빛초등학교,37.465766,127.147017,경기도 성남시 수정구 위례동로 55,7,23,63.0,2,3,0.2,13,40,73.7,0,0,792.0,4,12,118.1,0,0,795.9,1,1,0.0,6,21,74.7,17,43,57.3,1,1,9.5,성남수정경찰서,50,143,7
위례푸른초등학교,37.470731,127.150981,경기도 성남시 수정구 위례순환로 205,8,22,92.7,3,4,1.9,25,39,80.8,0,0,1007.1,6,12,1.9,0,0,1071.8,1,2,0.0,11,22,55.7,22,36,56.5,0,0,0.0,성남수정경찰서,76,137,7
위례중앙초등학교,37.471899,127.135874,경기도 성남시 수정구 위례순환로 71,9,14,56.0,1,2,0.1,11,15,91.1,0,0,1104.1,3,9,0.1,0,0,1104.1,1,1,0.0,8,14,90.9,16,20,78.4,1,1,0.0,성남수정경찰서,49,75,7
