연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
97,37.413444,127.158874,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
98,37.413327,127.158801,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
99,37.413642,127.158002,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
100,37.413678,127.157833,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
101,37.413737,127.157652,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
102,37.413829,127.157359,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
103,37.413865,127.157633,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
104,37.337824,127.116324,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
105,37.339453,127.115941,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
106,37.338089,127.114923,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
107,37.337856,127.115955,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
108,37.337977,127.116481,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
109,37.338098,127.117262,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
110,37.338101,127.118495,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
111,37.338483,127.119884,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
112,37.337749,127.118959,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
113,37.337749,127.119131,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
114,37.337497,127.118964,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
115,37.337394,127.118957,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
116,37.337331,127.119134,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
117,37.337091,127.119125,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
118,37.336791,127.118848,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
119,37.336436,127.118589,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
120,37.336377,127.118759,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
121,37.336593,127.118915,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
122,37.336202,127.118568,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
123,37.336103,127.118113,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
124,37.336148,127.118469,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
125,37.336101,127.118392,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
126,37.335995,127.118217,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
127,37.335885,127.118042,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
128,37.373256,127.120979,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
129,37.372161,127.122188,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
130,37.373392,127.122343,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
131,37.373058,127.122704,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
132,37.408543,127.129026,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
133,37.408548,127.129233,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
134,37.408856,127.129487,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
