연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
89,37.419291,127.132423,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
90,37.418964,127.132416,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
91,37.418812,127.133179,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
92,37.418786,127.134797,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
93,37.418618,127.135873,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
94,37.418705,127.134788,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
95,37.418729,127.133179,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
96,37.418735,127.131481,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
97,37.418017,127.133875,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
98,37.418017,127.133993,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
99,37.361425,127.114953,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
100,37.361989,127.114722,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
101,37.361665,127.113497,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
102,37.361742,127.113521,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
103,37.361713,127.113834,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
104,37.361755,127.114541,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
105,37.361664,127.114541,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
106,37.405535,127.127455,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
107,37.405337,127.126981,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
108,37.405351,127.126811,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
109,37.407427,127.125332,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
110,37.356944,127.105947,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
111,37.357341,127.106063,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
112,37.357784,127.105934,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
113,37.358095,127.105934,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
114,37.358102,127.106051,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
115,37.358877,127.105938,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
116,37.358875,127.106054,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
117,37.359331,127.105939,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
118,37.359327,127.106035,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
119,37.395989,127.116918,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
120,37.396189,127.117421,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
121,37.396236,127.117421,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
122,37.396177,127.118387,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
123,37.395359,127.118422,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
124,37.394411,127.118486,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
125,37.394793,127.116724,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
126,37.395056,127.116724,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
127,37.394637,127.116927,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
128,37.395769,127.118502,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
129,37.395769,127.118423,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
130,37.396175,127.116814,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
131,37.395359,127.118501,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
132,37.396217,127.118466,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
133,37.394766,127.118497,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
134,37.390776,127.079296,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
135,37.390681,127.079502,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
136,37.390607,127.079831,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
137,37.390297,127.081171,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
138,37.390193,127.081577,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
139,37.390385,127.081357,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
140,37.389689,127.081141,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
141,37.389588,127.080825,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
142,37.389457,127.080845,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
143,37.389271,127.081131,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
144,37.388775,127.080934,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
145,37.388661,127.080954,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
146,37.388676,127.080881,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
147,37.388854,127.080649,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
148,37.388946,127.080689,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
149,37.388571,127.080592,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
150,37.388615,127.080635,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
151,37.388669,127.080048,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
152,37.388726,127.080073,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
153,37.388907,127.078859,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
154,37.388971,127.078908,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
155,37.389275,127.076963,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
156,37.389336,127.076974,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
157,37.389015,127.075528,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
158,37.389499,127.075571,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
159,37.391512,127.068626,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
160,37.391064,127.068011,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
161,37.391859,127.068007,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
162,37.391853,127.068087,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
163,37.392088,127.068038,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
164,37.392083,127.068119,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
165,37.392251,127.068149,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
166,37.392258,127.068075,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
167,37.392665,127.066623,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
168,37.392646,127.066831,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
169,37.392607,127.067439,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
170,37.392584,127.067439,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
171,37.392766,127.068774,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
172,37.392822,127.068722,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
173,37.392971,127.069211,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
174,37.393015,127.069168,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
175,37.393037,127.069446,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
176,37.393093,127.069428,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
177,37.392978,127.070204,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
178,37.392975,127.070254,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
179,37.391916,127.069627,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
180,37.391952,127.069631,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
181,37.392858,127.069213,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
182,37.393115,127.070169,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
183,37.393171,127.070176,성남-01-018,성남시 분당구,운중초등학교,분당경찰서,2022-09-01
184,37.392595,127.098303,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
185,37.394503,127.098235,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
186,37.394726,127.098665,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
187,37.394713,127.099966,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
188,37.394877,127.098118,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
189,37.394828,127.100246,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
190,37.394578,127.100327,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
191,37.393492,127.100145,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
192,37.392731,127.099997,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
193,37.392479,127.099802,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
194,37.392941,127.099752,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
195,37.392735,127.098648,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
196,37.393724,127.099756,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
