"20-24세","정자1동",1657,752,905
"20-24세","정자2동",639,350,289
"20-24세","정자3동",959,472,487
"20-24세","서현1동",1692,816,876
"20-24세","서현2동",1021,521,500
"20-24세","이매1동",1447,729,718
"20-24세","이매2동",758,396,362
"20-24세","야탑1동",818,408,410
"20-24세","야탑2동",824,419,405
"20-24세","야탑3동",1196,588,608
"20-24세","금곡동",1279,610,669
"20-24세","구미동",1238,629,609
"20-24세","구미1동",937,484,453
"20-24세","판교동",1339,685,654
"20-24세","삼평동",1220,609,611
"20-24세","백현동",1576,760,816
"20-24세","운중동",1669,859,810
"25-29세","성남시",64588,33236,31352
"25-29세","수정구",17394,9289,8105
"25-29세","신흥1동",993,556,437
"25-29세","신흥2동",1843,931,912
"25-29세","신흥3동",873,480,393
"25-29세","태평1동",1400,787,613
"25-29세","태평2동",1185,650,535
"25-29세","태평3동",849,514,335
"25-29세","태평4동",930,516,414
"25-29세","수진1동",829,467,362
"25-29세","수진2동",1164,619,545
"25-29세","단대동",983,498,485
"25-29세","산성동",304,168,136
"25-29세","양지동",640,325,315
"25-29세","복정동",1169,686,483
"25-29세","위례동",2546,1211,1335
"25-29세","신촌동",419,266,153
"25-29세","고등동",807,373,434
"25-29세","시흥동",460,242,218
"25-29세","중원구",15437,8025,7412
"25-29세","성남동",3495,1862,1633
"25-29세","중앙동",866,444,422
"25-29세","금광1동",1052,486,566
"25-29세","금광2동",1843,894,949
"25-29세","은행1동",894,427,467
"25-29세","은행2동",1629,844,785
"25-29세","상대원1동",1739,1007,732
"25-29세","상대원2동",213,122,91
"25-29세","상대원3동",781,442,339
"25-29세","하대원동",1362,730,632
"25-29세","도촌동",1563,767,796
"25-29세","분당구",31757,15922,15835
"25-29세","분당동",1770,939,831
"25-29세","수내1동",1223,574,649
"25-29세","수내2동",361,194,167
"25-29세","수내3동",881,469,412
"25-29세","정자동",1354,777,577
"25-29세","정자1동",2564,1144,1420
"25-29세","정자2동",1050,512,538
"25-29세","정자3동",1022,514,508
"25-29세","서현1동",2260,1113,1147
"25-29세","서현2동",1233,679,554
"25-29세","이매1동",1483,766,717
"25-29세","이매2동",736,364,372
"25-29세","야탑1동",1473,760,713
"25-29세","야탑2동",911,455,456
"25-29세","야탑3동",1977,1080,897
"25-29세","금곡동",1897,878,1019
"25-29세","구미동",2089,987,1102
"25-29세","구미1동",1227,606,621
"25-29세","판교동",1154,588,566
"25-29세","삼평동",1458,742,716
"25-29세","백현동",1782,904,878
"25-29세","운중동",1852,877,975
"30-34세","성남시",70633,36947,33686
"30-34세","수정구",19292,10349,8943
"30-34세","신흥1동",965,582,383
"30-34세","신흥2동",2881,1340,1541
"30-34세","신흥3동",893,517,376
"30-34세","태평1동",1100,613,487
"30-34세","태평2동",1172,652,520
