종류,시설명,지정년월,권역,지역,리,도로명주소,데이터기준일자
초등학교,동탄목동초등학교,2019-03-04,동탄구,목동,,화성시 동탄구 동탄순환대로 20길 10,2026-02-01
초등학교,세정초등학교,2019-08-20,동탄구,산척동,,화성시 동탄구 동탄순환대로 12길 74,2026-02-01
어린이집,시립영천어린이집,2019-09-20,동탄구,영천동,,화성시 동탄구 동탄영천로 92,2026-02-01
초등학교,화남초등학교,2020-02-27,동탄구,장지동,,화성시 동탄구 동탄순환대로4길 16,2026-02-01
유치원,동탄호수유치원,2020-02-27,동탄구,산척동,,화성시 동탄구 동탄대로6길 62,2026-02-01
유치원,서연유치원,2020-05-06,동탄구,산척동,,화성시 동탄구 동탄순환대로8길 58 일원,2026-02-01
유치원,빛여울유치원,2021-03-12,동탄구,장지동,,화성시 동탄구 동탄대로1길 58,2026-02-01
초등학교,여울초등학교,2021-03-12,동탄구,오산동,,화성시 동탄구 동탄감배산로 95,2026-02-01
초등학교,호연초등학교,2021-03-12,동탄구,장지동,,화성시 동탄구 동탄대로3길 17-7,2026-02-01
유치원,라온유치원,2021-03-12,동탄구,산척동,,화성시 동탄구 동탄순환대로16길 6-13,2026-02-01
초등학교,이솔초등학교,2021-03-12,동탄구,장지동,,화성시 동탄구 동탄순환대로8길 26,2026-02-01
초등학교,늘봄초등학교,2021-03-12,동탄구,영천동,,화성시 동탄구 동탄대로24길 51,2026-02-01
유치원,동하유치원,2021-03-12,동탄구,송동,,화성시 동탄구 동탄대로9길 19,2026-02-01
어린이집,근로복지공단 화성어린이집(기존: 화성시거점형공공직장어린이집),2021-07-07,동탄구,영천동,,화성시 동탄구 동탄기흥로 593-32,2026-02-01
대안학교,지구촌교육공동체,2022-06-29,동탄구,장지동,,화성시 동탄구 경기동로 519,2026-02-01
유치원,아이숲유치원,2022-12-14,동탄구,오산동,,화성시 동탄구 동탄대로 12길 57,2026-02-01
어린이집,장지하나어린이집,2023-06-14,동탄구,장지동,,화성시 동탄구 동탄대로1길 77,2026-02-01
초등학교,신동초등학교,2024-10-04,동탄구,신동,,화성시 동탄구 동탄신동1길 11,2026-02-01
초등학교,벌말초등학교,2005-11-08,병점구,병점동,,화성시 병점구 떡전골로 34,2026-02-01
초등학교,송화초등학교,2003-11-06,병점구,병점동,,화성시 병점구 병점중앙로 35번길 42,2026-02-01
초등학교,태안초등학교,2005-11-08,병점구,병점동,,화성시 병점구 병점3로 77,2026-02-01
초등학교,구봉초등학교,2005-11-08,병점구,병점동,,화성시 병점구 병점1로 105,2026-02-01
초등학교,안화초등학교,2005-11-08,병점구,병점동,,화성시 병점구 병점3로 132-5,2026-02-01
초등학교,병점초등학교,2004-11-04,병점구,진안동,,화성시 병점구 경기대로 1052,2026-02-01
초등학교,진안초등학교,2005-11-08,병점구,진안동,,화성시 병점구 병점4로 97,2026-02-01
초등학교,기산초등학교,2004-11-04,병점구,반월동,,화성시 병점구 동탄지성로 344,2026-02-01
초등학교,율목초등학교,2008-01-07,병점구,반월동,,화성시 병점구 영통로50번길 19,2026-02-01
초등학교,동학초등학교,2004-11-04,병점구,반월동,,화성시 병점구 영통로27번길 46,2026-02-01
초등학교,화산초등학교,2002-11-07,병점구,송산동,,화성시 병점구 화산중앙로64번길 17,2026-02-01
초등학교,배양초등학교,2006-09-01,효행구,배양동,,화성시 효행구 융건로 90,2026-02-01
초등학교,기안초등학교,2002-11-07,효행구,기안동,,화성시 효행구 기안길 18,2026-02-01
초등학교,정림초등학교,2005-11-08,효행구,정남면,,화성시 효행구 정남면 망월길 69,2026-02-01
초등학교,정남초등학교,2002-11-07,효행구,정남면,,화성시 효행구 정남면 만년로 516,2026-02-01
초등학교,안녕초등학교,2006-03-01,병점구,안녕동,,화성시 병점구 화산로 2 ,2026-02-01
유치원,한빛유치원,2003-11-06,병점구,병점동,,화성시 병점구 병점중앙로35번길 5,2026-02-01
어린이집,재크와콩나무어린이집,2003-11-06,병점구,병점동,,화성시 병점구 병점동로42번길 17,2026-02-01
유치원,해오름유치원,2003-11-06,병점구,반월동,,화성시 병점구 영통로27번길 11-4,2026-02-01
유치원,경기유치원,2003-11-06,병점구,안녕동,,화성시 병점구 한신대길 65-33,2026-02-01
유치원,늘푸른유치원,2003-11-06,효행구,배양동,,화성시 효행구 배양북길32번길 18-11,2026-02-01
유치원,키즈플레이유치원(기존: 참유치원),2003-11-06,병점구,병점동,,화성시 병점구 병점2로 45,2026-02-01
유치원,예일유치원,2003-11-06,효행구,기안동,,화성시 효행구 기안남로 21,2026-02-01
유치원,자연유치원,2003-11-06,병점구,반월동,,화성시 병점구 영통로61번길 30-30,2026-02-01
유치원,다일유치원,2010-11-16,병점구,진안동,,화성시 병점구 병점중앙로242번길 15-5,2026-02-01
어린이집,푸른밭어린이집(동그라미유치원),2011-12-12,효행구,기안동,,화성시 효행구 효행로 265번길 42,2026-02-01
유치원,나인유치원,2012-08-01,동탄구,능동,,화성시 동탄구 여울로 115,2026-02-01
유치원,동실유치원,2013-05-08,병점구,병점동,,화성시 병점구 병점동로 45-3,2026-02-01
유치원,반디유치원,2014-02-25,병점구,진안동,,화성시 병점구 병점4로 126,2026-02-01
어린이집,아해뜰어린이집,2014-08-08,병점구,안녕동,,화성시 병점구 안녕북길 27,2026-02-01
