보호구역아이디,시설종류,대상시설명,소재지도로명주소,소재지지번주소,경도,위도,관리기관명,관할경찰서명,cctv설치여부,cctv설치대수,보호구역 도로폭,데이터기준일자,지정일자
36,유치원,녹야유치원,경기도 광명시 광이로 9-2,경기도 광명시 광명동 156-11,126.857818996,37.47927063,광명시청,광명경찰서,Y,1,6,2021-10-26,2010-12-27
1,초등학교,광명초등학교,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,126.858215136,37.480582748,광명시청,광명경찰서,Y,1,7,2021-10-26,1996-05-20
2,초등학교,광명남초등학교,경기도 광명시 광명로 866-9,경기도 광명시 광명동 295-58,126.852962238,37.476246648,광명시청,광명경찰서,Y,4,24,2021-10-18,1996-05-20
7,초등학교,광명서초등학교,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,126.847357982,37.477852489,광명시청,광명경찰서,Y,6,11,2021-10-18,1996-05-20
13,초등학교,광문초등학교,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,126.851639329,37.467074602,광명시청,광명경찰서,Y,2,10,2021-10-26,1996-05-20
3,초등학교,광일초등학교,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,126.847024959,37.471016793,광명시청,광명경찰서,Y,5,9,2021-10-26,1996-05-20
29,유치원,세교유치원,경기도 광명시 광명로 205-9,경기도 광명시 가학동 441-1,126.848711399,37.42002424,광명시청,광명경찰서,N,0,3,2021-11-23,2006-09-28
6,초등학교,온신초등학교,경기도 광명시 범안로 657,경기도 광명시 노온사동 361-2,126.84573469,37.442701862,광명시청,광명경찰서,Y,2,9,2021-11-23,1996-05-20
18,초등학교,안서초등학교,경기도 광명시 가학로 247-55,경기도 광명시 가학동 1053-2,126.871781379,37.402053882,광명시청,광명경찰서,Y,2,9,2021-11-23,1997-10-15
37,유치원,산들유치원,경기도 광명시 밤일안로 42번길 37,경기도 광명시 하안동 463,126.860017887,37.454875307,광명시청,광명경찰서,Y,2,4,2021-11-23,2014-09-26
12,초등학교,하안남초등학교,경기도 광명시 금당로 71,경기도 광명시 하안동 111,126.885382868,37.461014207,광명시청,광명경찰서,Y,2,21,2021-10-14,1996-05-20
30,유치원,예솔유치원,경기도 광명시 오리로 619번길 10,경기도 광명시 하안동 241-2,126.87841054,37.456700229,광명시청,광명경찰서,N,0,4,2021-10-12,2020-06-24
38,유치원,구름산유치원,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,126.882185903,37.455660136,광명시청,광명경찰서,Y,1,5,2021-10-12,2018-03-07
11,초등학교,가림초등학교,경기도 광명시 금당로 11-7,경기도 광명시 하안동 297,126.880148027,37.458199404,광명시청,광명경찰서,Y,3,6,2021-10-14,1996-05-20
20,초등학교,연서초등학교,경기도 광명시 안현로80-2,경기도 광명시 하안동 25-1,126.880934844,37.466263613,광명시청,광명경찰서,Y,1,9,2021-10-01,1997-10-15
33,유치원,파랑새유치원,경기도 광명시 하안로 284,경기도 광명시 하안동 110-3,126.881383058,37.461323282,광명시청,광명경찰서,N,0,6,2021-10-14,2006-09-28
22,초등학교,구름산초등학교,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,126.88443634,37.453765538,광명시청,광명경찰서,Y,4,8,2021-10-26,2010-03-30
21,초등학교,소하초등학교,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,126.888053937,37.447116781,광명시청,광명경찰서,Y,6,15,2021-10-26,1997-10-15
46,어린이집,홍익어린이집,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,126.864568531,37.474168784,광명시청,광명경찰서,Y,3,9,2021-10-14,2010-12-27
47,어린이집,마리아어린이집,경기도 광명시 도덕공원로 37,경기도 광명시 철산동 489-63,126.865684408,37.471790925,광명시청,광명경찰서,Y,2,10,2021-10-14,2010-12-27
4,초등학교,광덕초등학교,경기도 광명시 오리로 841번길 9,경기도 광명시 철산동 498,126.867567576,37.472941774,광명시청,광명경찰서,Y,1,28,2021-10-14,1996-05-20
23,초등학교,안현초등학교,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,126.868184636,37.470454112,광명시청,광명경찰서,Y,2,20,2021-10-14,2010-03-30
45,어린이집,구름산어린이집,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,126.865305483,37.468178692,광명시청,광명경찰서,Y,1,10,2021-10-14,2010-03-30
10,초등학교,하안북초등학교,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,126.867288614,37.465514167,광명시청,광명경찰서,Y,1,15,2021-10-14,1996-05-20
26,유치원,가림유치원,경기도 광명시 가림로 40,경기도 광명시 하안동 702-5,126.868203087,37.463910106,광명시청,광명경찰서,Y,3,24,2021-10-14,1996-09-01
17,초등학교,하안초등학교,경기도 광명시 안현로 16,경기도 광명시 하안동 649,126.874382633,37.463744031,광명시청,광명경찰서,Y,2,7,2021-10-14,1997-10-15
31,유치원,예원유치원,경기도 광명시 안현로 34,경기도 광명시 하안동 650-3,126.877311964,37.461271246,광명시청,광명경찰서,Y,2,36,2021-10-14,2006-09-28
27,유치원,예지유치원,경기도 광명시 시청로 139,경기도 광명시 철산1동 58,126.867907656,37.490201801,광명시청,광명경찰서,Y,1,8,2021-10-08,1996-09-01
14,초등학교,광명북초등학교,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,126.868000893,37.487367731,광명시청,광명경찰서,Y,3,8,2021-10-08,1996-05-20
40,유치원,삼흥유치원,경기도 광명시 철산로29번길 12,경기도 광명시 철산동 241-4,126.868859296,37.477651417,광명시청,광명경찰서,N,0,8,2021-10-08,2020-12-14
32,유치원,혜성유치원,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.879237896,37.46683873,광명시청,광명경찰서,Y,2,10,2021-10-08,2006-09-28
15,초등학교,철산초등학교,경기도 광명시 하안로 392,경기도 광명시 철산동 555,126.873334063,37.46984647,광명시청,광명경찰서,Y,3,14,2021-10-08,1996-09-01
19,초등학교,하일초등학교,경기도 광명시 철망산로 68,경기도 광명시 하안4동 23,126.876139495,37.469301665,광명시청,광명경찰서,Y,1,11,2021-10-08,1997-10-15
35,유치원,한마음유치원,경기도 광명시 하안로 361,경기도 광명시 하안동 681-4,126.875826468,37.467165937,광명시청,광명경찰서,Y,1,11,2021-10-08,2010-12-27
9,초등학교,광성초등학교,경기도 광명시 철산로 59,경기도 광명시 철산동 243,126.872541416,37.477602811,광명시청,광명경찰서,Y,4,8,2021-10-08,1996-05-20
16,초등학교,광명동초등학교,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,126.863980047,37.483389861,광명시청,광명경찰서,Y,3,12,2021-11-15,1997-10-15
44,어린이집,철산어린이집,경기도 광명시 연서일로17번길 18,경기도 광명시 철산동 203-1,126.862267533,37.482189184,광명시청,광명경찰서,Y,1,9,2021-11-15,2006-09-29

